,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1584000000000002e-13,0.7578,0,0.00035444,0,0,5.3063000000000003e-08,1.1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,12.475728567432279
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3108e-07,3.1232e-10,0,0.010029000000000001,0,0,0.0026658000000000003,1.7534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,15.484354596179307
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9866e-11,8.6712e-08,0,0.024287,0,0,0.029442000000000003,1.7621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,16.271287393678204
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014863999999999999,0.29470999999999997,0,7.9356e-09,0,0,2.0314000000000002e-08,1.6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,14.711882324099449
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2818e-10,1.1311,0,0.00035422,0,0,1.5597e-08,1.1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,12.446041903223104
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1118000000000001e-10,0.64476,0,9.7362e-10,0,0,9.555e-09,1.5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,14.549341076295283
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79995,0.69534,0,0.00026665,0,0,0.00084671,1.2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,12.952343185869752
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096247,1.0743e-08,0,0.00011652,0,0,0.0033629,1.6669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,15.082787739743084
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.196e-10,1.657e-07,0,1.3003999999999999e-06,0,0,1.7019e-06,1.7256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,15.274982611349907
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.603500000000001e-06,0.007223,0,0.008657600000000001,0,0,0.0020012,1.6708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,15.063900831132019
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013129,0.37435999999999997,0,0.0038061,0,0,0.0014297000000000001,1.4367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,13.908761933517319
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4750000000000001e-08,0.51648,0,0.00031781,0,0,0.38716999999999996,1.2693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,23.820801594665344
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6041e-10,8.0935e-09,0,1.6758000000000001e-06,0,0,0.00010386,1.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,15.021845768752007
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.489e-10,0.5947600000000001,0,8.5425e-08,0,0,1.2770000000000001,1.5214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,49.792094812597384
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8353e-12,0.4107,0,4.8391000000000005e-05,0,0,5.0004e-07,0.95357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,11.517868694113398
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4274e-08,0.7602899999999999,0,9.577199999999999e-10,0,0,0.29784,1.9594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,24.695075747532137
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084108,0.020216,0,0.0055905,0,0,0.00019889,1.7636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,15.465392858449734
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4029e-10,0.21174,0,1.5911e-07,0,0,5.0839e-07,1.9807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,16.51639241592719
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2785e-07,0.3792,0,1.2251e-12,0,0,1.3705999999999998e-09,1.9955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,16.588402449619394
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3338e-11,1.5007e-09,0,3.8965e-05,0,0,5.6206e-07,1.6116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,14.720170431301849
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.034200000000001e-08,0.0073604,0,1.0933e-05,0,0,3.9317e-08,1.6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,14.829652042851553
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.573100000000001e-07,0.00025781,0,8.969900000000001e-08,0,0,1.7158999999999998e-08,1.7431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,15.360099432646797
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063552,0.052521000000000005,0,0.0017798999999999998,0,0,0.061354,1.6766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,16.742612973923052
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8477e-08,0.23704,0,0.0094081,0,0,2.5776e-08,1.5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,14.479263992636724
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.454700000000001e-11,0.008212,0,2.3667e-09,0,0,0.0010515999999999998,1.7152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,15.253566692188622
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8289e-05,6.7857e-08,0,1.1993e-06,0,0,2.3294e-11,1.7393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,15.341606273359174
