,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30228,0.042102,0,0.63043,0,0,0.69198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,20.87129468694113
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036850000000000003,0.00017934,0,0.83657,0,0,0.61145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,18.631911282031222
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007031900000000001,0.90895,0,0.20718000000000003,0,0,0.0025866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.7005988044821894
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1785999999999997e-07,0.00014531,0,1.3616,0,0,0.17629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,6.5309540924050475
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1168e-07,0.63751,0,0.0060815,0,0,0.7592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,22.740552758194625
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6303e-08,0.13447,0,0.99564,0,0,0.0025794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.7003985864204065
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51108,0.45887,0,0.79755,0,0,0.2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,8.75587730396399
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7013,0.12285,0,1.0101,0,0,0.72377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,21.755313045839504
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028076,4.1129e-09,0,1.1137,0,0,0.00043496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.6407658613635954
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1835000000000004e-06,0.8897200000000001,0,0.66418,0,0,0.58819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,17.985095710216935
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6616e-08,0.38888,0,0.8930899999999999,0,0,0.6683899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,20.215302453961808
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07280700000000001,0.28024,0,0.56735,0,0,1.3405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,38.905380440724485
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066251999999999995,0.59735,0,1.0552,0,0,0.00031208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.6373488064425061
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2089e-06,0.09244400000000001,0,9.8061e-07,0,0,1.7527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,50.36786447777731
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054146,0.5906600000000001,0,0.0017615999999999999,0,0,0.62002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,18.870226391680767
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040461000000000004,0.19017,0,0.45979,0,0,1.1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,33.25478180819383
