,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0,0,0,0,0.6158399999999999,0.34955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,19.879495002947607
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005193199999999999,0,0,0,0,0.041496,1.6525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,37.90380447910187
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042783999999999996,0,0,0,0,0.8760700000000001,0.20756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,20.850958660840494
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5364000000000002e-07,0,0,0,0,0.033375,1.3505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,31.628121492086862
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2688999999999999e-08,0,0,0,0,1.17,0.43337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,29.819114871529507
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1906e-05,0,0,0,0,0.053546,1.3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,31.848248170472225
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00047693,0,0,0,0,0.63844,0.86218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,30.66308997613804
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8512e-06,0,0,0,0,0.030430000000000002,1.3624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,31.826911251108825
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037246,0,0,0,0,0.8941899999999999,0.00062945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,16.902658485734392
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.202e-07,0,0,0,0,0.77269,0.24305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,20.038711769247975
