,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.0023415,0,0,0,0,0,0,0,0,0,0.11175999999999998,0,0,4.9384e-07,0.43253,9.2348e-13,0.39392,0.9533299999999999,3.2653e-07,0,0.0035274,1.9158e-06,0.45414,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,51.075723121916965
1,0.6514800000000001,0,0,0,0,0,0,0,0,0,0.0062295,0,0,0.015425999999999999,0.0056262000000000005,3.0659000000000003e-08,2.7906e-09,1.1518,0.00014,0,5.0018e-06,1.7947e-06,0.5496300000000001,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,48.19988822173322
2,6.2869e-07,0,0,0,0,0,0,0,0,0,1.1667e-07,0,0,1.9132e-11,0.396,1.1545e-12,3.7175e-06,0.88097,0.00028243,0,0.0023401999999999997,2.7189e-05,0.71549,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,52.16955317053934
3,3.8974999999999997e-08,0,0,0,0,0,0,0,0,0,0.01769,0,0,3.0905000000000003e-06,4.0464000000000004e-08,3.9045e-11,0.020906,1.0139,1.7362e-09,0,9.112299999999999e-05,1.1421e-09,0.8337200000000001,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,49.586519893867184
4,0.006275,0,0,0,0,0,0,0,0,0,3.5236999999999995e-05,0,0,2.6929999999999997e-09,1.532e-06,1.918e-06,0.11168,1.3463,6.7534e-08,0,3.9694e-08,5.6223e-09,0.72739,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,48.50714820787759
5,0.3769,0,0,0,0,0,0,0,0,0,2.284e-07,0,0,1.1273e-09,0.00029882,5.6796e-12,0.035039,0.95855,6.0398e-08,0,4.1869999999999996e-10,7.1277000000000005e-09,0.79098,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,49.481024849667854
6,4.541499999999999e-11,0,0,0,0,0,0,0,0,0,2.3055e-06,0,0,8.0095e-07,3.5767e-06,9.0621e-09,0.1816,1.1909999999999998,7.8083e-10,0,5.8654e-05,0.00020329999999999998,0.46971,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,47.55446730797872
7,0.00029105,0,0,0,0,0,0,0,0,0,0.21091999999999997,0,0,0.36643000000000003,2.839e-06,2.3098e-09,1.7919999999999999e-10,1.1389,1.6837e-05,0,1.4041e-08,2.6379e-07,0.75656,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,52.792406986032944
8,0.07751,0,0,0,0,0,0,0,0,0,0.15691,0,0,7.3404e-10,0.010415,9.8162e-08,2.1235999999999998e-05,1.3175,1.1973e-07,0,0.001007,7.446e-08,0.81038,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,49.03098310888219
9,0.0012564,0,0,0,0,0,0,0,0,0,9.9757e-06,0,0,1.8784000000000002e-07,0.00085141,5.8387000000000005e-08,7.2258e-05,1.2185,2.0962e-06,0,0.055857000000000004,4.0487e-06,0.8941100000000001,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,49.72603603535207
10,0.5142,0,0,0,0,0,0,0,0,0,1.0211e-08,0,0,0.080161,0.00021992,1.426e-09,0.00029406,0.83093,1.6519000000000002e-05,0,0.0018244,4.9092e-07,0.7237399999999999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,50.21694530137197
11,0.32355,0,0,0,0,0,0,0,0,0,4.1453000000000005e-07,0,0,2.4097e-10,1.1089e-10,1.3190999999999999e-08,0.00036185,1.4013,1.7832e-08,0,0.0035558,9.900200000000002e-09,0.92296,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,49.35347620236337
12,0.74382,0,0,0,0,0,0,0,0,0,0.35357,0,0,2.0769000000000002e-08,6.8335000000000004e-09,7.6725e-09,0.029097,1.1068,2.1418e-08,0,2.604e-11,1.5212000000000001e-06,0.019349,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,45.55896561779239
13,0.9310200000000001,0,0,0,0,0,0,0,0,0,0.00020964,0,0,0.045706000000000004,0.39945,8.369600000000001e-10,7.645100000000001e-07,0.8674299999999999,3.1741e-05,0,7.9899e-05,7.468099999999999e-10,0.31919000000000003,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,50.800711109244986
14,2.1969e-09,0,0,0,0,0,0,0,0,0,0.31784,0,0,0.00048028,0.24961999999999998,9.3195e-12,0.34759,0.8523799999999999,2.3385999999999998e-09,0,0.010676999999999999,4.0042999999999997e-08,0.63183,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,50.78188772695813
15,0.4711,0,0,0,0,0,0,0,0,0,5.6598e-05,0,0,2.2869e-08,0.16560999999999998,1.1376e-10,0.023898,0.89664,7.5258e-08,0,0.090396,0.00025683,0.63734,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,50.398778602478664
16,0.013991,0,0,0,0,0,0,0,0,0,1.2906e-07,0,0,1.5215000000000002e-09,5.1894e-08,1.1095e-10,1.7466e-05,1.0405,2.5577e-06,0,2.0966e-06,1.3324000000000002e-05,0.63613,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,48.60219099225362
17,0.92424,0,0,0,0,0,0,0,0,0,0.30664,0,0,0.0027708999999999998,0.0057644,1.4587999999999998e-09,3.2844e-05,1.3396,5.2973e-10,0,1.3314e-08,8.454700000000001e-07,0.52598,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,47.63335284446771
18,0.50444,0,0,0,0,0,0,0,0,0,1.4131e-09,0,0,8.3316e-10,3.2153e-12,2.3895e-13,0.013558,0.8358399999999999,1.6992e-10,0,3.9911e-05,4.3122000000000006e-11,0.9526899999999999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,50.45875324911554
19,0.29756,0,0,0,0,0,0,0,0,0,0.057161000000000003,0,0,0.00043047,0.15400999999999998,2.5465000000000003e-11,2.3417e-09,1.0319,4.840900000000001e-08,0,5.0698e-07,1.7850000000000002e-07,0.80128,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,50.53585497920168
20,0.0022272,0,0,0,0,0,0,0,0,0,4.6127e-05,0,0,4.7287e-10,0.0013034000000000001,1.3287e-06,6.6145e-08,1.196,5.832800000000001e-07,0,3.1021e-05,3.5710000000000004e-10,0.84267,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,49.32379299811699
21,0.49658,0,0,0,0,0,0,0,0,0,0.035894,0,0,1.7487999999999998e-08,0.1551,2.9891e-09,0.0010655999999999999,0.9437,2.9297e-08,0,1.0582e-08,4.0015e-05,0.47975,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,49.16553937501187
22,0.0056536,0,0,0,0,0,0,0,0,0,0.018527000000000002,0,0,1.5243000000000002e-06,0.060647,0.0038359,0.0013997999999999999,1.1436,0.00019336,0,2.5439e-05,3.21e-06,0.86372,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,49.949838458055446
