,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00012927,0,0,0,0.36238000000000004,0,0,0,0,0,0.023101,0,0,0,0.0076178,5.405600000000001e-13,0.24020999999999998,0.9875799999999999,0,0,0.00080736,1.7402e-08,0.6692899999999999,0,2.1881999999999998e-05,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,39.27479648101547
1,0.63221,0,0,0,1.4684999999999999e-08,0,0,0,0,0,0.0068292000000000005,0,0,0,0.0034548,3.0884999999999995e-08,1.6543e-09,1.1171,0,0,2.0575e-06,1.8006e-06,0.62337,0,0.077055,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,39.64726929717314
2,2.0297e-06,0,0,0,0.0019179000000000002,0,0,0,0,0,9.282899999999999e-07,0,0,0,0.4339,5.825899999999999e-13,2.4789e-05,0.9527200000000001,0,0,0.00034725,0.00025884,0.50232,0,0.15172,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,43.52905674259211
3,1.1488e-06,0,0,0,0.25861,0,0,0,0,0,0.0034777000000000002,0,0,0,1.063e-08,1.9237999999999999e-10,0.19268,1.3156,0,0,1.5076e-06,5.509e-10,0.48528000000000004,0,0.0069702,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,37.45698997909647
4,0.00016437,0,0,0,0.22466,0,0,0,0,0,1.3979e-07,0,0,0,4.1039999999999997e-07,5.5868e-06,0.073934,1.2145,0,0,3.3117e-08,3.0822e-09,0.77171,0,0.12544,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,40.39399298759311
5,0.16193,0,0,0,0.13982,0,0,0,0,0,9.128399999999999e-08,0,0,0,0.00059655,1.7638e-11,0.06205700000000001,0.9767100000000001,0,0,2.5754000000000004e-11,9.8372e-06,0.63617,0,0.50821,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,44.55845445813637
6,4.6216e-11,0,0,0,0.27702,0,0,0,0,0,6.687999999999999e-09,0,0,0,2.5986999999999997e-05,1.5498e-10,0.013824000000000001,1.1666,0,0,0.0018363,1.4903e-06,0.5471,0,0.44783,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,42.830727731343394
7,2.5017e-08,0,0,0,0.060063,0,0,0,0,0,0.17818,0,0,0,1.6113e-10,3.2289999999999993e-08,1.6232e-09,1.4373,0,0,7.944600000000001e-09,0.0012185,0.17634,0,0.2232,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,38.01201365867226
8,0.053512,0,0,0,0.080484,0,0,0,0,0,0.06489600000000001,0,0,0,0.010475,1.0667e-07,9.1705e-05,1.2752,0,0,0.00034319,1.7388999999999998e-08,0.84641,0,0.078283,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,40.23098032311228
9,0.11072,0,0,0,0.061647,0,0,0,0,0,0.00024751,0,0,0,0.066249,7.4055e-08,9.9624e-06,1.0704,0,0,0.31832,1.8133e-07,0.27736,0,0.38818,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,42.97536214383344
10,0.69401,0,0,0,0.11878,0,0,0,0,0,7.053e-09,0,0,0,6.7051e-05,7.5884e-10,0.001059,0.69634,0,0,0.00026230000000000003,5.0686e-08,0.77083,0,0.21195999999999998,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,42.97516252320955
11,0.0013861,0,0,0,0.59318,0,0,0,0,0,0.01626,0,0,0,6.9212e-08,6.1724e-10,0.0034277,1.1551,0,0,0.00012941,2.4946e-09,0.24436,0,0.42454,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,40.9869750882406
12,0.7442,0,0,0,0.00010412,0,0,0,0,0,0.3536,0,0,0,7.3548e-09,7.0638e-09,0.027017000000000003,1.1072,0,0,2.2886e-11,1.4764e-06,0.019814,0,0.00020209999999999998,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,35.981367736539795
13,0.085155,0,0,0,0.30408,0,0,0,0,0,0.018752,0,0,0,0.39778,2.7273000000000003e-09,0.020986,1.0939,0,0,0.09548999999999999,1.4269e-07,0.44322,0,0.27992,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,44.042517975727776
