,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.07241399999999999,0,0,0,0.36357,0.44186000000000003,0,0.08088,0,0,0,0.23387,0,0,5.1534000000000005e-06,6.6082e-13,0,0.9129700000000001,3.701300000000001e-11,0,0.19358,5.9229e-07,0.41853,0.013358000000000002,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,41.88502058356263
1,0.6158399999999999,0,0,0,0.11523,0.61854,0,1.6835999999999998e-07,0,0,0,4.6613e-07,0,0,1.8272e-08,1.4416e-12,0,1.2395,0.00010614,0,0.023355,7.9572e-10,0.0014414999999999999,0.7599600000000001,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,38.84927594898292
2,1.3880999999999998e-07,0,0,0,0.082856,0.39865,0,2.1357000000000002e-10,0,0,0,0.26539,0,0,0.39019000000000004,1.4629e-12,0,0.85449,6.0367e-07,0,6.2246e-05,6.2953e-10,0.29079,0.48796000000000006,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,43.9572975482562
3,4.6115e-12,0,0,0,0.14742,0.22,0,4.7987e-09,0,0,0,7.014199999999999e-10,0,0,0.17644,1.4655e-11,0,1.0715,0.0044313,0,1.5126e-07,1.6025999999999998e-09,0.037306,0.8386399999999999,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,41.34400872872397
4,0.090179,0,0,0,7.126400000000001e-08,0.0002121,0,3.4096000000000003e-10,0,0,0,0.00011017,0,0,2.5183e-10,7.4607e-05,0,0.7227600000000001,2.7212e-10,0,0.00065468,2.7908e-09,0.095235,1.0887,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,41.25764697730206
5,0.2468,0,0,0,1.7820999999999998e-07,0.12425,0,1.3762999999999999e-06,0,0,0,0.42685,0,0,1.0395999999999998e-05,7.981299999999999e-10,0,0.6875100000000001,0.4566,0,0.00020106,2.0884e-09,0.0085917,0.53481,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,40.542379964612294
6,1.6352000000000002e-05,0,0,0,0.0015796,0.59216,0,0.12408,0,0,0,0.21806999999999999,0,0,0.043976,4.3348e-12,0,0.67969,4.3883e-09,0,0.37875,0.0026046999999999997,0.39333,0.41372,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,42.7166936259179
7,0.074159,0,0,0,0.24708000000000002,0.51234,0,1.5983e-07,0,0,0,3.7233e-05,0,0,7.2229e-07,1.4657e-12,0,1.117,4.9923000000000005e-06,0,0.017651,7.2516e-09,0.18212,0.6015199999999999,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,40.017856124320794
8,0.0090731,0,0,0,0.061411,0.13865999999999998,0,0.11145,0,0,0,0.28564,0,0,0.18818,6.9548e-05,0,0.7528199999999999,1.3013999999999998e-08,0,0.00029916,8.4696e-05,0.40152,0.88003,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,43.47040187794904
9,0.5786600000000001,0,0,0,6.1947e-08,1.0913,0,0.33126,0,0,0,0.31794,0,0,0.045456,1.6930000000000001e-06,0,0.7237399999999999,1.0687000000000002e-07,0,2.6469000000000004e-09,2.3437e-09,0.009065700000000001,0.75045,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,37.5556934779786
