,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00012595,0,0,0,0.30798000000000003,0,0,0,0,0,0,0,0,3.2663e-05,0,7.4676e-13,0.23219,0.9966200000000001,1.6864e-09,0,0.001184,3.8965e-08,0.66367,0,4.964e-05,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,35.42490820136362
1,0.52735,0,0,0,1.5502e-08,0,0,0,0,0,0,0,0,0.008391500000000001,0,1.0821e-06,4.7644e-10,1.1123,0.00035108,0,9.4042e-07,4.7875e-06,0.7094,0,0.093472,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,36.53554113878036
2,2.8552e-07,0,0,0,1.474e-06,0,0,0,0,0,0,0,0,1.833e-12,0,2.7809000000000003e-13,1.5691e-05,1.2890000000000001,2.1114e-05,0,8.701999999999999e-07,0.0011970999999999998,0.40193,0,0.29521,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,36.54123939942926
3,1.1012000000000001e-06,0,0,0,0.26544,0,0,0,0,0,0,0,0,1.985e-06,0,1.5894e-10,0.20968,1.3245,1.6596e-09,0,1.3688e-06,5.926e-10,0.46755,0,0.020283000000000002,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,33.6831939711243
4,0.00016791,0,0,0,0.22318000000000002,0,0,0,0,0,0,0,0,3.5859e-09,0,5.3573e-06,0.074626,1.2148,1.6300999999999998e-07,0,3.4249e-08,4.1053e-09,0.7720600000000001,0,0.12673,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,36.64785354014427
5,0.1588,0,0,0,0.13967000000000002,0,0,0,0,0,0,0,0,7.3382e-08,0,4.1402e-11,0.062414,0.97854,3.5322e-09,0,6.423100000000002e-11,1.2363e-05,0.63505,0,0.50995,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,40.7840313079925
6,1.0192e-10,0,0,0,0.27681,0,0,0,0,0,0,0,0,7.8446e-05,0,8.9525e-10,0.0138,1.1667,2.1396e-09,0,0.0018457,1.6318e-06,0.54709,0,0.44758000000000003,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,39.040636858950364
7,7.0237e-05,0,0,0,0.0068455,0,0,0,0,0,0,0,0,0.76167,0,1.8188e-08,4.4883e-10,1.1722,5.7087e-05,0,2.9569e-09,8.7561e-06,0.35084,0,0.23333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,43.85408951987895
8,0.06130700000000001,0,0,0,0.09341,0,0,0,0,0,0,0,0,8.9514e-10,0,1.372e-07,0.00017461,1.2691,5.1376e-07,0,0.00047463,1.4859e-08,0.8402799999999999,0,0.10545999999999998,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,36.66825776851204
9,0.09239800000000001,0,0,0,0.043008,0,0,0,0,0,0,0,0,9.098299999999998e-11,0,6.9045e-08,1.1105999999999998e-05,1.135,1.4031e-07,0,0.29227,1.0917999999999999e-07,0.27542,0,0.45411,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,39.06771404149762
