,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,1.0509e-06,0,0,0,0.018775999999999998,0,0,0,0,1.2492e-13,0,0,0.5865100000000001,0,0,1.8808e-14,0,1.1298,1.1044e-12,1.7987e-05,2.7732999999999998e-06,6.609600000000001e-10,0.6693899999999999,0.27858,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.264404006195594
1,0.096455,0,0,0,0.24031,0,0,0,0,0.42491999999999996,0,0,0.40564,0,0,2.4462e-12,0,0.9339,0.0085471,0.021283,0.0015288,2.5781e-06,0.072051,0.50962,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.061595870960574
2,0.26579,0,0,0,2.0613e-09,0,0,0,0,1.0763e-05,0,0,0.46123000000000003,0,0,1.4362e-08,0,1.0588,7.359299999999999e-06,0.00012368,0.007851200000000001,0.0038457,0.016339,0.6723,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.889717387412965
3,1.0426e-11,0,0,0,0.16058,0,0,0,0,1.4974e-07,0,0,0.099636,0,0,8.002000000000001e-12,0,1.0042,0.00032881,4.6411e-07,1.1375e-06,1.1535999999999999e-10,0.14848,0.8497100000000001,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.84018114475641
4,0.27121,0,0,0,6.4885e-11,0,0,0,0,0.34295,0,0,0.21609,0,0,1.8779e-05,0,0.6400100000000001,1.1405999999999999e-10,0.0073766000000000005,0.082436,3.1800000000000004e-10,0.0062752,1.2026,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,26.041264273130604
5,0.070636,0,0,0,7.0925e-06,0,0,0,0,0.63313,0,0,0.14845,0,0,1.4796e-08,0,0.56707,0.0031822,0.29489,0.00027182,1.0793999999999999e-08,0.030663,0.8817799999999999,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,28.719437836745584
6,3.2231000000000005e-10,0,0,0,0.00031806,0,0,0,0,0.2589,0,0,0.17973,0,0,1.7909000000000004e-11,0,1.3468,2.3552e-06,1.9325e-05,6.1653e-06,0.00086925,0.39721,0.42504,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.762440318952056
7,0.00019668,0,0,0,0.088863,0,0,0,0,0.013315,0,0,9.3532e-09,0,0,3.1767e-11,0,0.9781,0.0026706,0.50902,0.25732,0.00018121,0.45876000000000006,0.68382,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,33.16836660330277
8,0.046343,0,0,0,0.35195,0,0,0,0,0.10547999999999999,0,0,0.045877999999999995,0,0,0.0013681,0,0.9082100000000001,1.5804999999999999e-09,0.00014881,0.007925100000000001,6.4348e-05,0.18085,1.0476,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.94545512249662
9,0.8557799999999999,0,0,0,0.32542,0,0,0,0,2.864e-08,0,0,3.0807e-05,0,0,1.5681e-08,0,0.9725600000000001,0.00044433,4.0150999999999995e-09,0.060987,0.00071379,0.39000999999999997,0.2675,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.5412080973639
10,0.0036568000000000004,0,0,0,0.20439000000000002,0,0,0,0,0.12017,0,0,0.17767,0,0,7.476199999999999e-10,0,1.2457,2.6689e-06,9.891e-05,0.029126,4.0422e-05,0.061456,0.67595,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.6769648443888
11,1.2947e-06,0,0,0,0.62874,0,0,0,0,2.773e-10,0,0,0.15911,0,0,3.0772e-08,0,1.194,4.0544e-08,2.8948e-10,2.3142e-10,1.1768e-08,0.55267,0.7188,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.7029062362931
12,0.39865,0,0,0,1.9544e-09,0,0,0,0,0.0031163000000000002,0,0,0.5681,0,0,2.8584999999999998e-08,0,1.0308,1.7342e-07,0.20805,1.2628e-07,2.1307e-07,0.42995,0.32033,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,27.530973159970856
13,0.40471999999999997,0,0,0,0.088724,0,0,0,0,0.0022498,0,0,0.41843,0,0,3.9259000000000006e-11,0,0.7557699999999999,3.0341999999999995e-08,0.21991,0.16809000000000002,9.0718e-11,0.37196,0.63748,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,29.326243627246853
14,1.3888e-09,0,0,0,1.0267999999999999e-07,0,0,0,0,0.40634000000000003,0,0,0.66771,0,0,3.3689999999999997e-15,0,1.1735,3.1372e-08,1.3721e-12,2.2699999999999998e-07,8.910299999999999e-07,0.20267000000000002,0.17162,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.77685560764959
15,0.32955,0,0,0,1.3801e-06,0,0,0,0,0.00043979999999999996,0,0,0.26796,0,0,1.0889e-10,0,0.74428,2.7281e-05,0.37596,1.1054000000000001e-07,8.7678e-05,0.4394,0.50241,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,29.80482476958421
16,1.0615000000000001e-06,0,0,0,7.6194e-08,0,0,0,0,0.061402,0,0,0.22100999999999998,0,0,2.8335e-12,0,1.1166,2.3851999999999994e-07,2.4826e-05,4.7078000000000004e-07,1.9308e-07,0.39147,0.68747,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.02803728980502
17,0.38399,0,0,0,0.010178,0,0,0,0,0.0012356,0,0,1.9112e-06,0,0,2.7431999999999997e-08,0,1.0165,0.00056846,0.27776,0.12888,0.0061508000000000005,0.24465,0.81395,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,29.37484328008625
18,0.28594,0,0,0,0.061029999999999994,0,0,0,0,0.0024404,0,0,0.10454000000000001,0,0,7.2318e-07,0,0.7380399999999999,4.1764999999999995e-10,0.08727599999999999,2.9088e-07,0.00029635,0.062448000000000004,0.87877,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,26.14797956121705
19,0.0039736,0,0,0,0.26827,0,0,0,0,0.1686,0,0,0.32847,0,0,5.5373e-06,0,0.90965,0.00032977,0.14001,4.3669999999999995e-09,6.6625e-05,0.22813000000000003,0.6111,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,26.55808889358794
20,1.1249000000000001e-07,0,0,0,0.19147999999999998,0,0,0,0,7.2744e-08,0,0,4.0801999999999997e-07,0,0,0.0085315,0,0.85862,1.688e-07,1.4455e-08,0.0031274000000000002,1.4868e-09,0.92675,0.92215,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.770725997796887
21,0.008730400000000001,0,0,0,4.4902e-08,0,0,0,0,0.255,0,0,1.4820999999999999e-09,0,0,3.6225e-10,0,1.1129,5.5556e-09,0.00011725,7.2053e-09,7.5455e-08,0.0028612,1.0298,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.664072333186468
22,0.032652,0,0,0,0.14597000000000002,0,0,0,0,0.0006343999999999999,0,0,0.52144,0,0,5.8512e-10,0,0.8909299999999999,1.0766e-06,8.7781e-06,0.0058335,1.5774e-11,0.2317,0.75248,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.11972214785682
23,0.26145999999999997,0,0,0,2.6474000000000003e-08,0,0,0,0,3.3624e-06,0,0,0.063154,0,0,0.0019602,0,0.7278600000000001,3.0304e-05,1.575e-07,0.1384,1.3053e-09,0.26654,0.8652,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,26.56949993590363
24,7.5891e-10,0,0,0,0.36495,0,0,0,0,1.9386e-09,0,0,0.019556,0,0,7.4062e-11,0,1.1816,7.422e-06,6.0639e-07,0.012651,7.268e-06,0.41018999999999994,0.32213,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.850240443845497
25,2.1795e-05,0,0,0,0.009247799999999999,0,0,0,0,1.1823e-05,0,0,3.4191e-05,0,0,3.5516000000000004e-06,0,1.1157,4.6918999999999996e-05,0.030101,7.4915e-08,1.2872e-09,0.14937999999999999,0.5966,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.134307782958796
26,0.3902,0,0,0,0.0012654,0,0,0,0,0.41453999999999996,0,0,0.0017760999999999999,0,0,0.00072489,0,0.71977,0.037137,2.0974e-08,0.082014,9.925799999999999e-10,0.63041,1.0859,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,26.44697274470369
27,2.0183e-07,0,0,0,0.00047698,0,0,0,0,2.7294999999999997e-10,0,0,3.311e-06,0,0,3.6556999999999996e-07,0,0.63972,2.1098e-05,0.5509,6.116699999999999e-06,4.1811000000000005e-06,0.087652,0.86884,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,31.583004717533953
28,0.19985999999999998,0,0,0,0.09525800000000001,0,0,0,0,0.06217,0,0,0.00021728,0,0,7.949500000000001e-09,0,1.2017,2.2104e-09,1.2720999999999999e-05,1.0854000000000001e-05,0.19369,0.14655,0.75249,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,28.578186552283345
29,0.17374,0,0,0,0.052316999999999995,0,0,0,0,1.5399000000000002e-09,0,0,0.21486,0,0,1.9344e-12,0,0.8566600000000001,3.0030999999999997e-09,1.8728e-06,5.8228e-08,3.9442e-09,0.60437,0.7702399999999999,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.524406955017596
30,1.5579e-05,0,0,0,2.0337e-07,0,0,0,0,0.36483000000000004,0,0,0.06926399999999999,0,0,1.0424e-08,0,1.1253,0.043983999999999995,6.0437e-05,7.6921e-05,0.0016202999999999999,0.08800000000000001,0.69362,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.762542119054455
31,0.011831,0,0,0,0.00013328,0,0,0,0,9.5388e-06,0,0,0.10363,0,0,3.9991999999999994e-11,0,0.9225700000000001,7.6611e-10,0.00025340000000000003,0.00013357,9.2922e-06,0.24795,0.8845700000000001,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.138568003868432
32,0.00038535,0,0,0,0.36626,0,0,0,0,0.5733,0,0,0.50371,0,0,2.7310000000000004e-16,0,0.7794399999999999,5.8835e-11,2.2826999999999996e-09,3.4457e-12,1.7038e-07,0.045170999999999996,0.36841,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.89895873272482
33,2.8334e-05,0,0,0,0.046002999999999995,0,0,0,0,0.10503,0,0,0.38998,0,0,4.6158999999999997e-08,0,0.99271,2.4169e-08,6.9301e-05,0.0043435,0.39411999999999997,0.13424,0.56419,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,32.98064323657764
34,1.3927e-05,0,0,0,0.18241,0,0,0,0,0.18114,0,0,0.3715,0,0,4.2408e-11,0,1.1063,3.9007e-09,0.062792,0.12629,3.8939e-09,0.18392,0.53928,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,26.515276581812227
35,0.27038,0,0,0,0.0026061,0,0,0,0,7.0624e-08,0,0,0.5375,0,0,9.1371e-10,0,1.0861,0.30589,1.621e-08,1.1731e-06,1.6034e-12,0.29285,0.51236,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.970603448725868
36,1.6044e-09,0,0,0,0.030650999999999998,0,0,0,0,0.0031571999999999998,0,0,0.26734,0,0,0.061058,0,0.9931200000000001,0.013701,2.2412000000000002e-06,7.4755e-09,2.0119e-05,0.24249,0.8212299999999999,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.022678206731243
37,5.7318e-05,0,0,0,0.00028734,0,0,0,0,0.001326,0,0,9.368899999999999e-05,0,0,5.3312e-10,0,0.8163199999999999,0.005043,1.0652e-06,0.00035582,1.8945999999999998e-05,0.40804,0.7405,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.423159278739014
38,0.00021391,0,0,0,0.15259,0,0,0,0,0.18849000000000002,0,0,0.0016179000000000002,0,0,4.1255e-13,0,0.8235100000000001,1.1205e-13,0.5412600000000001,0.2094,9.2789e-09,0.35327,0.51312,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,33.17880711298172
39,0.28883000000000003,0,0,0,0.089107,0,0,0,0,0.048411,0,0,0.093003,0,0,3.7883e-13,0,0.57345,6.890200000000001e-10,0.0015855,0.29041,0.29041999999999996,0.50371,0.81597,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,34.16032216307342
40,2.6518000000000003e-08,0,0,0,0.38935,0,0,0,0,0.12627,0,0,0.0047402,0,0,6.0135e-10,0,0.92953,1.7193e-08,0.031693,0.0020465,0.0012842,0.11199999999999999,0.79389,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.163270649655033
41,0.16831,0,0,0,0.1779,0,0,0,0,0.0011333,0,0,0.033419,0,0,8.970700000000001e-08,0,0.9368,5.9865999999999996e-06,0.013287,0.0001226,0.32621999999999995,0.16996,0.81443,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,31.734969977823418
42,0.006810300000000001,0,0,0,0.044371,0,0,0,0,0.16475,0,0,0.25077,0,0,1.9727999999999998e-11,0,1.1553,1.5397000000000002e-05,9.1659e-09,3.2616000000000002e-06,1.0518e-08,0.56214,0.36455,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.114707224527777
43,0.0015347999999999998,0,0,0,0.26757,0,0,0,0,0.41458999999999996,0,0,0.49809,0,0,9.1795e-13,0,0.72122,1.8385e-08,0.0046812,0.013212999999999999,0.00017968,0.35741999999999996,0.50137,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.49752953772023
44,0.66122,0,0,0,3.8009e-05,0,0,0,0,0.09078,0,0,0.59835,0,0,0.00012453,0,0.8501299999999999,5.1473e-05,0.16094,0.24788000000000002,3.0428e-05,2.6501999999999998e-05,0.50111,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,28.916324033361924
45,0.55003,0,0,0,1.3116e-07,0,0,0,0,3.252e-10,0,0,9.6731e-08,0,0,9.1937e-09,0,1.3625,2.6412e-08,0.3595,3.4934e-07,0.37954,0.009139200000000002,0.62958,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,36.1675794430726
46,8.3671e-11,0,0,0,0.023804,0,0,0,0,0.015773,0,0,0.43368999999999996,0,0,1.6350999999999998e-06,0,0.88149,0.013363,1.5689000000000002e-05,1.1337999999999999e-05,7.8871e-08,0.27391,0.83341,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.196487142294043
47,0.034005,0,0,0,1.7301e-05,0,0,0,0,0.18689,0,0,3.0125e-05,0,0,2.9323e-12,0,1.2469,4.8311999999999996e-08,0.012685,5.6102999999999995e-06,5.260599999999999e-06,0.47473000000000004,0.36901,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.08758872780814
48,0.014924000000000002,0,0,0,0.00030616,0,0,0,0,1.1193999999999999e-10,0,0,0.52775,0,0,2.4491e-06,0,1.2701,2.0536000000000003e-10,0.12727,1.8981999999999999e-06,4.6205e-10,0.27251,0.26306,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,26.165113011391153
49,0.23651999999999998,0,0,0,2.4371e-08,0,0,0,0,0.44872,0,0,0.54398,0,0,3.6209e-05,0,0.8700899999999999,0.00010533,6.1974e-06,0.073267,0.00013385,0.43436,0.51647,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,26.00147194368342
50,0.2858,0,0,0,0.23289,0,0,0,0,0.087152,0,0,0.0077745,0,0,3.5127999999999996e-06,0,0.9761799999999999,0.013847,0.00045787,5.7406e-09,3.8826e-09,0.67037,0.39588,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.333068275859386
51,0.0019137999999999998,0,0,0,0.00092712,0,0,0,0,8.6843e-13,0,0,0.23911,0,0,3.1158e-12,0,1.0769,1.3835999999999998e-07,0.32504,2.5288e-12,8.5259e-06,0.42027,0.8438100000000001,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,28.79012593278545
52,2.0964e-05,0,0,0,0.060292,0,0,0,0,0.2359,0,0,0.59278,0,0,2.0292e-09,0,0.8137300000000001,2.4687e-10,4.957600000000001e-10,0.37901,0.00038474,0.007248899999999999,1.0682,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,28.22628445003367
53,0.70081,0,0,0,4.365e-05,0,0,0,0,0.033923,0,0,4.8214e-11,0,0,2.1221e-09,0,0.9338,9.6982e-05,2.2806999999999998e-07,0.26636,1.0945e-05,6.9873e-06,0.74227,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,27.142801361549196
54,0.009717700000000001,0,0,0,0.44116000000000005,0,0,0,0,0.128,0,0,0.27179000000000003,0,0,2.1276e-08,0,0.9510799999999999,0.0016733,0.006921500000000001,1.3e-06,8.4979e-10,0.012784,1.2324,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,24.686080993822987
55,2.3804e-09,0,0,0,0.019083000000000003,0,0,0,0,0.0024892,0,0,0.27886,0,0,4.4062e-09,0,0.8221700000000001,0.027589,0.018413,1.1485e-08,2.8454e-08,0.6564399999999999,0.80485,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.846079749392693
56,5.0604e-10,0,0,0,0.38127,0,0,0,0,9.5086e-11,0,0,0.5103,0,0,5.5273e-10,0,0.8651,0.035717,0.062287,7.6126e-09,2.9636e-07,0.27095,0.72023,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.703513879820324
57,0.0062254,0,0,0,0.16382,0,0,0,0,0.0017739000000000001,0,0,0.0029401,0,0,3.7424e-11,0,1.1356,1.0227e-06,0.26109,0.010164,8.4583e-09,0.19751,0.0021062,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,27.766773282633206
