,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.99721,0,0,0,0,0.395,0,0,1.7602000000000002e-05,0,0.31051999999999996,0,0,0,0,7.3756e-09,0,0.70706,1.5538e-07,0,0.042305,2.4205999999999998e-05,0.26799,0,1.0795e-07,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,34.05276672055098
1,0.8482299999999999,0,0,0,0,0.45366000000000006,0,0,7.565100000000001e-15,0,0.27443,0,0,0,0,1.5708e-07,0,1.1728,0.00030677,0,0.00011125,2.8399999999999997e-11,0.30937,0,0.10993,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,34.063575724525144
2,3.3783999999999997e-06,0,0,0,0,0.42051000000000005,0,0,1.3185999999999999e-05,0,0.000123,0,0,0,0,3.9329e-12,0,1.2238,0.0031697,0,8.742000000000001e-08,0.0054329999999999995,0.15852,0,0.34974,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,35.96466714224182
3,2.6355e-10,0,0,0,0,0.46953999999999996,0,0,0.18261,0,0.21602,0,0,0,0,1.6364e-10,0,0.90207,3.9032999999999995e-06,0,0.00010312,4.3949e-07,0.40323000000000003,0,7.8679e-05,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,33.84125944023668
4,0.31544,0,0,0,0,0.46688,0,0,0.7226199999999999,0,0.088161,0,0,0,0,5.2068000000000004e-05,0,0.43283,7.452e-09,0,3.4776e-07,0.00060629,0.60661,0,0.17268,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,37.48360507934335
5,0.38099,0,0,0,0,0.41093,0,0,0.00021582,0,0.0086613,0,0,0,0,1.6199999999999998e-10,0,0.8401299999999999,3.4824000000000004e-05,0,1.0766e-08,9.1578e-08,0.42728999999999995,0,0.4134,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,38.58333640288586
6,3.9836e-09,0,0,0,0,0.27649,0,0,0.47253,0,1.7249000000000003e-07,0,0,0,0,2.3406999999999996e-09,0,1.0463,1.6987000000000002e-05,0,0.0067946,3.3067e-06,0.47243,0,0.13869,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,35.73376907344683
7,0.2721,0,0,0,0,0.68334,0,0,0.15503,0,0.0012917,0,0,0,0,2.3995e-13,0,0.98467,7.0389e-07,0,5.5604999999999995e-06,6.9521e-10,0.26122,0,0.005198899999999999,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,32.58082686955505
8,0.11039000000000002,0,0,0,0,0.92156,0,0,0.09499099999999999,0,0.12774000000000002,0,0,0,0,7.977e-11,0,0.9247,2.4793e-05,0,0.00027227,2.127e-07,0.48673999999999995,0,0.13696,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,34.47680364648869
9,0.48258,0,0,0,0,0.20022,0,0,0.27569,0,0.005386600000000001,0,0,0,0,7.382399999999999e-05,0,1.0519,1.8503e-08,0,0.17002,5.6465e-11,0.024676,0,0.5894,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,39.334362726758805
