,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.5515,0,0,0,0,0.59295,0,0,5.3212e-05,1.2442e-07,0,0,0.27109,0,0.0017813,3.9723e-12,0,0,0,0,0.14618,0.00073046,0.89013,0,6.2362e-10,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,6.097148213271767
1,0.032434,0,0,0,0,0.6744899999999999,0,0,5.511e-06,0.24261,0,0,0.41415,0,1.2810000000000002e-07,1.5812e-10,0,0,0,0,0.0062756,0.00031568,0.76546,0,0.46416,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,6.000056377989968
2,0.0021659,0,0,0,0,1.1975,0,0,0.16139,0.14582,0,0,0.62698,0,0.40265,0.0041313,0,0,0,0,0.09342,0.019206,0.12534,0,0.004461,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,5.871725001269733
3,6.9369e-07,0,0,0,0,0.71073,0,0,0.19263,5.2072e-07,0,0,0.52079,0,0.35076999999999997,0.43995,0,0,0,0,0.00083991,0.028702999999999996,0.25886,0,1.5298e-11,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,5.101211277320512
4,7.5971e-08,0,0,0,0,0.00067061,0,0,0.34761,0.035688,0,0,0.68384,0,4.3406000000000005e-08,4.2573e-07,0,0,0,0,0.0011875,0.16334,0.91241,0,0.0016815,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,7.836397815406064
5,0.13155999999999998,0,0,0,0,0.60487,0,0,2.6141000000000003e-10,0.31665,0,0,0.37628,0,0.0001685,2.4667e-06,0,0,0,0,4.2716e-07,1.0366e-07,1.0979999999999999,0,0.0036965,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,3.501369974794917
6,1.5359000000000002e-08,0,0,0,0,0.25045,0,0,0.48618999999999996,7.2946e-05,0,0,0.8505299999999999,0,0.0019959,1.1519e-07,0,0,0,0,0.10363,0.00024545,0.8452200000000001,0,0.068699,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,6.3172375368450995
7,1.0413,0,0,0,0,0.90384,0,0,0.53959,0.17502,0,0,0.068374,0,0.46718999999999994,0.008871799999999999,0,0,0,0,6.6527e-06,8.9406e-11,0.33038,0,1.0399000000000001e-07,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,4.987904562594952
8,0.080125,0,0,0,0,0.50937,0,0,1.0287,0.30396,0,0,0.5694,0,1.1271e-09,7.8125e-11,0,0,0,0,0.078628,0.00049268,0.60125,0,0.00020192,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,4.338075430090594
9,0.0058087,0,0,0,0,0.8662200000000001,0,0,0.29889,4.0164999999999996e-08,0,0,1.0074e-05,0,0.1048,0.021505,0,0,0,0,0.09911299999999999,1.3242e-10,0.13437000000000002,0,0.47948999999999997,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,7.261226998711463
10,4.6924e-09,0,0,0,0,1.0749,0,0,0.001158,3.3e-06,0,0,0.012075,0,3.5648e-05,0.0045801999999999995,0,0,0,0,0.24461,0.016316999999999998,0.75305,0,0.00021617,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,7.0733191019512525
11,0.33304,0,0,0,0,0.70072,0,0,2.5394e-12,1.5295e-10,0,0,0.70663,0,1.3107000000000002e-07,0.00063995,0,0,0,0,0.73307,2.2203e-11,0.3252,0,0.00029226,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,16.554347169161623
12,4.6965000000000003e-07,0,0,0,0,1.3769999999999998,0,0,0.00010188,1.9015000000000001e-06,0,0,1.1322,0,0.25587,6.9728e-12,0,0,0,0,1.0185e-09,3.1509e-08,0.80476,0,4.9374e-08,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,3.2002231415127476
13,0.9727399999999999,0,0,0,0,0.69158,0,0,0.088776,9.929399999999999e-07,0,0,0.46036000000000005,0,0.26621999999999996,6.759099999999999e-06,0,0,0,0,0.14514000000000002,2.6552999999999996e-10,0.80624,0,5.6325e-09,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,7.643300593463849
14,0.080546,0,0,0,0,1.7465,0,0,0.44448000000000004,1.4992e-09,0,0,0.2375,0,0.12625999999999998,2.0385e-11,0,0,0,0,3.1034e-09,5.4145000000000006e-08,0.31555,0,5.6892e-09,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0.6179808931921702
15,0.32447,0,0,0,0,0.1732,0,0,0.23742,0.2036,0,0,0.37526,0,0.057547,1.7205e-14,0,0,0,0,0.30983,8.293300000000001e-10,1.1627,0,0.5582600000000001,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,14.711580851441774
16,0.00026399,0,0,0,0,1.2186,0,0,0.30691,0.57195,0,0,0.27457,0,0.57011,5.9026e-12,0,0,0,0,0.62758,0.00024599,0.8035399999999999,0,1.7003999999999998e-08,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,18.20694771179111
