,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,8.966100000000001e-05,0,0,0,0,0,0,0,4.9019000000000004e-08,0,0.14392,0,0,1.4024e-14,0.008505,2.6478e-08,0,0,0,0.17352,1.1632e-09,3.4311e-06,1.8714,0,4.8053e-05,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,12.632230969078163
1,0.032151,0,0,0,0,0,0,0,1.2628999999999998e-08,0,1.0218e-05,0,0,0.11001,0.13264,2.992e-08,0,0,0,0.34076999999999996,0.018729,0.00014902,1.5936,0,0.07637999999999999,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,14.480145980455534
2,2.9834999999999996e-08,0,0,0,0,0,0,0,0.10055,0,7.680500000000001e-07,0,0,1.513e-10,0.18416,1.6960999999999998e-11,0,0,0,0.048931,0.0027419000000000002,0.034257,1.5626,0,0.35753,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,15.526795917578484
3,2.2779e-11,0,0,0,0,0,0,0,0.07673200000000001,0,2.3128e-08,0,0,2.8758e-10,7.9221e-05,0.00059717,0,0,0,0.67804,0.018288,7.3477e-09,1.3833,0,2.8259999999999998e-11,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,11.154851173400655
4,1.9835e-09,0,0,0,0,0,0,0,0.39224000000000003,0,2.9249999999999997e-08,0,0,1.0005e-11,1.3527000000000001e-10,1.1153e-05,0,0,0,0.00022799999999999999,0.011814,5.6701e-08,1.3148,0,0.31922,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,12.69530143942285
5,0.005379600000000001,0,0,0,0,0,0,0,6.6856e-08,0,6.578399999999999e-05,0,0,9.176999999999999e-07,5.492e-06,5.9441e-11,0,0,0,2.2233000000000004e-09,3.5953e-09,3.7581e-09,1.6805,0,0.087228,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,12.397095122477388
6,3.2601e-08,0,0,0,0,0,0,0,0.47796000000000005,0,0.23605,0,0,0.27765,3.0968e-12,5.883e-13,0,0,0,0.024033000000000002,0.10077,4.7069e-06,1.2957,0,0.29964,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,16.68127691145928
7,0.037856,0,0,0,0,0,0,0,0.27857,0,0.30879,0,0,0.015262000000000001,0.002703,1.0668e-05,0,0,0,0.6644800000000001,0.0017699000000000002,0.05313300000000001,1.176,0,0.052672000000000004,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,11.2470666626632
8,7.323899999999999e-07,0,0,0,0,0,0,0,0.17844000000000002,0,3.9016e-06,0,0,5.8831e-11,1.4432e-07,1.0073e-10,0,0,0,0.0012559000000000001,0.009918799999999998,1.3900999999999998e-06,1.6815,0,0.00029472,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,11.949716562017741
9,1.0368e-05,0,0,0,0,0,0,0,0.30203,0,0.0048596,0,0,0.22314,0.05249500000000001,5.0516e-07,0,0,0,3.52e-06,0.34133,0.00022376,1.1277,0,0.065086,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,17.93302203072533
10,7.6599e-05,0,0,0,0,0,0,0,6.3760000000000004e-06,0,8.029899999999999e-07,0,0,0.00093329,0.057495000000000004,0.0079016,0,0,0,0.32521,0.039132,1.5349e-05,1.5169,0,0.0018276,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,12.324374443631658
11,0.00077136,0,0,0,0,0,0,0,0.11127999999999999,0,3.1133000000000005e-08,0,0,2.0181e-10,6.8071e-11,6.9909e-09,0,0,0,0.00014419999999999998,0.12145999999999998,0.00045132,1.768,0,0.0029548,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,13.957757356851387
12,0.7264,0,0,0,0,0,0,0,0.33810999999999997,0,0.50594,0,0,2.7193e-08,0.0012626,4.2515e-12,0,0,0,0.0025854,4.7533e-09,0.00035919,0.72601,0,5.4338e-08,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,8.266276914892144
13,0.016515000000000002,0,0,0,0,0,0,0,0.46847,0,0.00085015,0,0,0.38111,0.26943,9.206100000000001e-07,0,0,0,6.9234e-05,0.066475,0.00029434,1.1425,0,0.010265999999999999,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,16.74596569722091
14,0.11930999999999999,0,0,0,0,0,0,0,0.28249,0,7.4893e-10,0,0,1.8445e-11,0.028765,2.3403e-12,0,0,0,0.26163000000000003,1.0550000000000001e-07,6.354100000000001e-05,1.5556,0,0.067308,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,12.040699411777005
