,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00014936,0,1.7399999999999998e-09,0,0,0,0,0,0,0,0,0.05834299999999999,0.31098000000000003,0.004853199999999999,0.41608999999999996,2.8976999999999997e-11,0,1.0318,0,0.17623,0.0023084,1.1065999999999999e-05,0.33137,0,0.032234,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,45.733825693004874
1,0.44409,0,4.3568999999999995e-07,0,0,0,0,0,0,0,0,0.10455,0.28656,0.048248,0.017506,2.6558000000000003e-21,0,1.0456,0,0.0011642999999999998,5.6092e-05,6.515e-06,0.29611,0,0.15714,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,42.42637982228023
2,1.3798e-07,0,0.00021627,0,0,0,0,0,0,0,0,0.27276,0.6077,2.5416999999999996e-10,0.16610999999999998,2.0185e-08,0,0.95211,0,1.1209e-06,0.0016093,0.00076065,0.33535,0,0.00016277,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,41.76019721834655
3,1.4856e-13,0,1.831e-11,0,0,0,0,0,0,0,0,0.37239,0.40568000000000004,0.00015046,7.270800000000001e-09,1.4236e-12,0,0.83241,0,0.0037771000000000002,0.00039425,3.5724000000000004e-07,0.37049,0,0.087798,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,41.9467111609098
4,0.0099338,0,0.050887,0,0,0,0,0,0,0,0,0.25295,0.16049000000000002,3.2246e-09,-1.6357e-11,1.4689000000000002e-08,0,1.2787,0,0.023138,9.081600000000001e-09,2.0035e-07,0.54937,0,0.0033067,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,40.785205413159936
5,0.10052,0,-4.6636e-09,0,0,0,0,0,0,0,0,0.27266999999999997,0.18969,2.3679e-12,2.872e-05,5.0914e-12,0,1.0818,0,0.00024732,3.7325000000000004e-11,5.2302e-07,0.4961,0,0.12961,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,42.166486457996655
6,-2.5562e-13,0,9.997e-08,0,0,0,0,0,0,0,0,0.3816,0.029004000000000002,0.00073878,0.00012339,1.0543e-11,0,0.94716,0,0.16872,0.00011257,0.00022729,0.42767,0,0.12567,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,44.14242435624063
7,0.0023855,0,3.6073000000000005e-05,0,0,0,0,0,0,0,0,0.072254,-1.7863e-13,0.7582300000000001,0.00079571,-5.1156e-18,0,1.1166,0,0.049936,2.2159999999999998e-09,1.235e-05,0.44128999999999996,0,0.23836,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,51.41440548935388
8,0.07102699999999999,0,0.00018713,0,0,0,0,0,0,0,0,0.5582600000000001,0.05171799999999999,1.2702e-08,0.016299,9.3876e-06,0,1.0517,0,0.19668,4.1703000000000004e-05,1.0243999999999999e-08,0.61007,0,0.094972,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,44.66323068177641
9,6.3325e-05,0,0.00017830000000000002,0,0,0,0,0,0,0,0,0.42241000000000006,0.12182,1.0282e-14,0.00091969,1.5574000000000002e-09,0,1.0533,0,1.4883e-17,0.46471999999999997,3.1749e-11,0.3468,0,0.36819,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,40.88651874231848
10,0.79181,0,0.0011685999999999999,0,0,0,0,0,0,0,0,0.0012186,0.00070584,0.21898,0.0005446,2.1547e-09,0,0.79769,0,0.20493000000000003,7.1155e-05,2.7136e-07,0.65805,0,0.070646,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,47.50299205228906
11,0.019538999999999997,0,0.5098199999999999,0,0,0,0,0,0,0,0,0.27357,0.63939,2.0093e-12,8.3116e-07,4.228e-06,0,0.8204899999999999,0,-6.5661e-18,0.038974,1.5952e-10,0.53505,0,0.0091775,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,41.46304463653602
12,0.49987,0,0.09235299999999999,0,0,0,0,0,0,0,0,4.3262e-05,0.43241,4.857399999999999e-09,5.119e-12,1.6997e-11,0,1.0075,0,0.027199,-9.434299999999999e-17,2.7565000000000004e-11,0.5576800000000001,0,4.4004e-08,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,41.54391313433519
13,0.25711,0,0.011736,0,0,0,0,0,0,0,0,0.28702,0.11367999999999999,3.5279e-05,0.085615,3.1471e-10,0,1.1012,0,0.14031,0.00050952,4.6887e-12,0.72287,0,0.00047743,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,43.83825966300613
14,-9.2795e-12,0,4.8985e-05,0,0,0,0,0,0,0,0,0.00022085,0.39693,1.2141e-05,0.37721,3.3551e-15,0,0.9381700000000001,0,-6.787799999999999e-10,6.0730999999999995e-06,-1.0482000000000002e-09,0.7437199999999999,0,0.0016329,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,44.912510628224936
15,0.16605,0,0.0038483000000000002,0,0,0,0,0,0,0,0,0.00043773,0.31361999999999995,4.4056e-06,0.18907000000000002,2.0253e-08,0,0.6846800000000001,0,0.32037,0.20021,0.00032845,0.5146,0,0.2112,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,47.74625467013733
16,0.42826000000000003,0,0.00038851,0,0,0,0,0,0,0,0,0.29705,0.023377000000000002,0.89592,2.9882e-08,9.1104e-13,0,2.0803,0,0.07007999999999999,0.0018383,9.5033e-10,0.012962000000000001,0,0.37265,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,50.28088637666689
17,0.1216,0,0.014337,0,0,0,0,0,0,0,0,0.47947,0.32127,4.5409e-06,3.0775e-10,4.1729e-14,0,1.0857,0,0.011890000000000001,8.501999999999999e-09,2.9362e-09,0.19164,0,0.00087328,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,39.77954166442056
18,0.50462,0,0.006945000000000001,0,0,0,0,0,0,0,0,3.8746999999999996e-08,0.024097999999999998,1.0831999999999999e-08,-8.373700000000001e-15,-1.3030999999999998e-15,0,0.79669,0,0.093025,4.3378000000000004e-05,-2.0574000000000001e-13,0.8920399999999999,0,5.6528e-08,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,44.119322816151666
19,0.11846,0,2.1655e-05,0,0,0,0,0,0,0,0,0.18470999999999999,0.079855,0.24033000000000002,0.08797,1.3992e-12,0,1.0713,0,0.32471,1.8983e-07,1.4165999999999999e-07,0.40763,0,0.10630999999999999,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,48.42240918438493
20,0.0028144000000000003,0,0.054472,0,0,0,0,0,0,0,0,0.43391,0.21241999999999997,5.7627e-10,0.0017694000000000002,8.6399e-07,0,1.0204,0,1.2024e-05,0.0010902000000000002,3.7745e-13,0.50927,0,0.15850999999999998,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,42.68394621367489
21,0.3513,0,-4.476e-13,0,0,0,0,0,0,0,0,0.32684,0.0014238,2.7437e-08,0.14870999999999998,1.3652e-08,0,0.89087,0,0.024609,9.5566e-09,1.7687000000000001e-06,0.35906,0,0.00019504,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,42.15966522750238
22,0.29534,0,0.048135000000000004,0,0,0,0,0,0,0,0,0.067583,0.46193999999999996,1.0004e-06,0.14418,1.4498e-08,0,1.088,0,2.9431e-05,1.8394e-06,3.7275e-06,0.10413,0,0.30622,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,43.56448280157953
23,0.2925,0,0.074561,0,0,0,0,0,0,0,0,4.0128e-06,0.24145999999999998,0.0039672,1.6292e-08,0.005250899999999999,0,0.9218,0,0.00010707,0.58839,4.7335e-05,0.33621,0,0.047599,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,36.99363485010271
24,0.0048006,0,1.3074000000000002e-07,0,0,0,0,0,0,0,0,0.017522,1.7028e-06,0.0025849000000000002,8.7979e-08,1.3e-06,0,1.1965,0,0.2463,1.2393e-05,1.4109999999999999e-07,0.27639,0,0.30330999999999997,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,45.66429810675813
25,0.6126,0,2.0262e-06,0,0,0,0,0,0,0,0,0.18483,0.00012570000000000002,0.11065,3.4281999999999994e-09,2.6921999999999997e-05,0,1.0799,0,1.5594999999999998e-06,2.5501e-08,3.3339e-10,0.22186999999999998,0,0.013803,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,41.0546174359942
26,0.33078,0,1.3684000000000001e-05,0,0,0,0,0,0,0,0,1.4909e-06,0.073887,0.15816,-7.895800000000001e-25,0.042112000000000004,0,1.215,0,0.0025285999999999998,0.24886,7.5655e-05,0.37777,0,0.039994,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,40.325163036678596
27,3.7106e-13,0,3.5869999999999995e-07,0,0,0,0,0,0,0,0,0.19771,0.09942999999999999,2.7311e-06,3.5884e-06,9.6459e-07,0,1.4056,0,1.7864e-06,9.650900000000001e-06,3.9245999999999996e-10,0.30361,0,0.36184,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,43.01018474547459
28,0.00010832,0,8.4157e-05,0,0,0,0,0,0,0,0,0.33516999999999997,0.1757,0.059088999999999996,0.14300000000000002,1.2779e-10,0,0.81535,0,0.026632999999999997,0.00063127,4.8558e-06,0.085488,0,0.38266999999999995,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,45.91378246575948
29,0.036162,0,5.2622e-09,0,0,0,0,0,0,0,0,0.11039000000000002,1.5171e-07,1.0807999999999999e-05,0.033434,0.0074613,0,0.9194399999999999,0,0.17017000000000002,-1.6274000000000002e-15,0.0094949,0.67452,0,0.35551,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,48.00750642229233
30,0.6533899999999999,0,0.17028,0,0,0,0,0,0,0,0,0.27246,0.35658,0.0025645,2.4971e-05,7.6094e-14,0,1.1585,0,0.10735,0.01721,1.2377e-09,0.16614,0,3.6584000000000005e-07,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,40.4683763953458
31,0.00036425,0,3.9382e-05,0,0,0,0,0,0,0,0,0.14514000000000002,0.75698,0.45027,0.007761399999999999,2.4447e-16,0,1.0755,0,5.0845e-06,0.004476300000000001,0.35863,0.013244999999999998,0,0.29425,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,54.080221838956916
32,0.0005521,0,0.0019501999999999998,0,0,0,0,0,0,0,0,4.0263000000000004e-05,0.00010527,0.097493,5.9876999999999994e-06,5.1841e-12,0,1.1282,0,-4.1056e-16,1.2379e-06,5.8168e-05,0.7166100000000001,0,-5.7235e-15,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,42.53127130207769
33,0.5220899999999999,0,0.037066,0,0,0,0,0,0,0,0,3.8854e-05,0.71262,6.411200000000001e-10,1.6206e-12,-2.7425000000000002e-18,0,1.0214,0,0.00037817,2.7948000000000003e-06,2.1165e-06,0.14522000000000002,0,0.51085,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,44.9871594459964
