,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00033164,0,0.00011046,0.47958999999999996,0,0.42158,0.59416,0,0.37346999999999997,5.104e-09,0,0.041819999999999996,0.22579000000000002,0,5.0731000000000006e-05,2.2984000000000003e-11,0,0,0,0,0.026998,4.215399999999999e-09,0.59054,0.0031974,0.0138,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,-0.9331475555674471
1,0.0024108000000000003,0,2.1912000000000001e-10,0.66651,0,0.00042191,0.13179000000000002,0,0.31103000000000003,0.46716,0,0.75788,0.231,0,6.0161e-05,0.34511,0,0,0,0,1.7217e-05,3.0150999999999997e-06,6.9524e-05,0.052139,0.13795,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0.027804034961934843
2,1.8992e-06,0,0.00025717,0.22071,0,0.78762,0.00053421,0,0.26215,0.00024422,0,0.22073,0.20257,0,0.18084,2.1006e-10,0,0,0,0,0.0013059,0.00014283,0.71891,0.34068000000000004,0.28273000000000004,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,2.081925296582938
3,1.6276e-07,0,0.0085168,0.66727,0,0.7116600000000001,0.49801999999999996,0,7.6738e-05,6.8179e-05,0,0.0055821,0.63027,0,0.19962,0.00092721,0,0,0,0,0.013388999999999998,1.8384000000000002e-05,0.15829000000000001,0.02143,1.7713e-07,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,-0.9422090815783024
4,0.017344,0,3.035e-05,0.21063,0,0.13594,1.183,0,1.518e-11,5.884e-05,0,0.012283,0.43001000000000006,0,0.022465,2.955e-07,0,0,0,0,0.0029858000000000003,0.011545999999999999,0.63341,0.0027771000000000002,8.905799999999998e-11,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,-0.529426929270084
5,0.013958000000000002,0,6.4186e-06,0.17456,0,0.71378,0.72573,0,2.1378000000000002e-09,0.20032,0,0.17239000000000002,0.27744,0,2.0144e-09,2.4309e-06,0,0,0,0,0.066496,6.266399999999999e-11,0.45721000000000006,0.30387,0.0045537,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,-1.3901443745555033
6,2.4152e-05,0,0.83941,0.025532,0,0.66059,0.00035438,0,0.77104,0.076902,0,1.1798,0.87472,0,1.0688,5.4351e-18,0,0,0,0,0.29074,1.5196e-07,0.16163,0.36517,2.8261999999999996e-11,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,8.82196819851815
7,0.76522,0,3.6184e-08,0.016156,0,1.071,0.3977,0,1.4580000000000002,0.38916,0,1.9382999999999998e-07,0.18087,0,3.1929e-05,0.82339,0,0,0,0,0.09823,7.471800000000001e-17,0.00099813,0.36817,5.013800000000001e-07,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,-2.4140349973520996
8,0.05198,0,0.099516,0.78805,0,0.065675,0.19063,0,0.014805,1.9758e-10,0,0.45055,0.24235,0,0.00012409,2.4004000000000003e-05,0,0,0,0,5.2218e-12,5.2464e-11,0.11273,0.78537,0.031731999999999996,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,-0.7273419197155633
9,0.16551,0,0.047251,0.22002,0,0.24983000000000002,0.39491,0,0.16282,1.1787e-06,0,0.2512,1.0890999999999999e-07,0,0.18829,2.9080999999999998e-05,0,0,0,0,0.6028399999999999,8.1907e-11,2.8499e-06,0.40849,0.6847300000000001,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,9.945803738493957
