,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.85734,0,0.01406,0.32796,0,0.33642,0,0,2.0719e-05,8.2959e-08,0.038225,0,0,0,0,3.1346999999999996e-07,0,0.9673700000000001,0,9.7471e-07,0.0034589,1.4015e-07,0.016626,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,26.41063420224784
1,0.63788,0,3.0831e-07,0.48061000000000004,0,0.022563999999999997,0,0,2.2912e-08,0.00037357,0.020433,0,0,0,0,1.3681999999999999e-09,0,1.0876,0,0.0056375,0.0031822,2.8952e-08,0.11829,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,26.402340066538986
2,8.1672e-07,0,0.31266,0.49888000000000005,0,0.47312,0,0,2.2261999999999996e-07,4.4784e-10,0.0006722000000000001,0,0,0,0,1.0799e-12,0,0.7269399999999999,0,0.20714000000000002,5.2798e-07,2.9583e-05,0.27175,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,27.997401323236744
3,1.7782000000000001e-07,0,1.9665e-06,0.25027,0,0.59468,0,0,0.00041629,1.431e-08,0.10542,0,0,0,0,7.9817e-12,0,1.3529,0,0.52137,0.00096296,1.7003999999999998e-08,0.022308,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,31.58142292143887
4,0.10197,0,0.13826,0.039305,0,0.20606,0,0,0.31634,0.24495999999999998,0.14528,0,0,0,0,3.7204e-05,0,0.76769,0,8.2122e-06,0.00012427,5.8461e-07,0.71445,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,28.587653993976392
5,0.30877,0,2.3357e-10,0.33555999999999997,0,0.5180899999999999,0,0,0.00022552,0.29675,2.2188e-06,0,0,0,0,9.9599e-12,0,1.0458,0,0.08422,5.3079e-09,5.9118e-10,0.2358,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,26.866768290145714
6,1.5664000000000003e-11,0,0.013068000000000001,0.17142000000000002,0,0.028668,0,0,0.27198,2.0171e-05,1.4238e-11,0,0,0,0,7.6475e-07,0,1.1551,0,0.33337,0.045696,0.18022,0.08374,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,33.436052706524706
7,0.7661899999999999,0,1.7146e-11,0.33451,0,0.6733899999999999,0,0,0.025459,0.062876,1.7866e-06,0,0,0,0,7.8222e-09,0,0.73474,0,0.14465999999999998,2.7437e-05,1.7429e-12,0.56898,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,27.678189396562303
8,0.20107,0,0.14428,0.6270899999999999,0,0.36819,0,0,0.070414,0.16896,0.38258000000000003,0,0,0,0,2.4818000000000003e-09,0,1.0051,0,0.20734,1.8891e-08,5.3225e-11,0.48483000000000004,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,27.35860670556869
9,0.42701000000000006,0,0.00078518,0.48053,0,0.20398,0,0,3.1218000000000005e-05,2.6443e-11,0.022613,0,0,0,0,5.0715e-06,0,1.0641,0,0.20172,0.0014283,3.1963000000000002e-09,0.0034048999999999998,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,28.168757824362572
