,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.81529,0,0.0025631,0.36935,0,0.34367,0,1.2854e-07,0,0,0,0,0,0,0.090576,1.9234e-06,0,0.99951,0,0,0.059896000000000005,2.8135999999999997e-07,0.016447,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,42.14279882137321
1,0.56021,0,1.1708e-06,0.46218000000000004,0,0.033866,0,0.1423,0,0,0,0,0,0,1.2491e-06,1.1808e-07,0,1.0666,0,0,8.237000000000001e-06,2.9134e-07,0.18048,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,42.60582626148774
2,5.7601e-06,0,0.34352,0.5091600000000001,0,0.57887,0,0.0011745,0,0,0,0,0,0,0.30718,2.7826e-10,0,0.46303999999999995,0,0,0.019429,0.00021571,0.08758099999999999,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,43.55391887418481
3,6.7892e-07,0,2.1087e-07,0.21946999999999997,0,0.25604,0,7.5756e-09,0,0,0,0,0,0,0.028448,3.7775999999999996e-11,0,1.2159,0,0,0.00020954,3.5512e-09,0.4077,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,44.83844841574843
4,0.47233,0,0.00042568,0.11095999999999999,0,0.57277,0,2.271e-11,0,0,0,0,0,0,1.7259000000000002e-05,5.943899999999999e-07,0,1.182,0,0,3.8359999999999996e-09,2.5472e-07,0.78359,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,46.28408185447849
5,0.40406,0,1.7732e-08,0.33582,0,0.42875,0,8.4767e-09,0,0,0,0,0,0,0.00021872,6.4048e-12,0,1.0498,0,0,2.4353e-09,1.178e-09,0.28723000000000004,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,43.17331210587437
6,7.833800000000001e-11,0,0.13777999999999999,0.22983,0,0.34589000000000003,0,0.04475,0,0,0,0,0,0,1.5171e-10,6.5534e-13,0,0.59431,0,0,0.15135,5.6738999999999996e-08,0.79685,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,45.62098931466434
7,0.77213,0,1.4363e-08,0.41901000000000005,0,0.58894,0,3.1583e-05,0,0,0,0,0,0,3.4466e-05,1.7981999999999998e-10,0,0.8246399999999999,0,0,1.2682e-05,3.990400000000001e-11,0.54073,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,43.82814214828442
8,0.23206999999999997,0,0.068579,0.79174,0,0.46879,0,0.0011077,0,0,0,0,0,0,1.881e-09,1.2154e-10,0,0.78742,0,0,1.4267000000000002e-07,1.4830000000000001e-08,0.4366,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,41.83279202939465
9,0.68329,0,0.011023999999999999,0.59658,0,0.39197,0,0.05952,0,0,0,0,0,0,5.4523e-06,3.4429e-05,0,0.7337199999999999,0,0,5.5707e-05,3.5474000000000003e-11,0.00064511,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,40.66066605063525
10,4.5321e-05,0,0.0026539000000000003,0.47393,0,0.19546,0,0.0017155999999999999,0,0,0,0,0,0,0.008796799999999999,3.6933e-09,0,1.0659,0,0,0.013026,5.9643e-07,0.40276999999999996,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,43.618302068617965
