,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.0010295,0,2.3589e-09,0.30134,0,0,0,0,0.0013549,0,0,0,0.5664100000000001,0,0,7.8581e-07,0.00021551,1.237,0,0,0.00028700000000000004,3.2927e-10,0.02274,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,31.92801191425559
1,0.32083,0,1.2127e-07,0.11894,0,0,0,0,1.8711000000000001e-10,0,0,0,0.59087,0,0,8.1997e-12,4.1293e-09,1.0493,0,0,1.4925e-06,7.0226e-06,0.012562,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,33.08457829154306
2,1.0492999999999998e-08,0,0.016397,0.60785,0,0,0,0,4.0036e-07,0,0,0,0.34434000000000003,0,0,1.7116e-07,0.00025269999999999996,0.78342,0,0,0.027779,0.00018227,0.12850999999999999,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,31.55745241678653
3,5.179299999999999e-08,0,8.5482e-09,0.35045,0,0,0,0,0.20122,0,0,0,0.46952,0,0,3.9316e-12,0.026862,1.0081,0,0,0.0022105999999999996,3.1912999999999996e-10,0.24466999999999997,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,33.124013249095306
4,0.20056,0,8.5448e-05,0.0046828,0,0,0,0,0.39628,0,0,0,0.48002,0,0,2.6741000000000004e-06,0.00014542,1.167,0,0,3.2481e-11,4.6037e-07,0.28563,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,34.70353598433221
5,0.17057,0,1.1944999999999999e-08,0.49407,0,0,0,0,0.39921,0,0,0,0.019365,0,0,2.5668000000000003e-11,0.0013642,1.5798,0,0,9.1179e-09,7.5843e-09,0.5758300000000001,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,33.042533702762235
6,3.9470999999999997e-10,0,0.0041267,0.17168,0,0,0,0,0.16981,0,0,0,0.17966,0,0,1.4424000000000001e-09,0.09403500000000001,1.1134,0,0,0.0012196,4.4962e-05,0.27066999999999997,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,33.943163111845514
7,3.8722e-05,0,0.3731,0.26054,0,0,0,0,0.10465,0,0,0,2.7543e-09,0,0,2.8101999999999996e-11,3.2331e-08,1.1177,0,0,2.4584e-07,3.6946999999999993e-07,0.63379,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,35.29155153050798
8,0.2072,0,0.0036902000000000003,0.6746300000000001,0,0,0,0,0.30728,0,0,0,0.073784,0,0,1.8451e-08,2.9951e-06,0.97656,0,0,1.3213e-06,8.6168e-10,0.48613999999999996,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,32.79070078058683
9,0.49299,0,0.32955,0.6746800000000001,0,0,0,0,0.006118899999999999,0,0,0,0.00077321,0,0,1.3277e-08,0.0001123,0.97277,0,0,0.36262,6.588e-05,0.0048192,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,27.93162423160769
