,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,6.9148e-06,0,7.1948e-07,0,0.25196,0,0.042839,0.26899999999999996,0,3.1428000000000004e-11,1.085e-07,0,0.49767,0,0,7.397100000000001e-14,5.6474e-07,1.0723,0,0,0.001811,1.6661000000000003e-10,0.5169600000000001,0.2997,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,21.786060713562986
1,0.092079,0,4.1605000000000003e-10,0,0.31228,0,0.90381,2.6749e-05,0,0.35165,0.00032136,0,0.28797,0,0,7.8456e-12,2.4319e-08,0.78583,0,0,1.5442e-08,3.32e-09,0.008374,0.3839,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,20.833803704380475
2,0.31661,0,3.8114e-09,0,9.134200000000002e-09,0,0.090489,0.27331,0,1.7440000000000002e-06,6.911700000000001e-07,0,0.60993,0,0,3.662e-08,1.7736e-09,1.0353,0,0,0.005003499999999999,0.00083095,0.0016478999999999999,0.64903,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,20.647737248128635
3,1.0235e-06,0,4.2680000000000005e-06,0,0.22623000000000001,0,0.10157000000000001,1.917e-08,0,5.5947e-09,0.0013755999999999998,0,0.21911,0,0,3.700199999999999e-11,0.11547,1.1132,0,0,6.421e-06,8.473600000000001e-10,0.038607,0.64136,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,21.199556589607322
4,0.04728,0,1.4872e-06,0,2.4897e-07,0,0.58931,5.2294e-08,0,0.039635000000000004,0.086436,0,0.18465,0,0,1.028e-05,0.15149,1.1386,0,0,0.0018,5.404800000000001e-09,0.65908,0.049062,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,22.363902886326628
5,0.23876999999999998,0,6.2208999999999995e-09,0,5.7922e-09,0,0.78189,0.00034933,0,0.2381,1.0557e-05,0,0.35312,0,0,3.1018e-10,0.14493,1.0607,0,0,3.435e-06,6.8847000000000004e-09,0.0044047,0.60421,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,20.659459410102595
6,2.3047e-10,0,4.858399999999999e-10,0,0.041056,0,0.63192,0.0026582,0,0.0014026,0.010189,0,0.33236,0,0,2.2194e-12,1.7933e-08,1.4168,0,0,6.6659e-09,2.2778e-06,0.0013809,0.16101,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,20.15572348195448
7,6.6408e-06,0,1.9099e-06,0,0.34854,0,0.0093499,3.0256e-09,0,0.1381,0.00020032,0,2.1437e-10,0,0,7.103199999999999e-11,1.0056000000000001e-10,1.3047,0,0,0.00037433,2.1712e-08,0.34429,0.64912,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,21.65619546344267
8,0.18608,0,3.1436e-07,0,0.51249,0,0.218,0.53093,0,0.065934,0.50945,0,0.15186,0,0,2.3199999999999998e-05,5.6016e-09,0.94099,0,0,1.3287e-12,1.0462e-06,0.0048854,0.7613300000000001,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,19.684302127410135
9,0.8609899999999999,0,0.0090761,0,0.32687,0,0.0012527,0.20097,0,3.7332e-11,5.4082e-10,0,1.5049000000000001e-05,0,0,2.1438000000000003e-08,1.7933e-07,0.99219,0,0,0.099493,1.7744e-07,0.15242999999999998,0.32124,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,20.972678438231295
