,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,1.0834999999999999e-06,0,0.39319,0,0.35136999999999996,0,0,0,0.42823,0,0.10372999999999999,0.4957,0,0.00016643,1.871e-05,9.5181e-15,0,0,0,0,7.7823e-06,2.3204e-05,1.0435,0,6.0725e-05,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,3.7477909237891307
1,2.3289e-05,0,0.32995,0,0.13212000000000002,0,0,0,7.333499999999999e-07,0,0.28897,0.37595,0,0.51197,0.12983,4.6761e-15,0,0,0,0,6.8898e-05,4.4722999999999996e-08,1.0478,0,0.22751999999999997,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,11.706195094301929
2,4.8097e-09,0,0.36119,0,0.13924,0,0,0,0.19771,0,1.7767e-05,4.8036000000000006e-05,0,3.2028e-13,0.27134,1.5083e-12,0,0,0,0,0.00048921,0.097749,1.158,0,0.50843,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,10.918000892580466
3,4.280300000000001e-11,0,0.0031090999999999996,0,0.26066999999999996,0,0,0,0.43483,0,3.0732e-10,0.4417,0,3.0130000000000003e-11,3.7345999999999997e-10,6.9514e-05,0,0,0,0,1.3450999999999999e-08,1.1629000000000001e-08,0.93209,0,3.2374e-12,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,3.2702706079996045
4,4.6384999999999997e-11,0,0.04272,0,0.25079,0,0,0,0.3233,0,1.0612e-11,0.34299,0,7.9111e-10,1.9912e-09,1.0462e-06,0,0,0,0,0.013534000000000001,2.2101e-08,1.146,0,0.23460999999999999,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,5.910629390381807
5,3.5906e-08,0,0.00082372,0,0.93527,0,0,0,3.1098e-05,0,0.0052988,0.46848999999999996,0,3.7446e-10,4.5637e-05,1.6833e-12,0,0,0,0,4.8136e-08,5.8905000000000004e-08,1.1321,0,0.72008,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,8.619018593571194
6,5.3406999999999993e-11,0,1.1288e-05,0,0.6655800000000001,0,0,0,3.4003999999999997e-07,0,0.006572,0.9099,0,0.34376999999999996,0.79915,4.4449e-14,0,0,0,0,4.3254e-06,1.6997e-11,0.22766999999999998,0,0.097093,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,9.802527894006774
7,0.11954000000000001,0,0.00012675,0,0.79952,0,0,0,0.36241,0,0.32537,0.031105,0,0.075454,0.2322,6.4009e-08,0,0,0,0,3.3064e-05,3.6926e-07,0.7934,0,0.0027890000000000002,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,4.798461765913309
8,8.7353e-08,0,3.7677e-05,0,7.056099999999999e-08,0,0,0,2.9089e-10,0,7.554699999999999e-07,0.52254,0,1.1504999999999999e-10,1.9716999999999998e-07,3.2921999999999994e-09,0,0,0,0,0.00087459,7.1047e-08,1.5113,0,0.0014343,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,6.25460648453493
9,3.1035e-10,0,0.026368,0,1.1789e-05,0,0,0,0.064037,0,1.4355e-08,0.39505,0,0.0017879,0.0020221,9.7648e-09,0,0,0,0,0.5465300000000001,6.7925e-09,1.0272,0,0.31251999999999996,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,8.314381582670883
