,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,2.1021999999999999e-07,0,0.18302000000000002,0,0.33693,0,0,0,0.022194,1.7945999999999998e-11,0,0,0,5.2857e-08,9.5811e-07,8.927799999999999e-07,0,0,7.216100000000001e-10,0,8.384299999999999e-07,1.0699e-05,1.6569,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,8.96355322972194
1,9.083399999999999e-05,0,0.4095,0,0.35804,0,0,0,8.0622e-11,0.033561,0,0,0,0.41821,0.0055352,2.3234999999999999e-07,0,0,0.14352,0,5.2015999999999995e-06,1.8401e-05,1.1399,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,12.279256583002159
2,9.0324e-09,0,0.44093999999999994,0,0.49683999999999995,0,0,0,0.15036,0.15592,0,0,0,1.1562999999999998e-07,0.0096792,6.3342e-11,0,0,0.00013756,0,0.022481,1.6108e-05,1.3329,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,8.471911557743962
3,5.2357e-11,0,0.0055885,0,0.44063,0,0,0,0.41406000000000004,0.003936,0,0,0,1.1369000000000001e-10,1.2904000000000002e-09,0.00097663,0,0,2.2085e-10,0,1.1206000000000001e-08,1.156e-09,1.2487,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,8.023002794645912
4,6.042300000000001e-11,0,4.4286e-06,0,0.7562300000000001,0,0,0,0.23836999999999997,3.7426e-05,0,0,0,1.3844e-09,6.143e-11,0.00012839,0,0,4.8374e-07,0,0.0087355,1.6921e-08,1.2313,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,7.901479470769852
5,6.6014e-05,0,0.00071693,0,0.72687,0,0,0,1.6487000000000002e-10,0.11574000000000001,0,0,0,3.2644e-12,0.00092632,1.6996e-13,0,0,5.063399999999999e-13,0,7.5737e-08,5.1192e-12,1.7788,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,8.982018095183605
6,8.370599999999999e-10,0,1.28e-07,0,1.0064,0,0,0,4.474e-07,0.03152,0,0,0,0.21834,6.8447e-06,4.3547e-12,0,0,3.6943e-05,0,3.5332e-06,4.1807e-09,1.5388,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,10.580752112793078
7,0.14132999999999998,0,0.081148,0,0.36035,0,0,0,0.58418,0.20085,0,0,0,0.0064108,0.15337,1.4807e-05,0,0,0.00089749,0,9.219299999999999e-05,5.003e-06,0.76432,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,8.266089301924424
8,5.5465999999999995e-06,0,0.034020999999999996,0,9.0223e-07,0,0,0,0.23998000000000003,0.26356,0,0,0,1.1099e-10,3.0878e-07,1.3655e-10,0,0,2.6264e-07,0,0.008043600000000001,1.1578e-06,1.6082,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,9.111152905191283
9,0.00015216,0,0.24245,0,0.81079,0,0,0,0.00040445,0.11947,0,0,0,0.20931999999999998,0.029385,3.9812e-08,0,0,0.0040767,0,0.12757000000000002,0.00013403,1.253,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,11.40802285447253
10,1.9614000000000002e-05,0,0.086094,0,0.46024,0,0,0,3.8019e-08,3.1123e-09,0,0,0,0.00044839,1.6392e-06,0.0003131,0,0,0.0030601999999999995,0,0.059471,2.6486e-08,1.5096,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,9.140258464903017
11,3.0488e-05,0,3.2970999999999997e-06,0,0.93563,0,0,0,1.9674e-10,3.7657e-08,0,0,0,6.6908e-06,0.10044,5.3686999999999996e-08,0,0,5.3889e-09,0,0.035724,2.7261e-06,0.9298,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,8.203481749069907
12,0.5088199999999999,0,0.14993,0,0.61902,0,0,0,0.0031208000000000004,0.22804000000000002,0,0,0,6.157e-08,1.8562e-05,3.4376999999999995e-11,0,0,0.048233,0,1.4877000000000002e-10,0.034745,0.95226,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,8.08673302360295
13,7.531399999999999e-05,0,0.085887,0,0.5525899999999999,0,0,0,0.24303000000000002,0.088857,0,0,0,0.0015172,0.3144,0.00015504,0,0,8.637399999999999e-08,0,0.40291,1.704e-08,0.72788,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,12.914262662499969
14,0.15183,0,0.00013164,0,0.91509,0,0,0,1.8955e-10,1.1103e-09,0,0,0,0.008765700000000001,0.34226999999999996,8.1055e-08,0,0,0.05945,0,0.061578999999999995,0.056973,0.4851,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,10.583307497473895
15,0.004174499999999999,0,0.0014913,0,1.0914e-10,0,0,0,0.30735999999999997,0.4263,0,0,0,1.4082e-06,0.34091,5.6168e-10,0,0,1.0485e-08,0,0.17243,0.00064137,1.4789,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,12.849144424787145
16,8.34e-06,0,0.24354,0,0.3488,0,0,0,0.5152,0.18328,0,0,0,6.6694e-12,0.013678000000000001,8.9632e-07,0,0,0.0036076,0,0.18200999999999998,0.00013759999999999998,1.1027,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,9.52622204924214
17,0.19197999999999998,0,0.38151,0,4.7107e-07,0,0,0,0.4274,7.405000000000001e-12,0,0,0,0.44211000000000006,3.4642e-10,3.7223e-15,0,0,2.8181999999999996e-09,0,0.021054,7.672e-13,1.6038,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,13.764193626763758
18,1.5163e-11,0,0.058683000000000006,0,0.062022,0,0,0,0.0013,0.0016883,0,0,0,2.8239999999999998e-11,1.495e-08,1.7026e-07,0,0,1.4315000000000001e-11,0,0.10461,7.781499999999999e-10,1.8283,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,10.427380748680154
19,0.11414,0,2.2725e-08,0,0.64841,0,0,0,6.6565e-10,0.156,0,0,0,9.7199e-07,0.29175999999999996,0.00020247,0,0,0.022619,0,0.00043550000000000007,8.729899999999999e-07,1.0059,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,9.614295571265526
20,3.9897e-07,0,0.16948,0,0.1936,0,0,0,0.38989,1.6071e-09,0,0,0,2.785e-12,0.046464,4.9535e-06,0,0,0.00013338,0,0.14841,5.4834e-05,1.175,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,9.717703516542592
