,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00021628,0,7.1602e-05,0,0.17332999999999998,0,0,0.1744,0,0,0.021919,0.49608,0.37695,0,0,1.1605e-08,5.0167e-09,0.9890899999999999,0,0.00070446,0.056216999999999996,6.988300000000001e-09,0.0057415,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,28.461570970962864
1,0.68885,0,6.4878e-08,0,1.2871e-07,0,0,0.21131,0,0,0.38078,0.005531800000000001,0.22635,0,0,1.6587e-14,3.966e-05,0.96635,0,0.036545,0.00061632,1.4981e-08,0.29998,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,30.586222331163516
2,4.0178000000000004e-08,0,0.00085402,0,0.024215999999999998,0,0,0.0058258,0,0,1.8978e-05,0.22466999999999998,0.43821000000000004,0,0,2.6581e-12,9.7469e-07,1.0629,0,1.771e-05,4.5699e-05,7.26e-05,0.43249,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,31.080784417826226
3,8.5085e-12,0,1.5841e-08,0,0.28904,0,0,2.7695999999999997e-11,0,0,1.8134e-07,0.47678999999999994,0.15186,0,0,2.3854e-11,0.090009,1.228,0,0.025941000000000002,2.3315000000000002e-07,3.4358e-08,0.095837,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,29.417640669525316
4,0.0025694000000000003,0,0.0022743000000000004,0,0.023972,0,0,7.588200000000001e-10,0,0,1.5339e-05,0.24661999999999998,0.17847000000000002,0,0,1.1648e-07,0.00055798,1.2790000000000001,0,0.008429899999999999,4.1760000000000005e-08,2.8656e-07,0.54666,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,31.2147324473088
5,0.16214,0,6.514699999999999e-10,0,0.24531,0,0,5.3778e-08,0,0,2.8665e-08,0.19858,0.09045800000000001,0,0,8.2284e-12,0.010968,1.0834,0,0.0028315000000000002,3.3336e-10,3.2262e-08,0.63285,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,31.81414421747209
6,2.8537e-11,0,1.0824000000000002e-07,0,0.14253,0,0,0.037877999999999995,0,0,6.7853e-06,0.40973999999999994,0.15989,0,0,9.5294e-10,0.009197499999999999,1.0815,0,0.01547,1.0226e-06,1.7479e-05,0.28651,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,30.426678013630305
7,0.00032511,0,0.00119,0,0.0020386,0,0,3.9370000000000005e-10,0,0,0.0029295000000000002,0.10031,3.0168e-10,0,0,1.1753e-11,1.1283e-07,1.0566,0,0.33368000000000003,1.9769000000000002e-07,1.6275999999999999e-06,0.86839,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,36.78795500112096
8,0.26072,0,0.00014902,0,0.12372999999999999,0,0,0.5724,0,0,0.18993,0.24550999999999998,0.19994,0,0,1.4927e-08,1.9922e-05,1.0001,0,0.10077,0.00016904,9.654199999999999e-08,0.4678,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,30.91579063161067
9,0.0032784999999999997,0,0.00054543,0,0.23974,0,0,0.14745,0,0,1.3405e-08,0.18991,0.0008514,0,0,2.532e-09,0.00061506,1.1302,0,1.8322e-07,0.22616999999999998,6.9354e-08,0.6075,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,29.573296872667964
