,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00011484,0,0.004135499999999999,0,0.32771999999999996,0,0,0,0,0,0,0,0,0,0.053713,3.5531e-12,0.23506,0.99818,0,0,0.00078014,8.9499e-08,0.64413,0,6.4042e-05,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,38.68907704834163
1,0.59922,0,8.376299999999999e-05,0,1.5154e-08,0,0,0,0,0,0,0,0,0,0.00513,8.8574e-07,1.0778e-09,1.1119,0,0,1.4703e-06,6.300199999999999e-06,0.65576,0,0.091672,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,39.19960043545173
2,3.9038e-06,0,0.35729,0,0.039464,0,0,0,0,0,0,0,0,0,0.4752,9.579100000000001e-13,0.00059339,0.85164,0,0,0.00059722,0.00052312,0.28300000000000003,0,0.1808,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,42.56234322474005
3,1.8546e-08,0,9.0092e-09,0,0.26482,0,0,0,0,0,0,0,0,0,1.0472e-08,2.2308000000000004e-11,0.20936999999999997,1.3262,0,0,1.4008000000000002e-06,2.4396e-10,0.46648,0,0.012058,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,36.5786368633602
4,0.00018907,0,0.0032249,0,0.23308,0,0,0,0,0,0,0,0,0,3.1664e-07,5.6527e-06,0.06836,1.2147,0,0,3.4592e-08,7.734300000000001e-09,0.76754,0,0.11152999999999999,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,39.45266269076489
5,0.16121,0,4.3083e-09,0,0.13752,0,0,0,0,0,0,0,0,0,0.00065384,9.0382e-12,0.06286,0.97735,0,0,1.2880999999999999e-11,1.0447e-05,0.6352399999999999,0,0.50834,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,43.769657462309524
6,9.243799999999998e-11,0,3.4725e-06,0,0.27607,0,0,0,0,0,0,0,0,0,2.5408e-05,9.8212e-10,0.013897,1.1663,0,0,0.0021473000000000004,1.7097e-06,0.54755,0,0.44693,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,42.007119477342314
7,3.705e-08,0,0.17476,0,0.017559,0,0,0,0,0,0,0,0,0,4.3941e-10,2.2818000000000002e-07,3.7673000000000004e-09,1.3981,0,0,9.2702e-09,0.0015365,0.1671,0,0.28957,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,37.987807802740285
8,0.061082000000000004,0,2.9951999999999997e-05,0,0.079473,0,0,0,0,0,0,0,0,0,0.010556999999999999,1.0201000000000001e-07,0.00011034,1.2659,0,0,0.00040054,7.7322e-09,0.84705,0,0.09616799999999999,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,39.686976171423794
9,0.21519000000000002,0,0.016914,0,0.060948,0,0,0,0,0,0,0,0,0,0.086357,7.7243e-08,8.4119e-06,1.046,0,0,0.30343000000000003,6.5511e-08,0.26006999999999997,0,0.40147,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,39.13643280292085
