,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.43896999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012445,0.9515399999999999,0.00013356,0,0,0.069658,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,33.556973406440655
1,0.72893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.350899999999999e-05,1.0859,0.29100000000000004,0,0,0.00042964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.46214277477237
2,0.44073999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5935,0.72101,0.12658,0,0,0.019209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,32.44529056923347
3,3.1258e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09635099999999999,1.1188,0.0083651,0,0,0.00042084,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.420338684705
4,1.0957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098087,1.2292,2.7405999999999998e-05,0,0,9.3649e-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.26920436841559
5,0.68972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.734e-05,0.75159,0.63484,0,0,3.3914e-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.87250614794835
6,9.5901e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007578399999999999,1.1848,6.6312e-07,0,0,0.093489,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,33.92501264823984
7,4.23e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9899e-05,1.3438,0.031682999999999996,0,0,0.00201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.18030947015226
8,0.59007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47617,1.4904,0.010128,0,0,0.19722,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,36.42353610863694
9,1.0699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099854,0.8332799999999999,9.5776e-05,0,0,0.10697999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,34.744212364370455
10,0.8498600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.096599999999999e-06,1.103,0.36873,0,0,4.212e-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.42976582224876
11,1.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020274,1.2127,2.4695999999999998e-08,0,0,1.1081e-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.29002148428485
12,0.6837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26156999999999997,0.94427,0.00013216,0,0,6.495100000000001e-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.630908922295216
13,1.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1519e-08,0.91633,0.2856,0,0,5.0238e-06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.66453635503631
14,2.0285e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31701999999999997,1.1202,2.1267e-06,0,0,0.042364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,32.58492828385406
15,0.8290000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9484000000000002e-05,0.9422799999999999,5.496e-06,0,0,0.0035613,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.730649393525074
16,0.24029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12797999999999998,0.98015,0.0017297,0,0,0.00094953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.61018362778153
17,0.92943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017199000000000001,1.2232,1.7598e-07,0,0,0.091413,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,33.818776111422196
18,1.6276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9423299999999999,0.51839,0.00023002,0,0,0.00061045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,32.18405109232987
19,0.6380600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010646,1.1735,3.5725999999999996e-05,0,0,0.042158999999999995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,32.511898910153256
20,1.2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9805e-05,1.5652,0.040717,0,0,2.9234e-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,30.844742927267152
21,0.68118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092726,0.94331,9.181200000000001e-05,0,0,0.022326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,32.25115827552407
22,0.5048600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28506,1.0583,0.0035743000000000003,0,0,9.0014e-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.485062224349907
23,1.0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0937999999999999e-09,1.0257,6.1397e-08,0,0,2.4681e-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.526926470265067
24,0.67307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023452,1.2815,0.17839000000000002,0,0,8.643899999999999e-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.205516510156915
25,0.63375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011669,1.3325,0.18087,0,0,7.3302e-06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.138893293948094
26,0.49094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29485,0.64391,0.037114999999999995,0,0,0.22873000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,38.36905692741509
27,0.82234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64605,0.30487,0.0031534,0,0,0.27381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,40.050920807959784
28,0.037078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4526e-06,0.99977,0.0017550999999999999,0,0,0.040596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,32.687891165225835
29,0.23494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019691999999999998,1.1732,0.23508,0,0,0.42788000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,43.238432177840174
30,1.1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185e-07,1.0155,0.19215,0,0,0.000875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.56345686627846
31,0.81624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034093,1.2324,6.2381e-05,0,0,1.9352e-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.265674218459576
32,2.7511000000000002e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30951999999999996,1.0108,0.030352999999999998,0,0,0.0042596000000000005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.66351309431232
33,0.86924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65969,1.0346,0.09350499999999999,0,0,0.047195999999999995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,32.827427027609936
34,0.0006407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22025,0.9279200000000001,0.06626,0,0,0.13712,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,35.46279788436448
35,1.0325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5111000000000002e-06,0.75256,0.13790999999999998,0,0,0.27564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,39.53628620877612
36,0.23594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006702199999999999,0.8361700000000001,0.11780999999999998,0,0,0.21843,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,37.83977045567461
37,0.82409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01043,1.5229,0.16924,0,0,1.3745e-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,30.89855782358586
38,0.0028921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015949000000000002,1.1427,3.8672e-08,0,0,0.07685399999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,33.51560634814531
39,0.88645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078792,0.18933,8.1717e-06,0,0,1.2753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,68.04636943602803
40,0.52803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023975999999999997,1.4918,0.0015040999999999998,0,0,0.0040924,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,31.051262937097313
