,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00022742,5.0017e-07,0,0,0,0,0,0,0,0,0,0.13651,0,0,0.32144,9.728499999999999e-11,0.040705,1.0215,9.0765e-05,0.15717,0.00061633,9.811200000000001e-05,0.5373899999999999,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,47.028239691717005
1,0.82516,4.7677e-08,0,0,0,0,0,0,0,0,0,0.0017683,0,0,0.0052933,2.6844e-07,2.5825e-06,1.1533,0.00026244,1.9735e-06,0.00039312,5.6589999999999995e-06,0.37615,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,42.02276162871316
2,3.6976e-07,9.5067e-06,0,0,0,0,0,0,0,0,0,0.0035178000000000006,0,0,0.40859,1.5992e-12,1.2303e-06,0.88861,0.00021666,0.046161,0.00094708,7.9306e-06,0.73882,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,47.46419565145738
3,8.4924e-08,0.002396,0,0,0,0,0,0,0,0,0,0.25564000000000003,0,0,1.9554000000000002e-07,8.2587e-12,0.037148,1.012,8.4776e-08,0.10454000000000001,0.00021504,4.2126e-09,0.59749,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,44.31827998938385
4,0.00078087,2.9299000000000004e-09,0,0,0,0,0,0,0,0,0,0.27571999999999997,0,0,7.840000000000001e-09,4.9911e-08,0.0025844,1.1657,1.5459999999999999e-06,0.0023484,1.7388999999999998e-06,1.4299999999999999e-08,0.75757,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,43.434225241430234
5,0.15186,0.00075235,0,0,0,0,0,0,0,0,0,0.31615,0,0,6.019e-05,2.6706999999999998e-11,0.022017,1.0077,1.6241999999999998e-06,0.0012652999999999998,1.0545e-09,1.6087e-07,0.63127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,43.28488230303054
6,4.5751999999999995e-11,4.4956e-07,0,0,0,0,0,0,0,0,0,0.3113,0,0,0.00015041,5.0461e-08,0.09272799999999999,0.99641,2.9904000000000003e-09,0.10097,4.2272e-05,0.0010313,0.42173,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,43.66401378976
7,0.00063115,0.0013782,0,0,0,0,0,0,0,0,0,0.095401,0,0,3.6307e-09,1.1929e-10,3.7351999999999996e-08,1.0577,0.00027155,0.3331,3.1697e-07,6.8846e-06,0.86055,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,47.81150543585762
8,0.024557,2.8053e-09,0,0,0,0,0,0,0,0,0,0.54335,0,0,0.012369,6.4946000000000005e-06,0.00078059,1.0626,1.8555e-06,0.069138,9.659200000000001e-05,2.244e-08,0.6621100000000001,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,44.14328059278022
9,1.0725999999999999e-05,0.0033303000000000004,0,0,0,0,0,0,0,0,0,0.25686,0,0,4.6629e-05,3.7913e-09,0.00078789,1.1558,3.1554e-08,2.7639999999999998e-08,0.15159,7.5248e-08,0.93786,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,44.659302169159375
10,0.69431,0.01365,0,0,0,0,0,0,0,0,0,0.00085635,0,0,0.00069204,1.8505e-09,0.0014345999999999999,0.8362799999999999,2.085e-05,0.16645,0.00082544,1.9178000000000001e-07,0.62088,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,45.49846331359861
