,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,1.6151e-09,0.20711999999999997,0,0.006443899999999999,0.43449,0,0.28834,0,0,6.395600000000001e-11,0,0,0,0,0,6.7366e-12,0,1.1257,0,0,0.0022578000000000003,2.6852e-08,0.41502,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.682290874689222
1,0.33824,1.1045e-11,0,0.5937399999999999,1.2e-05,0,0.020398,0,0,0.0011095,0,0,0,0,0,1.2646e-10,0,1.0564,0,0,6.464500000000001e-08,1.5813e-07,0.37035,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,25.328940616776507
2,3.4493e-09,0.12454000000000001,0,0.4288,0.0069242,0,8.9715e-09,0,0,6.376e-10,0,0,0,0,0,6.3181e-12,0,1.0541,0,0,0.00014743,2.1049e-07,0.575,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,26.555033446864346
3,8.285500000000001e-08,0.005839199999999999,0,0.25467,0.010689,0,0.20903000000000002,0,0,9.7786e-05,0,0,0,0,0,2.034e-14,0,1.236,0,0,9.612299999999999e-05,6.4621e-12,0.47315,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,26.831096497522726
4,0.00047249999999999994,9.2288e-07,0,0.24785,0.37361,0,0.30335,0,0,0.010114,0,0,0,0,0,5.0696000000000004e-05,0,0.95424,0,0,2.1638e-06,2.0775e-09,0.64972,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.131334719639714
5,0.0083272,2.7568e-07,0,0.37104000000000004,4.5756999999999996e-05,0,0.82647,0,0,0.0014895,0,0,0,0,0,3.2869e-13,0,1.5816,0,0,2.1649e-12,4.6308e-08,0.19805,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,24.825514487965183
6,1.9211000000000002e-10,0.018298,0,0.020669,0.19463,0,0.5142,0,0,0.0017042000000000001,0,0,0,0,0,4.6269999999999996e-10,0,1.0929,0,0,1.9674e-07,4.852199999999999e-07,0.2778,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.264571383034856
7,0.41448999999999997,0.5896899999999999,0,0.8211200000000001,0.2524,0,0.36975,0,0,0.24615,0,0,0,0,0,5.2897e-12,0,0.9661299999999999,0,0,2.7816e-08,0.00035607,0.11382,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,23.294346293850577
8,0.3117,0.00016026,0,0.76739,0.30918,0,0.18409,0,0,0.00016228,0,0,0,0,0,6.735300000000001e-07,0,1.0081,0,0,1.3780999999999999e-11,1.0523e-07,0.38423,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,24.20728848377386
9,0.46965,0.005051399999999999,0,0.59888,8.271899999999999e-05,0,0.001216,0,0,9.815100000000001e-07,0,0,0,0,0,4.6218999999999993e-07,0,0.8314,0,0,0.34214,0.0031478,0.00012122,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.725367067344866
10,0.008641,0.035838999999999996,0,0.24735,0.15528,0,0.5231899999999999,0,0,0.079542,0,0,0,0,0,3.4994999999999998e-09,0,0.9716,0,0,0.0061699,2.4111999999999997e-09,0.4334,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,26.649471559767036
11,0.047951,0.12240999999999999,0,0.017052,0.68629,0,0.0085349,0,0,2.6693e-07,0,0,0,0,0,1.4064000000000001e-08,0,1.3494,0,0,1.742e-05,1.1762999999999999e-10,0.24099,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.20896481409718
12,0.64766,1.1943e-08,0,0.15285,1.5493e-05,0,4.6988999999999993e-05,0,0,0.011538,0,0,0,0,0,4.206e-08,0,0.92015,0,0,9.6077e-12,2.2631e-05,0.094735,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.03165157168288
13,0.7570600000000001,0.015788,0,0.41276999999999997,0.20865,0,0.31677,0,0,0.00024885,0,0,0,0,0,5.7701999999999996e-11,0,1.0017,0,0,0.082487,1.1379999999999998e-08,0.13684000000000002,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,26.052504698044068
14,6.726e-13,2.2716e-08,0,0.75737,2.592e-08,0,0.37858,0,0,0.51449,0,0,0,0,0,2.5509e-15,0,0.81403,0,0,2.3541e-09,8.0782e-06,0.14077,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,23.915851648267594
15,0.41352,0.11324000000000001,0,0.28137,1.3550000000000002e-07,0,0.12355999999999999,0,0,0.060676999999999995,0,0,0,0,0,3.3760999999999995e-09,0,1.0895,0,0,0.42633999999999994,2.9824e-08,0.10862000000000001,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,29.793316883187856
16,0.80942,2.907e-05,0,0.089713,2.2467000000000002e-08,0,0.32492,0,0,0.26511999999999997,0,0,0,0,0,1.4201e-12,0,0.97829,0,0,0.093678,4.9244e-11,6.0516e-09,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.56727111181433
17,0.80566,6.9382e-05,0,0.25017,2.3688e-09,0,0.47335,0,0,0.16602999999999998,0,0,0,0,0,1.1372e-13,0,1.1805,0,0,1.4069e-05,2.2888999999999998e-07,0.093877,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,25.876398590749787
18,0.00029569,0.00023106,0,0.7316199999999999,5.4881000000000005e-09,0,0.69563,0,0,0.00014732,0,0,0,0,0,9.2105e-09,0,0.51034,0,0,0.00039163,7.206899999999999e-09,0.30025,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,24.291789407259415
19,0.42267,0.00049165,0,0.13362000000000002,0.66689,0,0.10845,0,0,0.028775,0,0,0,0,0,1.3936e-06,0,1.0416,0,0,1.6534e-08,1.4141999999999999e-08,0.61402,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.557050272493797
20,0.1022,0.029776999999999998,0,0.5163399999999999,9.4127e-06,0,0.037697,0,0,0.11320999999999999,0,0,0,0,0,1.4584999999999999e-06,0,1.1111,0,0,3.5318e-08,4.3533999999999997e-10,0.41963999999999996,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,25.73975899839463
21,0.59436,1.5680999999999999e-07,0,0.17761,0.28556,0,0.39496,0,0,6.3868e-05,0,0,0,0,0,1.8417e-10,0,1.031,0,0,3.5459000000000003e-09,1.0301999999999999e-07,0.57281,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.21509365155748
22,0.40194,0.0011914999999999999,0,0.31728,0.019776,0,0.62468,0,0,0.20246,0,0,0,0,0,0.04005,0,1.4722,0,0,3.8735e-06,3.3381e-08,0.035699,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,25.03671891751442
23,0.46421,1.1469e-06,0,0.00029164,0.09993400000000001,0,0.13957,0,0,4.3186e-08,0,0,0,0,0,0.00078985,0,1.2027,0,0,0.00020830000000000002,8.668200000000001e-08,0.5133,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,28.181669474335095
24,5.449499999999999e-08,0.022474,0,0.4908,0.018584,0,0.32495999999999997,0,0,6.6554e-05,0,0,0,0,0,7.3816e-11,0,1.0622,0,0,8.0381e-07,6.731799999999999e-07,0.35420999999999997,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,25.47214970787693
25,0.036864,0.084011,0,0.34165,0.27998,0,0.036953,0,0,0.016488,0,0,0,0,0,3.3108e-05,0,0.81,0,0,3.1409e-08,1.0226e-09,0.59046,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,26.999733278444953
26,0.48953,0.0003997,0,0.1268,0.00055718,0,0.14917,0,0,0.0013390000000000001,0,0,0,0,0,0.038429000000000005,0,1.1689,0,0,0.12468,1.2665e-05,0.49671000000000004,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,28.671702999363582
27,2.8365e-06,0.022757,0,0.10687999999999999,0.00034867,0,0.87979,0,0,1.5009e-06,0,0,0,0,0,2.23e-08,0,0.71294,0,0,3.7375999999999996e-05,2.4229e-07,0.40552,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.16474526293446
28,0.5303899999999999,3.0556e-06,0,0.00062442,0.0017613,0,0.16280999999999998,0,0,1.4804000000000001e-05,0,0,0,0,0,1.1223e-12,0,1.1141,0,0,0.00029625,6.6218e-06,0.45358999999999994,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,28.16871783918852
29,0.10227,0.0059908,0,0.013438,0.0031686999999999996,0,0.35683000000000004,0,0,8.230800000000001e-06,0,0,0,0,0,6.9297e-06,0,1.0338,0,0,6.2254e-09,0.00016694,0.547,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,28.16531955624311
30,0.6065,0.28852,0,1.1099,0.17995,0,0.44361000000000006,0,0,9.850199999999999e-08,0,0,0,0,0,4.8137e-06,0,0.9688899999999999,0,0,0.035463,1.5108e-08,0.013893,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,21.96212927472754
31,0.67009,5.364e-05,0,0.43131,0.039178,0,0.14342,0,0,0.10313,0,0,0,0,0,1.0390000000000001e-15,0,1.192,0,0,2.3602000000000003e-10,4.8983e-11,0.35131999999999997,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,25.817530716798604
32,1.6459e-09,0.0023815999999999998,0,0.075632,2.7766999999999997e-05,0,0.33348,0,0,0.56125,0,0,0,0,0,7.035299999999999e-10,0,1.2364,0,0,2.943e-10,1.4161e-07,0.044217,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,26.71286001321342
33,0.6432,0.007756600000000001,0,0.17619,0.0077024,0,0.23110999999999998,0,0,4.0184e-05,0,0,0,0,0,5.0938e-10,0,1.1238,0,0,0.00013738,3.9311e-07,0.78977,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,27.916752003100104
34,1.7088999999999999e-06,0.0020416,0,0.60136,0.0419,0,0.26256999999999997,0,0,0.22535,0,0,0,0,0,6.6317e-13,0,1.043,0,0,0.014627000000000001,6.4452e-09,0.2573,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,24.93199564615083
35,0.00080158,0.064489,0,0.66719,0.18653,0,4.702099999999999e-06,0,0,1.0457e-09,0,0,0,0,0,5.0183e-10,0,0.94084,0,0,0.00019899,2.8645e-10,0.5984,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,25.435599498313316
36,1.5093e-07,0.00012743,0,0.72216,0.041363,0,0.023094,0,0,0.13888,0,0,0,0,0,3.5519e-05,0,0.81907,0,0,0.0029572,6.993199999999999e-09,0.41121,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,24.980836800539823
