,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,7.3655e-08,0.16028,0,0.014098,0.46778000000000003,0.28137,0.15428,0,3.5467e-07,0,6.5596e-05,0,0,0,0,1.1637e-12,0,0.99944,0,0,0.0043718,2.8342999999999998e-08,0.47268000000000004,0.0061772,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,39.359789309518774
1,0.15635,6.661800000000001e-08,0,0.57284,0.021905,0.33364,0.013373,0,1.183e-09,0,0.2381,0,0,0,0,3.4766999999999994e-11,0,1.0081,0,0,4.4573000000000005e-06,2.9365000000000004e-09,0.18367,0.47963999999999996,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,35.689488109705096
2,5.7621e-07,0.14662999999999998,0,5.043e-06,0.018561,0.4393,2.2648e-12,0,0.00038803,0,1.7496e-08,0,0,0,0,2.197e-14,0,1.0577,0,0,4.418e-10,7.6524e-13,0.07479,0.50846,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,37.699835891842234
3,5.3108e-08,0.44821000000000005,0,0.99115,0.00021222,0.37842,0.017322999999999998,0,0.40989,0,0.44045,0,0,0,0,3.5265e-13,0,1.0984,0,0,1.6928e-05,1.3575e-11,0.09779700000000001,0.23596999999999999,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,33.07135961923155
4,0.23129,6.913600000000001e-09,0,0.23337,0.039593,0.13666,0.2687,0,4.8281e-06,0,0.014145,0,0,0,0,1.6767e-05,0,0.7335699999999999,0,0,2.1207e-05,2.7531e-10,0.38756999999999997,0.72227,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,38.64139096646509
5,0.37465,0.019879,0,0.0061062,1.9141e-09,0.24461,0.73333,0,0.0011877,0,1.7002e-05,0,0,0,0,1.906e-10,0,0.91876,0,0,9.3473e-07,2.2761e-10,0.007612399999999999,0.5253899999999999,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,37.255069402937345
6,0.010877,0.10452,0,0.010332,0.14539000000000002,0.5568,0.46738999999999997,0,0.25671,0,0.010277,0,0,0,0,7.138100000000001e-13,0,0.70176,0,0,0.25244,0.00040702,0.035591000000000005,0.1998,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,37.80678875506952
7,0.23745,0.00062039,0,0.6149899999999999,0.022341,0.3632,0.14623,0,0.21613000000000002,0,1.5352e-05,0,0,0,0,1.3302000000000002e-10,0,0.8812,0,0,0.007568399999999999,1.4065e-08,0.055182,0.39259,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,34.82890970783298
8,0.011203,0.0041157,0,0.48636,0.36124,0.090679,0.19435999999999998,0,2.3342e-06,0,0.74363,0,0,0,0,4.3222e-05,0,0.89991,0,0,2.3761999999999998e-11,4.2531e-10,0.097121,0.87341,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,36.038974618994224
9,0.84235,8.2289e-07,0,0.5037699999999999,1.5651e-05,0.51803,0.0045172,0,2.6260000000000004e-07,0,4.8401e-08,0,0,0,0,1.0437e-05,0,0.72034,0,0,0.00051288,2.1471e-07,2.2493000000000003e-05,0.63145,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,35.037211210594684
