,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,2.4823000000000003e-05,6.8036e-05,0,1.4114,1.6424e-09,0,0,0.17078,0,4.0225e-11,3.4641000000000004e-06,1.0052,0,0,3.2579e-12,2.1109000000000003e-23,0,0,0.35616,4.7235e-08,4.2346e-08,1.1811e-11,0.48257,0,0.8125600000000001,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,9.781985922807435
1,0.38028,7.7075e-13,0,0.91915,0.29666,0,0,1.9369e-05,0,0.10252,4.747399999999999e-05,0.51451,0,0,1.1212e-07,2.628e-06,0,0,1.1696e-08,0.2556,0.11517000000000001,6.4921e-08,0.44816999999999996,0,0.13795,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,8.185111696678009
2,5.8442e-11,7.5901e-05,0,0.34869,0.44786000000000004,0,0,0.76946,0,3.5241e-14,0.46573000000000003,0.60632,0,0,0.32659,1.1567e-13,0,0,9.9795e-08,0.00033374,0.00027707,0.00030166,0.9448700000000001,0,0.69305,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.783869067376642
3,1.0199e-12,0.070449,0,0.54864,0.58731,0,0,0.061538,0,0.26775,2.1943000000000003e-07,0.7571,0,0,7.600499999999999e-10,4.2253e-08,0,0,3.0555e-11,0.22615,4.2239000000000005e-08,6.3342e-10,1.1277,0,3.9521e-12,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,5.853567564314295
4,4.6277999999999996e-11,0.009961,0,0.00020831,1.1858,0,0,0.64999,0,1.0183e-06,1.7309000000000002e-10,2.2285000000000001e-07,0,0,2.8615e-07,0.00027261,0,0,0.005862600000000001,2.9477999999999995e-06,4.961700000000001e-08,3.4981000000000003e-07,0.84551,0,0.77951,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,8.875730670679744
5,3.2249e-09,0.0067134000000000004,0,0.8716299999999999,0.68184,0,0,0.34468000000000004,0,0.20352,1.5083e-05,0.10761,0,0,1.4715e-06,4.525199999999999e-11,0,0,4.4603e-08,0.0014248,6.9265e-10,0.00080329,0.79004,0,0.9343799999999999,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.464196989681609
6,1.0429000000000001e-10,3.9952e-08,0,0.59333,0.88999,0,0,0.096823,0,4.4181000000000005e-11,3.0239e-09,0.34736999999999996,0,0,1.3558e-05,0.030807,0,0,2.4687e-05,0.8359,0.48728999999999995,1.5193e-05,0.22798000000000002,0,0.1238,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,14.824699083033487
7,0.46188999999999997,0.16714,0,5.7117e-06,0.8391799999999999,0,0,0.2335,0,1.4137999999999999e-08,0.038875,0.029441000000000002,0,0,0.23642,3.1002e-05,0,0,0.052787,0.7238,0.00010456,0.0006517000000000001,1.1423,0,0.031872000000000004,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,7.644761595158139
8,0.0029758000000000002,1.3495999999999999e-08,0,0.47828000000000004,3.8633e-05,0,0,0.39264,0,0.004442499999999999,0.083109,0.39864,0,0,1.6475e-08,1.0948e-08,0,0,0.0016499000000000002,0.20784,4.8551e-08,2.4009e-11,0.84175,0,0.00030212,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,4.93273856340935
9,2.1475e-09,4.1619e-06,0,0.34255,1.8624e-05,0,0,0.66078,0,3.3226e-05,0.001506,0.1149,0,0,0.0036336,1.1161000000000001e-08,0,0,2.5696e-06,3.5301e-05,0.70086,1.8159000000000001e-09,0.025876999999999997,0,0.31739,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,18.9961189875605
10,2.286e-09,0.037655,0,0.7328399999999999,0.58919,0,0,2.2937e-09,0,1.4087e-06,0.00051746,5.6906e-09,0,0,0.19642,0.27383,0,0,0.037142,0.60432,2.0778000000000003e-05,1.1843e-11,0.91676,0,0.066861,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,7.583101103123516
11,2.6158e-07,0.0037884,0,0.16724,0.8731,0,0,0.28965,0,2.9378999999999998e-08,0.083129,0.28358,0,0,0.068195,4.224e-06,0,0,2.167e-09,0.00018276,0.26763000000000003,9.044399999999999e-05,0.022861000000000003,0,0.44788999999999995,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,12.34674707576605
12,0.47634,5.9006000000000004e-05,0,0.14207,0.67823,0,0,0.12304000000000001,0,0.42787,0.34321999999999997,8.936e-08,0,0,0.00091337,1.2543e-10,0,0,0.002346,0.010486,1.2008e-10,0.0022095,0.46571999999999997,0,0.0022969,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,4.889223981081063
13,8.0658e-08,0.25637,0,0.44073999999999997,0.62262,0,0,0.042246,0,0.00051919,0.007875199999999999,0.17497000000000001,0,0,0.083027,3.3601e-08,0,0,1.4842e-07,0.41457,0.33061,2.6418e-10,0.6097899999999999,0,0.067242,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,12.816649809955122
14,0.45311,0.015136000000000002,0,4.367899999999999e-11,0.065075,0,0,0.6927399999999999,0,2.1835e-16,1.4318e-12,0.0069426,0,0,0.24823,6.8704e-11,0,0,0.10665999999999999,0.6473399999999999,2.5485e-07,0.13445,0.76567,0,0.00026489999999999993,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,7.7157701845791316
15,0.0046413999999999995,0.28617,0,0.4757,0.00048959,0,0,0.00056502,0,1.7484999999999998e-11,0.00012913,1.3158000000000002e-06,0,0,0.0001831,1.032e-08,0,0,0.0017683,0.67901,0.077987,0.00090974,0.56726,0,0.5142,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.649360524689165
16,0.47648,2.3521e-08,0,0.21056999999999998,1.8176,0,0,1.3026,0,0.097885,2.4437e-10,1.1145e-10,0,0,5.0727e-09,7.790399999999999e-06,0,0,0.26868000000000003,0.37127,0.012667,6.057100000000001e-08,0.073546,0,2.5658e-05,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0.6853573454267803
17,0.22645,0.0015886,0,1.3821,0.66828,0,0,0.0038031999999999996,0,0.0017803,0.46758999999999995,0.00049604,0,0,2.3986999999999997e-13,1.0988e-15,0,0,1.0403e-10,3.0778e-08,0.12169,2.7167e-11,0.61364,0,0.44882,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.043166390981987
18,7.107100000000001e-09,0.00015245,0,0.8197700000000001,8.5785e-07,0,0,0.34824,0,3.6938e-11,0.15768,0.054422000000000005,0,0,4.6064e-06,1.1313e-12,0,0,1.7873e-08,0.66327,0.17217000000000002,2.2714000000000003e-07,0.43751999999999996,0,0.0001709,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,7.7812666383532125
19,0.00022898,0.1944,0,0.30341999999999997,0.08656900000000001,0,0,0.029131999999999998,0,1.5072e-08,0.00022587,0.5768300000000001,0,0,0.011225,1.9463999999999999e-10,0,0,0.059570000000000005,0.86692,2.9576e-06,7.1297e-07,0.76802,0,0.18195,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,7.298355485834535
20,0.0013099000000000001,0.39361,0,0.66201,0.16699,0,0,0.33801,0,0.00015560000000000001,0.30432,0.5867899999999999,0,0,3.1321e-07,4.0665e-06,0,0,3.2797999999999998e-09,0.040976,0.0035564,1.7996e-11,0.48928999999999995,0,4.071e-05,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,4.388168290925977
21,0.00078044,7.8428e-06,0,0.8668,0.00012684,0,0,0.02421,0,0.00045485,0.27669,0.30101999999999995,0,0,0.34943,4.6746e-05,0,0,2.8964000000000005e-11,0.010916,0.41646000000000005,0.12228,0.31314000000000003,0,0.25321,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,18.750112561718908
22,0.00028963,0.016089,0,0.9527899999999999,0.27979,0,0,1.1590000000000001e-10,0,0.29399000000000003,0.5844,0.3183,0,0,7.3616e-11,7.6524e-07,0,0,0.00032238,0.0097063,2.6359e-07,0.59902,0.6285,0,0.32703000000000004,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,14.235166922286872
23,0.00016036,0.14967,0,0.73695,0.48308999999999996,0,0,0.1555,0,0.07648200000000001,3.549e-05,0.46403999999999995,0,0,0.2766,7.103600000000001e-14,0,0,0.0018156,0.026481,1.419e-05,8.7851e-08,0.7864399999999999,0,1.3519999999999999e-14,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,7.0385371979419915
24,9.8378e-11,0.10849,0,0.16882,0.37933,0,0,4.7371e-10,0,1.2446e-06,0.041103,2.3967e-06,0,0,0.09462899999999999,2.2083000000000003e-09,0,0,3.2183000000000004e-08,0.11499000000000001,0.00073089,0.029681,1.0528,0,0.52205,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.7141705077293
25,0.29213,0.050209,0,0.68907,0.49755,0,0,0.16869,0,0.00096185,1.1887999999999998e-10,0.52336,0,0,4.0575e-06,2.0743e-06,0,0,3.611e-05,6.0821e-07,6.0493000000000005e-05,4.0681999999999993e-11,0.81833,0,8.2044e-08,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,5.031969712085154
26,0.16883,1.2015,0,0.30115,0.00046978,0,0,9.361100000000001e-06,0,1.0354000000000001e-16,3.7548e-12,9.740899999999999e-07,0,0,1.5833e-07,4.1368e-16,0,0,0.34662,0.038359,1.0682,8.299100000000001e-09,0.00066429,0,0.4272,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,28.731725273562656
27,0.0010171,0.18788,0,0.61961,0.30003,0,0,0.029144,0,0.016427,1.4464e-05,0.64449,0,0,1.4537e-08,6.8046e-12,0,0,0.30585999999999997,0.93274,0.00096932,3.6908999999999997e-06,0.88789,0,3.1117e-08,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,5.919234039025628
28,0.10384000000000002,2.6652e-07,0,0.2194,0.34686999999999996,0,0,0.41893,0,0.10835999999999998,0.42523999999999995,0.7773800000000001,0,0,0.00070943,5.906699999999999e-13,0,0,3.5342e-07,0.51383,0.00049484,1.0298e-08,0.21631999999999998,0,0.028901,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,4.163729152903236
29,0.036861,0.06465800000000001,0,0.00011645,0.023672,0,0,2.3176,0,0.0011584000000000002,0.076336,1.5568e-11,0,0,9.8949e-14,0.00024844,0,0,1.3026,0.07596499999999999,0.016378,1.3186,1.2814e-20,0,5.8755e-09,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,14.190949882039583
30,0.072352,0.014599,0,0.7379399999999999,0.70532,0,0,0.34786,0,2.3727e-14,0.055535,0.5498,0,0,0.033019,2.8235e-10,0,0,0.055399000000000004,2.4948e-07,0.44741000000000003,4.1894e-12,0.49938,0,0.060841,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,13.40418222609075
31,0.26441,0.53122,0,0.47197,0.84908,0,0,0.42665,0,0.13215,0.0019024,0.28354,0,0,1.7245e-13,7.0963e-11,0,0,0.00081845,0.37621,0.14025,2.647e-05,0.226,0,0.00049522,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,6.243164414170562
32,0.14211,0.0013111,0,0.64898,0.17798,0,0,0.00015164,0,0.6540699999999999,2.1037e-07,0.0028455999999999998,0,0,1.3972e-06,2.2554000000000002e-13,0,0,1.6507e-12,2.5391e-07,1.448e-05,4.877e-06,1.0778,0,9.7666e-12,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,6.0827198658791914
33,2.2828e-09,4.7214e-09,0,0.52331,0.32358000000000003,0,0,0.49881000000000003,0,2.2225000000000002e-07,0.00059911,0.231,0,0,0.46338999999999997,2.0486999999999995e-11,0,0,0.0035101,0.35452,0.041682,1.3824e-06,0.76254,0,0.00096393,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,8.572785795419044
34,4.6593e-05,0.054373000000000005,0,0.00047997,0.80545,0,0,4.5372e-05,0,0.35467,0.04912,0.39873000000000003,0,0,1.2032e-06,9.7771e-14,0,0,0.1268,2.8272000000000003e-10,0.0065436999999999995,1.2854e-10,1.103,0,0.28586,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,8.118622592846165
35,1.054e-10,0.047099,0,1.105,0.39511999999999997,0,0,8.4316e-07,0,2.7095e-11,1.4434e-12,9.4246e-06,0,0,1.8559e-07,7.3683e-06,0,0,1.4272999999999999e-06,0.60582,0.15335,8.5594e-12,1.3448,0,1.5029e-12,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,9.26105793070357
36,5.7533e-05,0.38511999999999996,0,0.1302,0.092859,0,0,0.64058,0,1.8257e-09,1.1695e-07,0.44425,0,0,0.0021438000000000004,0.0017239999999999998,0,0,4.0328999999999996e-11,0.66857,0.040593000000000004,1.9407e-11,0.74529,0,0.27268000000000003,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,6.9871303063163825
37,1.8068999999999997e-10,1.5407e-05,0,0.014740000000000001,0.244,0,0,0.14263,0,2.7569e-08,8.704099999999999e-10,0.7208100000000001,0,0,9.049200000000001e-11,4.2718000000000004e-07,0,0,5.2454e-06,0.12062,0.10726,8.7781e-11,1.3652,0,9.2094e-05,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,8.583275605193961
38,8.196500000000001e-07,6.8059e-11,0,0.30053,0.15450999999999998,0,0,0.86972,0,1.2217999999999998e-21,0.44076000000000004,5.546900000000001e-10,0,0,8.517200000000001e-16,7.0572e-06,0,0,0.013118000000000001,0.11258,0.66606,2.1311e-07,1.5219999999999998,0,6.021800000000001e-11,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,17.767474587939844
39,0.013562000000000001,0.00037732,0,0.2521,0.44201,0,0,5.2881999999999997e-08,0,2.898e-12,4.544e-05,0.46397,0,0,0.16624,1.1691e-06,0,0,0.26986,0.057630999999999995,7.332899999999999e-11,6.7648e-11,1.3559,0,0.012010999999999999,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,7.866740072066866
40,1.676e-05,0.11105,0,0.80501,0.069018,0,0,1.0549,0,0.0016559,5.2895e-05,0.017806,0,0,0.55916,4.6344e-24,0,0,4.3924e-09,0.18373,0.17167000000000002,7.1277e-15,1.2278,0,1.2158e-08,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.962232580588651
41,0.060796,5.971399999999999e-13,0,0.09995599999999999,0.45211999999999997,0,0,0.56158,0,0.0067733,0.016461,0.29552,0,0,4.6205e-13,8.932999999999999e-10,0,0,0.046163,0.070964,0.00012729,0.15153,0.8522700000000001,0,0.00034453,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,6.141017806011627
42,5.3495e-08,0.8206600000000001,0,0.69691,0.36386999999999997,0,0,3.5135e-10,0,0.047905,0.30086999999999997,0.05944,0,0,1.0831e-09,0.006475700000000001,0,0,0.60138,0.00027798,2.9785e-09,3.6914e-06,0.9244700000000001,0,1.3967e-10,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,5.7192302086028945
43,6.8767e-10,0.053484000000000004,0,0.8547799999999999,0.14898,0,0,1.5794e-09,0,0.20540999999999998,0.10611,5.8694000000000004e-09,0,0,3.0581e-10,1.1548e-06,0,0,0.00021474,1.274e-05,0.22958,0.02512,0.82275,0,0.48302,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,13.616295174495853
44,8.5905e-09,4.0444e-10,0,0.5597300000000001,3.013e-15,0,0,0.76518,0,8.952899999999999e-15,2.4387e-06,0.55284,0,0,0.00058762,5.4481999999999994e-09,0,0,0.15095999999999998,0.64954,0.56933,0.42183999999999994,0.05449,0,0.68302,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,23.431001949925694
45,0.12494000000000001,0.45863000000000004,0,0.20847,0.54467,0,0,0.016148,0,0.0163,3.6555000000000005e-10,0.48213999999999996,0,0,0.027211000000000003,0.00011641,0,0,5.6731999999999995e-08,0.47057,2.2463e-05,9.9679e-06,0.47797,0,0.0062994,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,5.548391949135935
46,0.00019593,0.0028183,0,0.2973,0.1968,0,0,0.5305,0,2.5438e-10,0.31538,0.76044,0,0,8.3353e-08,2.9623e-10,0,0,1.4859e-06,0.33825,1.9527e-07,1.5635e-07,1.2604,0,0.069165,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,5.639749594952862
47,0.48789,0.15915,0,0.4565,1.4778e-07,0,0,0.010458,0,9.209100000000001e-05,0.0034896000000000003,0.19759000000000002,0,0,0.00084885,6.495999999999999e-11,0,0,6.3347e-09,0.33889,2.9707e-08,0.00019013,0.66715,0,6.7953e-12,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,5.763954339842256
48,0.25101,0.10968,0,0.30221,0.09750299999999999,0,0,0.16353,0,0.6613399999999999,2.288e-09,0.4598,0,0,4.2657e-11,6.7787e-12,0,0,1.0679e-05,1.0772000000000002e-09,2.9994e-09,0.031786,1.2864,0,0.70585,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,11.205642224151092
49,0.087599,0.060021000000000005,0,0.5907899999999999,0.0021881,0,0,0.0062093999999999995,0,0.018334,0.062622,0.23274,0,0,0.4752,1.5855e-07,0,0,0.16384,0.02376,0.29774,0.00060523,0.72697,0,0.28757,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,16.967869882612582
50,6.4946e-11,0.0010244000000000002,0,0.31128,0.36338000000000004,0,0,0.293,0,0.48751000000000005,0.0053471000000000005,0.12616,0,0,0.28342,6.022e-07,0,0,0.0041924,0.32898,0.33405999999999997,2.6564e-13,0.42217,0,0.32792,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,15.329430457270739
51,0.00088471,0.12715,0,0.07281699999999999,5.2522e-06,0,0,0.74848,0,1.7601e-14,0.30001,0.5160100000000001,0,0,0.00037458,7.680600000000001e-05,0,0,7.3026e-08,5.0314999999999996e-11,6.7186e-10,0.086634,1.3119,0,0.0026055999999999996,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,5.847094129520579
52,1.0022000000000001e-07,2.2226e-05,0,0.44141,0.6077100000000001,0,0,7.487999999999999e-06,0,0.10114,0.0015653,1.9265e-05,0,0,2.6323000000000002e-05,3.9845e-12,0,0,8.5864e-06,0.30327,0.010618,0.0029204,0.58207,0,0.73848,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.400265065665439
53,0.00024398,7.4023e-05,0,8.3596e-12,1.4432,0,0,0.31383,0,0.010454000000000001,0.8321299999999999,0.11715999999999999,0,0,1.5345e-15,1.1701e-17,0,0,3.2240999999999997e-09,0.062338,0.4426,1.5671e-08,0.16118,0,0.6852,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,16.764671688361638
54,4.8516999999999996e-05,0.0044482,0,0.8923700000000001,0.8393,0,0,0.79833,0,0.45966,0.14624,0.32594,0,0,0.12937,4.473e-09,0,0,4.0809e-07,6.812199999999999e-09,1.025e-07,3.9386e-10,0.43867,0,0.8400799999999999,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,8.934118494445306
55,0.049371,2.2497e-08,0,0.3508,0.37861999999999996,0,0,0.16377,0,0.081147,0.0016468,0.036213999999999996,0,0,1.4672e-07,2.9373e-12,0,0,0.016280000000000003,0.053437,5.4661000000000004e-05,0.05245,0.36676,0,0.76559,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.309854329722688
56,0.13097,1.2615999999999999e-05,0,0.66061,0.47548,0,0,0.0011394,0,3.9779000000000003e-10,0.48522,0.37185999999999997,0,0,0.036715,5.0812e-12,0,0,1.5916e-10,0.31309000000000003,1.7395e-07,9.0428e-11,1.0263,0,0.19319,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,7.437479664093385
57,1.2384e-09,3.644e-05,0,0.58025,0.06851,0,0,0.51848,0,5.1383e-08,9.2918e-06,0.23334000000000002,0,0,0.0011993,1.6409e-06,0,0,1.3893e-12,0.024484,0.8567799999999999,1.4706e-05,0.48466000000000004,0,0.0006442,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,20.855441770401356
58,3.977e-06,3.2789e-14,0,0.0086483,0.7389600000000001,0,0,0.19054000000000001,0,0.21431,0.094001,0.77271,0,0,0.50337,4.2631e-10,0,0,9.9482e-08,0.5011899999999999,4.6728999999999994e-09,0.13146,0.045016,0,3.2563999999999997e-10,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,9.410464114307732
