,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00080663,0.002863,0,0.72711,0,0,0,0,0.23018000000000002,0,0,0.8448,0.5016,4.2411e-08,0.0011815,4.8432e-12,0.017263,0,0,0.27975,2.0255e-07,8.5441e-09,0.051628,0,0.48462,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,4.42220453475079
1,9.591e-05,3.1601999999999996e-10,0,0.44708000000000003,0,0,0,0,0.18541,0,0,0.5617800000000001,1.0737e-06,0.50017,0.056482000000000004,3.3661999999999997e-10,9.020200000000001e-07,0,0,0.35075,0.15025,4.5493999999999995e-05,0.74459,0,0.15634,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,12.889679325659255
2,9.622999999999999e-10,0.55499,0,0.84277,0,0,0,0,0.00010433,0,0,1.295e-07,0.00032173,3.148e-07,0.00052768,1.3013999999999998e-10,6.5661e-09,0,0,0.0053684,0.029091000000000002,2.4091999999999998e-08,1.6237,0,0.0011355,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,7.549143662908659
3,1.6954999999999998e-07,2.76e-08,0,0.8337600000000001,0,0,0,0,0.31556999999999996,0,0,0.82,0.34519,9.429600000000001e-08,7.4602e-09,3.5883000000000004e-07,0.15031,0,0,0.3118,0.0039228,7.3792e-07,0.36834,0,1.1168e-08,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,2.4196593837295097
4,2.9142e-05,1.9094,0,0.52878,0,0,0,0,1.4854,0,0,1.5176,2.5423,2.7157999999999996e-10,9.2993e-21,4.1330999999999996e-16,7.771e-09,0,0,6.7709e-08,5.9855e-12,0.00028623,3.9072e-05,0,8.517100000000002e-09,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0.8907409923680465
5,1.0082e-09,0.014163999999999998,0,0.7906,0,0,0,0,0.41372,0,0,0.4169,5.1508e-07,0.00024847,3.6508e-10,1.9918000000000002e-14,0.024354,0,0,3.4706e-07,6.3409e-11,3.7463e-08,1.2167,0,0.55625,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,9.192084496839925
6,2.2727000000000003e-06,4.5344e-13,0,0.602,0,0,0,0,0.16155999999999998,0,0,0.35503,0.021371,1.3921,5.543e-07,2.3349999999999997e-10,0.067125,0,0,0.09473200000000001,0.26409,0.001033,0.00049034,0,7.9423e-05,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,19.397881653962394
7,0.29420999999999997,0.0009775,0,6.1599e-10,0,0,0,0,0.52979,0,0,0.182,0.00043969,0.013656999999999999,0.14329,0.000293,0.006679300000000001,0,0,0.6956899999999999,0.00024155,0.00068809,0.9821,0,0.015286000000000001,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,6.544862344871441
8,0.038361,9.5512e-07,0,0.7146,0,0,0,0,2.859e-07,0,0,0.64381,0.0063372,1.3971e-10,3.0073e-07,1.5919e-06,3.2375999999999996e-05,0,0,0.49075,8.2144e-09,1.0355999999999998e-09,0.6162,0,0.00053548,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,3.4660035203203234
9,7.168300000000001e-08,0.0049275,0,0.19488,0,0,0,0,0.092382,0,0,0.26893,6.5131e-05,0.25844,0.00056384,1.8995e-09,0.007861700000000001,0,0,0.00058188,0.4902,8.9565e-07,0.77013,0,0.29251,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,16.092547238006286
