,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00026905,5.0221e-07,0,0,0,0,0,0,0,0,0.23087,0.07786699999999999,0,1.0571e-06,0.41877,1.0196e-10,0.1429,0.9602200000000001,8.7569e-06,0,0.0010095,3.4746e-05,0.57103,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,49.005131033142206
1,0.72544,3.7639e-08,0,0,0,0,0,0,0,0,0.033467000000000004,0.010764,0,0.024679,0.0062908,4.0849000000000003e-07,8.4759e-07,1.147,5.9977e-05,0,5.3786e-05,8.251299999999999e-07,0.45711,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,45.36552354760947
2,2.9795e-07,6.9077e-06,0,0,0,0,0,0,0,0,5.2751e-08,0.0027538,0,1.0567e-11,0.39649,4.557399999999999e-13,1.5397999999999999e-06,0.8816700000000001,0.00019606,0,0.0017096,1.275e-05,0.71843,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,49.67940759432777
3,3.7713999999999996e-08,0.0047913999999999995,0,0,0,0,0,0,0,0,0.0014449999999999999,0.23693000000000003,0,2.632e-06,1.3761000000000002e-08,2.7820999999999996e-11,0.006963,0.9787799999999999,1.0390999999999999e-08,0,4.9538999999999994e-05,2.7476999999999995e-09,0.6995399999999999,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,46.5058576005864
4,0.00065544,2.0627e-09,0,0,0,0,0,0,0,0,0.00022838,0.27581,0,1.9173e-09,6.990000000000001e-09,4.8472e-08,0.0027497,1.1656,8.311200000000001e-07,0,1.4988e-06,1.1182e-08,0.7580899999999999,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,46.46096756387271
5,0.1493,0.00067401,0,0,0,0,0,0,0,0,3.1131e-08,0.31328,0,1.815e-09,5.8221000000000004e-05,3.3707999999999995e-11,0.023177,1.0123,1.7613999999999998e-06,0,1.3370999999999999e-09,1.6692e-07,0.63115,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,46.12345757325685
6,1.0129e-10,6.409399999999999e-07,0,0,0,0,0,0,0,0,2.233e-05,0.34026999999999996,0,8.0616e-06,0.00015454,8.1858e-10,0.091179,0.9451299999999999,2.0486999999999998e-09,0,1.6377e-05,3.1842e-05,0.49194,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,45.579704884192
7,0.00037117,0.032457,0,0,0,0,0,0,0,0,0.21673,0.007302299999999999,0,0.33018000000000003,1.0702e-06,5.6538000000000006e-08,6.477999999999999e-10,1.1529,2.6224e-05,0,1.3386e-08,5.8716e-07,0.72291,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,49.729587987179706
8,0.009702299999999999,5.465399999999999e-09,0,0,0,0,0,0,0,0,0.023252000000000002,0.54852,0,1.3714999999999999e-09,0.0032478000000000003,3.3382e-06,0.00041844,1.0662,1.0588e-06,0,0.00012169,2.0219e-08,0.6993199999999999,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,46.37788130039091
9,1.0855999999999999e-05,0.0034950000000000003,0,0,0,0,0,0,0,0,4.3129999999999996e-08,0.25611,0,4.8213e-07,4.9421999999999995e-05,4.2107e-09,0.00092528,1.1565,3.3236e-08,0,0.14772000000000002,8.4131e-08,0.94026,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,47.87158272528644
