,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,1.77e-06,2.0914e-07,0,0,0.66874,0,0,0,0,0,0.22177,0.65679,0,0,1.4623e-09,5.4398999999999996e-08,0,0,3.4171e-07,0.19264,1.1737e-06,1.4031e-06,1.0484,0,9.0168e-05,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,6.736219832361401
1,0.57131,4.0245e-08,0,0,0.17135999999999998,0,0,0,0,0,0.0088012,0.43368999999999996,0,0,0.049516000000000004,4.1297e-09,0,0,0.00041251,0.05790599999999999,0.11467999999999999,4.4185e-05,1.0866,0,0.033257,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,9.43116305338112
2,1.9521999999999998e-08,0.048201,0,0,0.23659000000000002,0,0,0,0,0,4.4262e-05,5.9098e-05,0,0,0.21263,4.839e-13,0,0,2.0050999999999998e-05,0.20879,0.00013704,0.090865,1.4782,0,0.41316,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,13.916382305579514
3,2.8302e-12,0.042168000000000004,0,0,0.5150399999999999,0,0,0,0,0,6.6306e-08,0.45688,0,0,5.1215e-09,1.5715000000000001e-06,0,0,3.8069e-10,0.50176,1.8086e-07,6.398e-08,1.0973,0,9.8355e-10,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,7.085661938895038
4,3.2908e-10,1.4129e-08,0,0,0.48191000000000006,0,0,0,0,0,2.5292e-08,0.12255999999999999,0,0,4.24e-10,4.8569e-07,0,0,2.6396e-07,0.00071453,0.02224,9.5955e-09,1.4896,0,0.18707000000000001,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,9.991870740729382
5,7.012300000000001e-10,0.1791,0,0,1.077,0,0,0,0,0,0.36758,0.48231,0,0,1.9807000000000002e-05,7.8941e-10,0,0,3.1574e-07,5.1565000000000005e-09,5.6872e-11,0.0019148,0.5886899999999999,0,0.78713,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,9.953203218673995
6,5.0527e-10,1.6328999999999999e-10,0,0,0.64007,0,0,0,0,0,2.7428e-06,0.79796,0,0,0.37253000000000003,2.5979e-12,0,0,1.5490999999999998e-05,0.09604700000000001,0.00010319,1.9175e-09,0.7570100000000001,0,0.22794,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,9.891793163369282
7,0.47388,0.091826,0,0,0.6400100000000001,0,0,0,0,0,0.039162999999999996,0.031309,0,0,0.21785,2.1723000000000002e-05,0,0,0.043788,0.72109,0.00018442,0.001695,1.2225,0,0.047788,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,9.462049257200714
8,2.2647e-07,1.1373e-09,0,0,1.4742e-07,0,0,0,0,0,7.884e-06,0.51969,0,0,6.7394e-07,6.257699999999999e-09,0,0,2.8120999999999997e-06,0.007190899999999999,0.00077129,1.7187000000000002e-07,1.5067,0,0.0015414,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,8.807351246115429
9,2.1119e-10,0.0080763,0,0,2.784e-05,0,0,0,0,0,2.0861e-07,0.35798,0,0,0.0022105999999999996,9.146999999999999e-09,0,0,8.2844e-08,6.815699999999999e-08,0.4926,5.3945e-08,1.0513,0,0.37524,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,16.90960741165717
10,7.8386e-05,2.5671e-05,0,0,0.27605999999999997,0,0,0,0,0,0.00038605,4.9143e-06,0,0,0.00035410000000000004,0.0028529,0,0,0.0030223000000000003,0.29168,0.012974000000000001,7.1616e-10,1.4773,0,0.00057012,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,8.779398341469388
11,1.2668999999999999e-06,0.012505,0,0,0.80267,0,0,0,0,0,0.14801,0.28836999999999996,0,0,0.010312,4.5738999999999995e-06,0,0,1.1279000000000002e-05,4.038e-05,0.25765,4.1951000000000005e-05,0.2274,0,0.50907,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.835636562881579
12,0.21854,0.010628,0,0,0.8717799999999999,0,0,0,0,0,0.39784,1.3291e-09,0,0,0.0010550000000000002,5.2801e-12,0,0,7.742300000000001e-05,0.07372100000000001,5.3335e-10,0.00096174,1.1138,0,9.1566e-07,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,6.843133837580475
13,2.4097e-05,0.21088,0,0,0.58216,0,0,0,0,0,2.8419e-05,0.24749000000000002,0,0,0.15766,9.3045e-09,0,0,6.3173e-08,0.38882,0.026052,5.9079e-07,1.0417,0,0.010461,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,8.424965802718805
14,0.38916,0.12997999999999998,0,0,0.45528,0,0,0,0,0,6.1176e-13,0.00063107,0,0,0.6073,2.6821999999999997e-09,0,0,0.00026906,0.91824,0.0010138999999999999,0.17579,0.8579600000000001,0,4.1162e-07,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,12.834805134767985
15,0.13762,0.32969,0,0,0.0052341,0,0,0,0,0,0.00083979,0.00015787,0,0,0.36828,4.821199999999999e-07,0,0,0.00053382,0.43656000000000006,0.027689,0.023743,0.8629100000000001,0,0.02479,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,10.064438263688686
