,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,3.8904e-08,5.644500000000001e-06,0,0,0.44096,0,0,0,7.7086e-05,0,0,0.60907,0,0,8.104699999999999e-07,1.3537999999999999e-08,0,0,0.00094093,0,0.00089723,3.2413e-05,0.9626100000000001,1.0607e-08,0.0034774999999999997,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,5.14490866039861
1,0.53491,4.8956999999999996e-06,0,0,0.33648,0,0,0,1.0394e-05,0,0,0.48348,0,0,0.027419,3.1043000000000003e-10,0,0,0.00068979,0,0.040082,7.2462e-06,0.99731,0.22753,0.006113800000000001,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,6.177253545193036
2,5.1215e-06,5.369600000000001e-07,0,0,1.4707e-06,0,0,0,0.30696999999999997,0,0,3.3009e-09,0,0,0.0015255999999999998,1.1887999999999998e-10,0,0,0.00020162,0,0.0068836,0.00083517,1.4632,0.43046,0.44643,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,10.838980570853405
3,1.0095e-08,0.37898000000000004,0,0,0.16831,0,0,0,0.37093000000000004,0,0,2.3707e-10,0,0,0.050769,4.7962e-05,0,0,0.00064428,0,1.1362999999999999e-07,2.9182999999999996e-10,0.63369,1.1711,0.040006,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,4.255067739206795
4,2.8899999999999998e-05,2.7154e-09,0,0,2.2833e-08,0,0,0,3.1121e-05,0,0,0.01187,0,0,9.315899999999998e-11,9.106900000000001e-07,0,0,6.7799e-09,0,0.25605,8.4396e-09,0.48152,1.0684,0.11095,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,7.568432724529108
5,3.9352e-05,0.26655,0,0,0.0056118,0,0,0,0.41297,0,0,0.55805,0,0,2.6887e-09,6.609e-08,0,0,0.053555,0,0.00042767,4.0721e-08,0.42046999999999995,0.7166600000000001,0.12611,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,3.5110474528197853
6,0.0016794,5.5575e-13,0,0,0.0033593000000000004,0,0,0,2.8595e-14,0,0,0.5094,0,0,0.27263000000000004,4.2349e-08,0,0,2.3029e-06,0,0.39188,0.0033945,0.9948100000000001,1.1462,0.001422,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,13.430361892495721
7,0.13665,0.62522,0,0,5.746500000000001e-07,0,0,0,0.86485,0,0,0.25872,0,0,0.19673,0.0070926,0,0,0.0055926000000000005,0,0.06659,0.019046,0.01146,0.43108,0.0023733,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,3.458022934158506
8,3.3623000000000004e-07,1.7795e-09,0,0,9.2621e-06,0,0,0,1.3739e-05,0,0,0.28457,0,0,0.0017136,1.2982e-06,0,0,6.8287e-09,0,0.0077399,0.00013438,1.0908,0.73831,0.0038705999999999996,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,6.154943189635334
9,2.8300000000000003e-07,5.7007e-06,0,0,3.1545e-05,0,0,0,0.13774,0,0,0.28865,0,0,0.1368,1.1039e-08,0,0,2.1572e-05,0,0.77788,3.2976999999999998e-06,0.60697,0.5242100000000001,0.20465,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,17.53153375736517
10,1.4101e-09,6.5415e-05,0,0,0.78296,0,0,0,2.0574e-06,0,0,0.0080176,0,0,0.015385,0.009027,0,0,0.25475,0,0.06877899999999999,1.1658e-08,0.82584,0.6454300000000001,1.0727999999999999e-07,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,5.369633042896876
11,2.7274e-06,0.1693,0,0,0.6661199999999999,0,0,0,5.3337e-10,0,0,0.29686,0,0,0.0048473,3.8714e-06,0,0,3.2911e-08,0,0.00055075,0.00050875,0.38719000000000003,0.073133,0.59028,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,6.114767341993483
12,0.018524000000000002,0.46881999999999996,0,0,0.65804,0,0,0,1.2331e-05,0,0,1.2096e-10,0,0,0.085659,1.3484000000000002e-10,0,0,0.00027459,0,8.3785e-09,0.0003866,1.078,0.64428,5.693200000000001e-06,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,6.174571861207571
13,3.2254e-07,0.0099456,0,0,0.50343,0,0,0,0.40309,0,0,0.30036999999999997,0,0,0.00032510000000000004,7.4588e-05,0,0,7.0047e-05,0,0.092737,4.4427e-07,0.40184000000000003,0.40686,0.060634,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,4.062127359140843
14,3.8064999999999996e-07,4.0082e-07,0,0,0.66003,0,0,0,0.00029758,0,0,0.27066,0,0,0.29359,1.8575e-13,0,0,0.008225399999999999,0,0.0083306,0.00027513,0.86375,0.29684,0.56639,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,10.510212475885425
15,0.68707,0.30476,0,0,1.2839e-05,0,0,0,0.18978,0,0,1.4112e-07,0,0,2.1598000000000002e-05,4.930300000000001e-07,0,0,0.18671,0,2.2543000000000004e-11,7.3464e-05,0.9371700000000001,1.0381,0.07091,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,5.692896817559751
16,0.00021847,2.4529e-08,0,0,0.5009,0,0,0,0.5579999999999999,0,0,0.33213000000000004,0,0,1.9953e-09,3.2483e-08,0,0,3.9793e-08,0,0.20931999999999998,0.0003759,0.9127299999999999,0.49956999999999996,0.23204,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,9.393805008705138
17,0.0035543,0.20665999999999998,0,0,0.13819,0,0,0,0.30403,0,0,0.47645,0,0,2.145e-07,1.6317e-09,0,0,0.0005346,0,0.49633,0.0004883,0.6566,0.43976000000000004,1.8865e-05,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,11.140669304581628
18,9.193299999999999e-13,1.4023e-07,0,0,1.9809e-05,0,0,0,0.40615999999999997,0,0,6.2153e-11,0,0,0.00044888,3.3739e-12,0,0,2.7746e-11,0,0.0005241000000000001,0.00025033,0.79773,0.99036,4.1396000000000005e-11,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,4.530237616026871
