,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,5.488099999999999e-06,3.665e-08,0,0,0.28986999999999996,0,0,0.043742,0,2.0619000000000003e-11,0,0,0.44233999999999996,0,0.30862,1.2450000000000002e-12,0,1.0609,5.8814e-11,0,0.00091994,1.5105e-08,0.53684,0.18020999999999998,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,35.69588188624151
1,0.071677,5.7496999999999995e-05,0,0,0.24405,0,0,2.3183e-05,0,0.43337,0,0,0.4273,0,0.00040426,2.6021e-12,0,0.93691,0.008831499999999999,0,0.00063765,2.5083e-06,0.068722,0.49706000000000006,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,32.442997101086455
2,0.30166,3.1081e-08,0,0,2.2732e-09,0,0,0.26668000000000003,0,3.5226999999999996e-07,0,0,0.60714,0,0.020527,3.6489e-08,0,1.0456,3.1966000000000004e-06,0,0.0066616,0.0025507,0.001485,0.70721,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,31.854415467915658
3,8.3211e-11,0.020858,0,0,0.1638,0,0,4.7516e-09,0,1.8963e-07,0,0,0.09923,0,0.00017969,1.8946999999999997e-11,0,0.9981899999999999,0.00023746,0,9.484700000000001e-07,2.0377000000000004e-10,0.15254,0.85795,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,32.656193476420036
4,0.19885,1.5113e-10,0,0,1.1456e-10,0,0,1.5286e-10,0,0.36505,0,0,0.22996999999999998,0,1.0463e-09,2.135e-05,0,0.6261899999999999,1.1231e-10,0,0.095499,4.9137e-10,0.00732,1.2136,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,33.481183100741994
5,0.008667900000000001,0.0066667,0,0,2.1611e-07,0,0,9.2234e-08,0,0.49232,0,0,0.08772200000000001,0,0.0077691,7.209199999999999e-10,0,0.76782,0.006722,0,9.9685e-06,5.8005e-10,0.02611,0.85229,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,32.66386517627236
6,5.3314e-12,0.74908,0,0,3.4957e-06,0,0,0.00041376,0,0.8568899999999999,0,0,0.53622,0,0.91138,2.2625e-12,0,0.85354,0.0053817,0,3.8326999999999996e-07,1.2608e-06,0.047618,0.31045,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,39.28225971304161
7,0.00036666,0.6272300000000001,0,0,0.087924,0,0,2.4631e-09,0,0.19380999999999998,0,0,5.584099999999999e-10,0,1.9218999999999998e-08,5.2807e-12,0,1.04,2.8064e-05,0,0.00012338,2.8924e-05,0.28176,0.55219,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,33.009557348716385
8,0.057947000000000005,0.00017445,0,0,0.2047,0,0,0.09389600000000001,0,0.21151999999999999,0,0,0.08825,0,0.22046999999999997,8.0935e-05,0,0.78564,2.2255e-09,0,0.00060264,0.00010713,0.58057,0.77776,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,35.301871736936626
9,1.0341,6.8957000000000005e-09,0,0,0.28899,0,0,0.11289,0,2.4665999999999997e-09,0,0,1.7637e-05,0,0.37704,3.0203e-08,0,0.59778,0.0019847000000000003,0,0.24272,0.00010869,0.10240999999999999,0.22314,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,37.29162124456407
10,0.0035368,0.007345100000000001,0,0,0.18819,0,0,0.023352,0,0.13435,0,0,0.20521999999999999,0,0.12598,5.343099999999999e-10,0,1.203,4.1217e-06,0,0.027449,1.2171e-05,0.0688,0.71391,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,33.34813723732294
11,0.00066583,0.25096999999999997,0,0,0.045032,0,0,0.7327,0,2.3677e-11,0,0,0.36205,0,2.494e-10,2.0388999999999998e-07,0,1.1176,1.082e-07,0,2.9919e-09,1.0525e-06,0.34456,0.5064,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,31.15278906471706
12,0.42987,0.010743,0,0,2.1154e-09,0,0,2.3309e-07,0,0.00084588,0,0,0.61805,0,1.585e-08,5.6487999999999996e-08,0,1.0338,9.487e-07,0,2.2748e-08,8.378399999999999e-08,0.35557,0.1523,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,33.26091049150591
13,0.19355,2.3708999999999997e-08,0,0,0.23406999999999997,0,0,0.30946999999999997,0,0.058011,0,0,0.27397,0,1.0914000000000001e-07,1.7309e-11,0,1.0586,8.4997e-10,0,0.021965000000000002,1.5032000000000001e-09,0.18752,1.0264,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,32.003916490624526
14,7.0162e-08,0.80643,0,0,6.8959e-08,0,0,0.78919,0,0.00011092,0,0,0.51618,0,0.20181,3.1329e-14,0,0.69204,0.055938999999999996,0,1.2162e-09,2.9843e-09,0.36059,0.017731,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,32.89427548925344
15,0.3485,0.13175,0,0,8.987799999999998e-07,0,0,0.047661,0,0.17224,0,0,0.21484,0,0.045818,9.5074e-11,0,0.87545,3.909e-05,0,0.00079359,2.3865e-05,0.29904000000000003,0.10085,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,33.45413360795985
16,4.3128e-07,7.628e-05,0,0,4.852700000000001e-07,0,0,0.021794,0,0.097602,0,0,0.19199000000000002,0,4.0664999999999996e-11,3.6336e-12,0,1.1476,5.116100000000001e-07,0,1.2154e-06,1.7835e-07,0.35214,0.68103,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,33.10094609228016
17,0.1471,0.39629000000000003,0,0,0.13656,0,0,0.00019054,0,8.2704e-06,0,0,3.2018e-08,0,0.017671,1.0815999999999999e-08,0,1.3483,3.0485e-05,0,0.20853000000000002,0.0020115,0.005485,0.70182,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,33.93873167340755
18,0.25363,0.0045121,0,0,0.019152000000000002,0,0,0.18056,0,0.00077185,0,0,0.041325,0,4.3156e-11,1.3933e-07,0,0.8434799999999999,1.8016e-08,0,5.736399999999999e-07,0.00017303,0.06041900000000001,0.78245,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,32.13911607441949
19,0.0032441,0.00027089,0,0,0.29646999999999996,0,0,0.008897799999999999,0,0.17965,0,0,0.41608999999999996,0,0.13366,3.2995e-05,0,0.76658,7.229199999999999e-05,0,4.7216e-09,0.00017964,0.1338,0.71181,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,33.672643442607914
20,1.1140999999999998e-07,1.1095e-08,0,0,0.00067267,0,0,0.46476999999999996,0,7.1699e-06,0,0,0.00041955,0,0.00037226,0.0042768,0,0.79268,0.00040061,0,0.013751,4.7557999999999995e-08,0.3737,0.64603,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,32.363795387573866
