,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,4.3276000000000004e-05,1.097e-08,0,0,0,0,0,0,4.2278000000000004e-05,0,0,0.79981,0,0,0.0039206,1.1570999999999999e-09,0.020714,0,0,0.26771,3.2651999999999997e-06,0.0007117000000000001,0.84357,0,0.017123,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,5.761459462511779
1,0.53191,2.104e-06,0,0,0,0,0,0,0.0012252,0,0,0.25908000000000003,0,0,0.20919000000000001,8.4607e-08,0.012743,0,0,0.27231,0.14648,0.001253,1.0765,0,0.065742,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,10.662934326711817
2,2.4832999999999998e-08,0.00057241,0,0,0,0,0,0,0.065597,0,0,2.2652e-08,0,0,0.16874,6.0665e-11,5.2846000000000005e-09,0,0,0.068385,0.0029111999999999996,0.019413999999999997,1.5592,0,0.34494,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,12.221305857369948
3,6.7224e-13,5.117e-05,0,0,0,0,0,0,0.009334899999999998,0,0,0.55703,0,0,1.5768e-07,1.0902999999999999e-05,0.32634,0,0,0.41783000000000003,0.0073735,9.520799999999999e-05,1.0061,0,1.5313e-07,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,6.3713743055843395
4,1.7056e-05,0.010361,0,0,0,0,0,0,0.63989,0,0,0.8609899999999999,0,0,2.5036e-14,8.8421e-12,2.1677e-07,0,0,0.00026946,0.22488000000000002,1.7103e-06,0.55728,0,0.23549,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,9.248365813074074
5,6.0579e-06,0.041547,0,0,0,0,0,0,0.12315,0,0,0.68085,0,0,4.859e-08,1.2825999999999999e-09,0.086187,0,0,5.0075e-09,2.3537e-07,4.8321e-07,1.1633,0,0.29459,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,8.679599941500733
6,4.4356e-08,7.1206e-13,0,0,0,0,0,0,1.0485,0,0,0.53882,0,0,6.9972e-08,1.6428999999999998e-10,0.00037430000000000005,0,0,0.78136,0.71373,0.58509,0.057679999999999995,0,0.37123,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,27.56059948263338
7,0.29632,0.00034842,0,0,0,0,0,0,0.52485,0,0,0.19485999999999998,0,0,0.1264,0.00040823,0.012548,0,0,0.70445,0.0005056,0.001335,0.9959399999999999,0,0.017901,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,7.297821803580938
8,1.9737000000000003e-07,2.726e-09,0,0,0,0,0,0,2.5929e-09,0,0,0.52115,0,0,5.6985e-07,5.0903e-09,3.2001e-06,0,0,0.0041075,0.0007535,2.3232e-07,1.5090000000000001,0,0.002054,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,8.098288408130937
9,2.0929e-10,0.004813899999999999,0,0,0,0,0,0,0.076642,0,0,0.38175,0,0,0.0010264,9.361e-09,0.0037199,0,0,1.4575e-07,0.56261,3.7404e-08,0.9975299999999999,0,0.29716,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,16.436461739517398
10,0.0038609,5.286e-05,0,0,0,0,0,0,5.4247e-06,0,0,0.18115,0,0,1.7685e-05,0.52464,0.80795,0,0,0.3429,0.0027147,0.0056072,0.78846,0,6.9491e-07,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,5.568837849254815
11,0.001486,2.8445e-05,0,0,0,0,0,0,0.0041666,0,0,0.15334,0,0,1.3997e-08,1.7489e-07,0.38503000000000004,0,0,0.00049183,0.33044,0.082575,0.8988200000000001,0,0.21431,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,13.752225850354382
12,0.73323,0.00024930000000000004,0,0,0,0,0,0,0.16080999999999998,0,0,1.9552999999999996e-09,0,0,0.0019855999999999997,3.5548e-12,1.3867000000000001e-08,0,0,0.059601,6.5222e-11,0.001425,0.8394799999999999,0,1.4255999999999997e-07,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,5.558543692876206
13,1.1056999999999998e-06,0.007365000000000001,0,0,0,0,0,0,0.79175,0,0,0.12393,0,0,0.010098000000000001,1.2114e-06,0.3022,0,0,7.8354e-05,0.1852,0.31216,0.61301,0,0.06630599999999999,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,14.170534076542857
14,0.5562,0.006312300000000001,0,0,0,0,0,0,0.2198,0,0,4.8507999999999993e-08,0,0,1.4505,6.3257e-12,1.4241,0,0,0.62228,1.1224,0.0034961,0.091307,0,0.019967,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,30.317638479815134
15,0.22195,0.24294000000000002,0,0,0,0,0,0,0.071687,0,0,0.00095908,0,0,0.33631,2.0019999999999997e-08,0.004428199999999999,0,0,0.45598999999999995,0.13724,0.0050912,0.9564299999999999,0,0.055162,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,11.045305508302713
16,0.25724,2.4114e-08,0,0,0,0,0,0,0.16937,0,0,0.31876,0,0,3.6924e-06,7.8091e-06,0.0054711000000000004,0,0,0.1841,0.45563000000000003,6.462999999999999e-08,1.1013,0,0.095446,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,13.938007596537744
17,0.18708,0.012739,0,0,0,0,0,0,0.25184,0,0,0.3173,0,0,2.4098e-09,3.5106e-11,0.093247,0,0,9.422799999999999e-07,0.0015340999999999998,1.5315000000000002e-08,1.1252,0,3.3716e-05,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,6.597807262703616
18,7.257899999999999e-10,5.7793000000000005e-09,0,0,0,0,0,0,0.0041846,0,0,1.8243e-09,0,0,5.384500000000001e-06,9.9352e-07,0.021763,0,0,0.43638999999999994,0.25135,6.4009e-07,1.4409,0,7.8964e-07,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,11.65417114550274
19,0.00036498,0.001493,0,0,0,0,0,0,1.1789999999999999e-07,0,0,0.72037,0,0,0.032941000000000005,2.2042e-10,1.7213e-05,0,0,0.77382,0.075206,1.7605999999999998e-07,0.84336,0,0.014580000000000001,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,7.184692366829594
20,1.2187e-06,0.10883,0,0,0,0,0,0,0.028595,0,0,0.6599,0,0,0.16378,0.027478,0.10339000000000001,0,0,4.6881e-08,0.27414,7.3327e-09,0.8978799999999999,0,0.0014268,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,11.025128680558733
21,0.32727,1.3373e-09,0,0,0,0,0,0,0.20246,0,0,0.22925,0,0,0.19072999999999998,0.0010359000000000002,0.055477,0,0,0.31198000000000004,0.0064493,1.115e-07,1.2515,0,6.4085e-10,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,8.635691026317481
22,1.0928e-08,0.19585,0,0,0,0,0,0,0.25353000000000003,0,0,0.25585,0,0,6.2883e-07,0.00047536,0.6119,0,0,0.019953,0.0059512,0.08913,0.86536,0,0.27266,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,9.291744060794823
23,0.12499,6.1034e-08,0,0,0,0,0,0,1.295e-12,0,0,3.8955e-10,0,0,6.7636e-08,9.406100000000001e-10,0.32224,0,0,0.35664,0.49713999999999997,1.7933e-08,1.1689,0,1.7666000000000001e-10,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,14.250276367855015
24,1.1564999999999999e-07,0.21275,0,0,0,0,0,0,0.36685999999999996,0,0,6.288999999999999e-06,0,0,5.1177999999999995e-06,6.519399999999999e-11,0.00023893,0,0,0.30428,0.0037298,7.097e-05,0.90505,0,0.40291,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,8.506948677672247
