,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.26081,8.8895e-10,0,0,0,0,0,0,9.621e-08,0,0.12072999999999999,0,0,2.2761999999999995e-11,0,4.0428e-12,0.40271999999999997,0,0,0.22061999999999998,7.6476e-09,4.9477e-08,1.3807,0,3.7028e-07,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,9.942305543511605
1,0.042855000000000004,2.1363999999999997e-10,0,0,0,0,0,0,3.7579e-09,0,1.7734e-05,0,0,0.071806,0,2.8777e-07,1.3019e-08,0,0,0.22266999999999998,0.024663,0.0005011999999999999,1.653,0,0.052877999999999994,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,12.410220592167281
2,2.1029e-08,0.0016213,0,0,0,0,0,0,0.071397,0,1.7747e-07,0,0,1.3921e-09,0,2.496e-11,3.2641e-09,0,0,0.050843,0.0009324,0.060953,1.608,0,0.41496000000000005,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,14.177030739170107
3,3.1375e-16,2.5304e-07,0,0,0,0,0,0,9.623799999999999e-08,0,0.00088601,0,0,2.1278000000000003e-13,0,9.7991e-05,0.9948899999999999,0,0,1.0354,0.22646999999999998,1.9518e-05,1.3818,0,1.1722e-06,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,13.512138846325936
4,0.00012683,0.015423,0,0,0,0,0,0,0.60206,0,0.0033408,0,0,6.2917e-12,0,1.1099e-06,0.30522,0,0,0.00012603,0.001355,2.1101999999999997e-07,0.94878,0,0.041901,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,8.503361603398293
5,0.25853000000000004,0.37619,0,0,0,0,0,0,0.3501,0,0.35051,0,0,0.003404,0,1.4214e-07,0.36246999999999996,0,0,1.9389e-09,0.0016432000000000003,0.00035573,0.7954899999999999,0,0.62403,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,11.853633142890173
6,1.2797e-06,1.9983e-11,0,0,0,0,0,0,0.54288,0,0.17787,0,0,0.40714,0,3.5294e-12,0.056977999999999994,0,0,0.13919,0.14628,1.8100999999999998e-05,1.0724,0,0.34675,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,17.373323956388255
7,0.039257,4.6707999999999997e-07,0,0,0,0,0,0,0.28574,0,0.29494000000000004,0,0,0.015165999999999999,0,1.2237e-05,0.00013153,0,0,0.6604800000000001,0.0019992,0.060604,1.1676,0,0.051979,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,10.449289448617145
8,5.5012e-07,1.4550000000000001e-08,0,0,0,0,0,0,0.17401,0,3.2112e-06,0,0,4.1385e-11,0,8.225e-11,2.9729e-08,0,0,0.00096781,0.0094657,1.162e-06,1.683,0,0.00028375,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,11.120363835892096
9,4.1748e-06,0.0015618000000000001,0,0,0,0,0,0,0.32944,0,0.0019419,0,0,0.20457999999999998,0,2.0155e-07,0.0005456,0,0,2.0243000000000003e-06,0.34634000000000004,7.0014e-05,1.0943,0,0.12226,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,16.849376944031434
