,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,2.1354000000000003e-05,6.6837e-07,6.1032e-05,0,0,0,0,0,0,0,0,0.43668999999999997,0,0,0,3.1621e-10,0,0.9796299999999999,0.00023082,0,0.00041391,1.1665e-05,0.33121,0,0.043779000000000005,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,30.215254536526054
1,0.74468,3.014e-08,1.5359e-05,0,0,0,0,0,0,0,0,0.0060886000000000004,0,0,0,7.5134e-08,0,1.1216,0.00050477,0,7.174300000000001e-05,1.0087e-05,0.48306000000000004,0,0.076103,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,30.98406744469764
2,6.1936e-08,4.3648e-05,0.043536,0,0,0,0,0,0,0,0,0.068365,0,0,0,6.2413e-11,0,1.2696,0.00010093,0,2.1754e-06,0.00024290000000000002,0.47891999999999996,0,0.26285,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,32.601932858386604
3,1.0312000000000001e-07,0.0035856,1.8444000000000002e-09,0,0,0,0,0,0,0,0,0.20090999999999998,0,0,0,4.0641000000000003e-11,0,0.98344,8.3422e-09,0,5.658e-05,1.0777000000000001e-09,0.72683,0,3.628e-05,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,31.675993770116833
4,0.007956,3.0075000000000002e-09,0.30266,0,0,0,0,0,0,0,0,0.17497000000000001,0,0,0,4.8627e-08,0,1.2464,0.00069824,0,2.4445e-07,1.3384e-07,0.60853,0,0.0014205,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,30.53850205842638
5,0.0081197,8.0782e-06,5.9239e-10,0,0,0,0,0,0,0,0,0.3884,0,0,0,8.5502e-13,0,0.96993,1.1822e-06,0,1.1157999999999999e-10,4.4136000000000006e-05,0.49626000000000003,0,0.40615999999999997,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,34.84156220554353
6,1.0475e-10,8.648899999999999e-08,7.3721e-08,0,0,0,0,0,0,0,0,0.38119000000000003,0,0,0,9.1291e-12,0,0.86434,6.8826e-09,0,2.2256e-05,2.5981e-06,0.61838,0,0.059658,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,32.034629126902914
7,2.2441e-06,0.31637,0.23818000000000003,0,0,0,0,0,0,0,0,0.24341,0,0,0,2.915e-09,0,1.2568,4.1568999999999995e-05,0,9.2883e-09,0.0009675,0.31454,0,0.18049,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,30.981592857038763
8,0.0033970999999999997,4.687300000000001e-10,8.5674e-06,0,0,0,0,0,0,0,0,0.60623,0,0,0,4.4116e-06,0,1.0459,2.9803000000000003e-07,0,2.6139e-05,3.0667e-09,0.772,0,0.14224,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,33.249529338137286
9,1.8182e-05,0.00068366,9.680399999999999e-05,0,0,0,0,0,0,0,0,0.39934000000000003,0,0,0,1.3085e-09,0,1.0668,2.1031e-09,0,0.43253,3.3072e-10,0.4969,0,0.32679,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,30.736292480645584
10,0.48695,0.011290000000000001,0.00018652,0,0,0,0,0,0,0,0,0.0021899999999999997,0,0,0,1.6534e-09,0,0.76695,1.7374e-05,0,0.0027818,4.4988999999999996e-07,0.79394,0,0.06984299999999999,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,33.18974176212026
11,0.00099151,0.0847,0.00937,0,0,0,0,0,0,0,0,0.19202,0,0,0,8.081e-10,0,1.0016,0.018869,0,0.0031696,5.8501999999999995e-09,0.29784,0,0.85587,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,38.496699326356875
