,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,6.477100000000001e-10,3.9851999999999996e-06,8.796e-12,0,0,0,0.21779,0,0,0,0,0,0.5091,0,0,9.5988e-13,0,1.1997,0,0,1.2072e-06,5.005600000000001e-10,0.55642,0.3105,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,36.785049927270954
1,0.07234600000000001,0.081451,4.6045e-08,0,0,0,0.23315999999999998,0,0,0,0,0,0.38339,0,0,8.700299999999999e-07,0,0.91227,0,0,0.00022098,1.1673e-05,0.018042,0.75426,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,34.38048388780387
2,0.30434,1.7235e-05,1.857e-08,0,0,0,0.042713,0,0,0,0,0,0.48656000000000005,0,0,1.5855e-07,0,1.0535,0,0,0.010924,0.00046935,0.010276,0.63061,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,34.35274153874233
3,4.1715000000000005e-07,3.0803e-08,7.159300000000001e-07,0,0,0,0.21156,0,0,0,0,0,0.40675,0,0,4.8496e-11,0,0.86334,0,0,0.00016556,3.6700000000000004e-09,0.06548999999999999,0.56857,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,34.67267914796014
4,0.053555,3.4854e-10,4.6986999999999996e-05,0,0,0,0.16097,0,0,0,0,0,0.019943000000000002,0,0,5.4993e-05,0,0.71837,0,0,0.00020365,6.4697e-09,0.1324,0.95086,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,35.16574162316882
5,0.10528,0.0012664999999999998,4.7252e-09,0,0,0,0.66911,0,0,0,0,0,0.28497,0,0,1.0543e-10,0,1.0812,0,0,3.6207999999999997e-07,9.9719e-10,0.00052603,0.79152,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,33.72385566970111
6,3.2190999999999998e-09,0.046286,6.5042e-10,0,0,0,0.6600699999999999,0,0,0,0,0,0.30929,0,0,1.9722999999999997e-11,0,1.3374,0,0,4.0534e-08,2.3454e-05,0.0026059,0.15697,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,33.53657983455925
7,0.015203,0.010881,0.00023057,0,0,0,0.21644000000000002,0,0,0,0,0,2.5196000000000003e-09,0,0,3.0989999999999995e-11,0,1.0271,0,0,0.045298000000000005,1.2670000000000001e-06,0.49446,0.76745,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,36.30351430323362
8,0.26022,0.0013153,0.00024073,0,0,0,0.42333000000000004,0,0,0,0,0,0.22105,0,0,0.0078023,0,1.2024,0,0,5.8136e-12,2.9649e-06,0.00038594,1.0494,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,33.8713091263599
9,0.38240999999999997,4.4241999999999996e-07,6.821899999999999e-05,0,0,0,0.036577,0,0,0,0,0,9.002600000000001e-05,0,0,7.6705e-08,0,1.1537,0,0,0.048716,2.556e-05,0.62975,0.63285,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,37.01593675549763
10,0.00075695,0.002612,0.0069578,0,0,0,0.34592,0,0,0,0,0,0.30773,0,0,6.2165e-08,0,0.96375,0,0,0.052951,0.00068117,0.067871,0.66447,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,34.10877020242573
11,2.6436999999999998e-05,0.068607,2.6306e-09,0,0,0,0.00026521,0,0,0,0,0,0.26841,0,0,7.962100000000001e-09,0,1.1912,0,0,4.2645e-09,8.2403e-08,1.0533,0.74251,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,39.42767503401489
