,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,2.4604e-10,0.10927,6.157199999999999e-08,0,0,0,0.53564,0,0,3.6398e-10,0,0,0,0,0,1.6232e-11,0.0034631,1.0342,0,0,2.0272e-08,2.7571e-09,0.6607,0,0.36275999999999997,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,24.209031681130487
1,0.48996000000000006,3.6353e-10,8.2532e-05,0,0,0,0.5201899999999999,0,0,0.013138,0,0,0,0,0,1.5064e-07,2.3674e-06,0.95247,0,0,1.7029e-08,1.754e-06,0.47506000000000004,0,0.18465,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,22.23889284555193
2,7.806300000000001e-07,0.0003775,0.051309,0,0,0,3.5974e-05,0,0,5.6699e-06,0,0,0,0,0,1.1299e-13,2.9139e-05,1.2708,0,0,2.4216e-06,0.00020397,0.3862,0,0.29443,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,22.744666179506197
3,1.2185e-07,0.083209,7.1127e-10,0,0,0,0.61436,0,0,3.3942e-05,0,0,0,0,0,1.4013e-12,0.039942,0.9616299999999999,0,0,5.9127e-07,4.0355e-12,0.5249699999999999,0,0.3037,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,23.4642431041305
4,0.009148,2.333e-08,0.013919999999999998,0,0,0,0.27074000000000004,0,0,0.077064,0,0,0,0,0,1.5149e-06,0.10116,1.1639,0,0,2.1482e-07,1.9647e-08,0.6912699999999999,0,0.00025972,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,20.332388560292465
5,0.09660099999999999,4.6702e-06,2.9238e-11,0,0,0,0.31162,0,0,0.04106,0,0,0,0,0,2.2352e-12,0.008232600000000001,1.1333,0,0,1.8038e-11,3.7995999999999996e-06,0.5389,0,0.41698,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,24.448251636560716
6,1.1244000000000002e-09,0.00049651,7.329299999999999e-08,0,0,0,0.15884,0,0,0.0010632,0,0,0,0,0,2.5718999999999997e-10,0.05814,1.107,0,0,3.049e-05,2.8866999999999997e-05,0.50978,0,0.10878,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,21.394571185580293
7,3.8592e-05,0.87976,0.029633,0,0,0,0.32038,0,0,0.41503,0,0,0,0,0,4.0182e-13,6.6327e-09,0.5875600000000001,0,0,1.9098e-10,0.72302,0.0081294,0,0.09171900000000001,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,36.39777455664503
8,0.21871999999999997,1.7272e-05,2.1035e-07,0,0,0,0.51531,0,0,0.0015757999999999998,0,0,0,0,0,2.5543000000000003e-05,3.2875e-07,1.5065,0,0,1.8878e-10,3.1109999999999997e-09,0.5777399999999999,0,0.40281,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,23.012229475384448
9,0.74536,0.00087762,0.20318,0,0,0,0.00067354,0,0,2.2364e-07,0,0,0,0,0,1.0447999999999999e-05,3.213e-06,1.0975,0,0,0.17915,1.8715e-10,0.050311,0,0.70407,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,26.50538003499355
10,0.20252,0.0023631,2.8941999999999995e-07,0,0,0,0.56077,0,0,0.0019544000000000002,0,0,0,0,0,1.0811e-08,5.8323e-07,0.82776,0,0,0.014294,1.3757e-07,0.56161,0,0.00060646,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,20.80012804838016
11,0.0055045,0.067095,2.2055000000000003e-06,0,0,0,4.3568e-06,0,0,1.4341e-11,0,0,0,0,0,3.1866999999999996e-11,0.00013585,1.1646,0,0,0.00042999,1.2634e-10,0.64771,0,0.5723,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,26.50836016153194
12,0.60845,1.0843e-09,0.31936,0,0,0,0.00064416,0,0,0.0047192,0,0,0,0,0,1.6354e-11,0.00018112,0.8989,0,0,1.0068e-11,1.6387e-05,0.68228,0,1.7688e-05,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,21.407279460647377
13,1.5267,2.1059e-09,7.588199999999999e-09,0,0,0,0.36386,0,0,9.786e-07,0,0,0,0,0,8.2807e-10,1.5471e-10,0.8488399999999999,0,0,8.1688e-06,6.7051e-11,0.057178999999999994,0,1.3224e-08,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,19.942369225817654
14,1.4980000000000002e-10,1.8301e-07,8.6641e-05,0,0,0,0.28834,0,0,0.3835,0,0,0,0,0,2.3642e-07,0.055146,1.1001,0,0,6.0272e-07,1.4274e-09,0.5896600000000001,0,0.00043308,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,20.310904995108636
15,0.040687,0.10572000000000001,2.8089e-05,0,0,0,0.2686,0,0,0.33604,0,0,0,0,0,1.0432e-09,0.041624,1.1438,0,0,0.0024739000000000002,2.4946000000000002e-06,0.47143999999999997,0,0.071144,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,20.6927411794994
16,0.6754399999999999,0.030257,0.0046046,0,0,0,0.58701,0,0,0.14045,0,0,0,0,0,6.8986000000000005e-15,0.091475,0.9523299999999999,0,0,0.005314899999999999,2.854e-09,2.4093e-06,0,7.125e-11,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,19.27035166885419
17,0.66964,2.101e-07,0.4293,0,0,0,0.065364,0,0,0.045894,0,0,0,0,0,5.2034e-12,0.00011135,1.2994,0,0,0.00020191,1.0662000000000001e-07,0.13237000000000002,0,3.4964e-05,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,18.98972608490844
18,0.040365,0.069634,0.00037296,0,0,0,0.62873,0,0,2.3366e-08,0,0,0,0,0,3.2152e-12,1.8515999999999997e-07,0.99129,0,0,0.0041784,7.230700000000001e-10,0.34885,0,1.1453e-06,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,19.81115740366704
19,0.38285,8.593099999999999e-07,6.230000000000001e-08,0,0,0,0.67082,0,0,0.12719,0,0,0,0,0,3.5639e-12,2.1914e-10,1.0739,0,0,5.0065e-07,1.8172000000000002e-07,0.47561000000000003,0,0.071767,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,20.52808470896255
20,0.002482,0.0048016000000000005,0.011392,0,0,0,0.32202,0,0,0.00070235,0,0,0,0,0,5.0818999999999996e-06,1.4335e-06,0.97477,0,0,0.00014724,3.3762e-10,0.7912399999999999,0,0.00046892,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,21.072631735248784
21,0.77962,6.4222e-05,5.6907e-09,0,0,0,0.16554000000000002,0,0,3.9896e-06,0,0,0,0,0,1.2984e-08,3.2838e-05,0.99346,0,0,4.2847e-10,2.0765e-07,0.48098,0,0.1187,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,21.786842228998804
22,0.29807,0.020812,0.00036298,0,0,0,0.37088000000000004,0,0,0.089058,0,0,0,0,0,0.016575,0.00072014,1.3913,0,0,5.9612e-05,2.2304e-08,0.22943000000000002,0,0.0566,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,19.18624117840382
23,0.36201,0.0059654,0.10695999999999999,0,0,0,0.22403,0,0,1.5489e-11,0,0,0,0,0,0.00076938,6.5861e-07,1.0865,0,0,0.4881,0.0026265,0.11515,0,0.029358,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,18.751726054879946
24,0.14505,0.0017404,3.3018999999999997e-07,0,0,0,0.47897,0,0,0.0076628,0,0,0,0,0,9.189100000000001e-07,0.057113,1.3073,0,0,7.7549e-07,8.1655e-08,0.050156,0,0.07848200000000001,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,19.208607152287097
25,0.51213,1.47e-05,3.6191000000000004e-07,0,0,0,0.11659000000000001,0,0,0.00012538,0,0,0,0,0,5.3661999999999995e-05,1.1873e-13,1.1004,0,0,1.3209e-10,2.3654000000000002e-11,0.50239,0,0.00018617,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,20.303812550827306
26,0.43522,1.1743e-05,4.7703999999999996e-05,0,0,0,0.14371,0,0,0.00050002,0,0,0,0,0,0.01832,4.7418e-11,1.2121,0,0,0.11829,4.2097e-05,0.57708,0,0.00062822,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,19.825654748539392
27,2.9569e-09,0.0051273,0.0038098,0,0,0,0.72463,0,0,5.4578999999999994e-05,0,0,0,0,0,5.8028e-10,0.46902,0.5158699999999999,0,0,0.0054231999999999995,5.9729e-07,5.9352e-05,0,0.78673,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,28.737057834243657
28,0.21535,0.0032329999999999998,1.0042e-07,0,0,0,0.27023,0,0,7.380299999999999e-07,0,0,0,0,0,3.9765e-12,3.3448e-08,1.1857,0,0,6.7489e-08,2.537e-07,0.47498,0,0.24348000000000003,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,22.379480589786404
29,0.12900999999999999,0.0035153,0.00044724,0,0,0,0.39615,0,0,5.247899999999999e-06,0,0,0,0,0,1.5757000000000002e-05,0.10879000000000001,0.9469700000000001,0,0,2.4752e-07,0.051637999999999996,0.24923,0,0.36837,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,24.904155263873687
30,0.5998399999999999,0.022446,0.16243,0,0,0,0.70429,0,0,0.007563200000000001,0,0,0,0,0,9.7061e-13,2.6534000000000003e-11,1.2449,0,0,0.32855,3.5460000000000004e-09,0.16675,0,3.6570999999999996e-07,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,17.86986338623521
31,0.0025334,8.1249e-06,4.598e-05,0,0,0,0.40221999999999997,0,0,0.040701999999999995,0,0,0,0,0,1.2859000000000002e-11,0.023469,1.2297,0,0,2.0616999999999997e-07,5.518300000000001e-09,0.66683,0,0.31681,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,23.264720077604036
