,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,1.9673e-05,3.1348e-05,5.0178e-06,0.35662,0.1691,0.52813,0.030115,0,1.878e-05,3.1801999999999996e-06,1.4495e-05,0.35608,0.076289,0.011685,0.0022319,8.9806e-13,0.00032683,1.0841,2.8411e-13,0.0039375,1.4382e-05,1.3915999999999998e-09,0.15648,0.33513000000000004,2.4055999999999998e-05,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26.72475838203701
1,0.0021803,1.2228e-07,1.3533e-09,0.2934,0.035368000000000004,0.045931,0.0066277,0,3.0445e-10,0.073088,0.19555999999999998,0.22844,0.20057,0.18749000000000002,1.0077e-05,2.9319e-10,1.0389000000000002e-11,0.8998799999999999,3.1695e-07,0.068037,0.00014415,4.2036999999999997e-10,0.07081599999999999,0.42663,0.10991,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.63313688571969
2,0.00030692,1.2151e-05,1.0743e-06,0.22708000000000003,8.4204e-08,0.066107,9.4343e-12,0,0.05436900000000001,4.7956e-12,2.0615999999999997e-08,0.06750199999999999,0.040652999999999995,3.2382e-08,0.12037,8.6198e-16,1.2054e-12,0.9512799999999999,5.2212e-07,0.13018,4.3437000000000004e-06,8.6811e-10,0.27898,0.68926,0.011994,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.438504668528175
3,1.5660999999999998e-37,0.17595,0.00026885,0.82245,0.0023791999999999997,0.38921,0.003268,0,0.36163,6.5699e-07,0.30448000000000003,0.034691,0.037011,0.032757999999999995,0.26061,1.2595e-15,0.00073975,1.1282,2.3905000000000002e-06,0.13194,3.2139999999999996e-06,1.0189e-14,0.075278,0.3433,0.06130700000000001,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28.920148745443406
4,0.44747,3.5336e-11,5.4108000000000004e-08,0.16643,0.0012907,0.011249,0.069232,0,0.00056581,0.10047,0.025711,5.1929e-06,0.01099,8.1037e-05,4.1233e-10,1.9243e-06,0.12652,0.8528899999999999,9.738e-13,8.4504e-05,8.6594e-08,1.9438999999999997e-14,0.26024,0.9814299999999999,2.3405999999999998e-08,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29.664520955137604
5,0.19377,0.00017836,1.2423e-11,0.33514,4.0206e-10,0.06722,0.6077199999999999,0,0.0067407,0.36828,2.8043000000000003e-07,0.0050938,0.17832,3.9520000000000004e-07,4.6529e-08,4.1296e-12,0.23248000000000002,0.98874,8.359899999999999e-07,0.18566,1.89e-05,2.2853e-16,0.00083025,0.60975,0.07486,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.484837489546205
6,8.236799999999999e-06,4.5011e-10,8.816799999999999e-05,0.23508,0.13205,0.9939899999999999,0.71805,0,4.8331e-08,1.0365999999999999e-05,8.2792e-07,0.36102,6.0276e-07,0.053478,0.22049000000000002,3.5767e-13,6.0721e-07,0.48091999999999996,1.6936e-08,0.5468,0.084128,0.26768000000000003,1.1139000000000001e-07,0.61058,2.0096e-06,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38.664774614057954
7,0.70045,0.07065700000000001,-5.039600000000001e-49,1.1721e-09,0.014294,1.5463,0.2479,0,3.5454,1.6211e-13,7.9057e-08,0.044308999999999994,3.8e-27,2.1806999999999997e-09,0.026011000000000003,1.5576,0.12954000000000002,0.43562,0.00029413,0.6186,1.9826,2.6164e-34,4.5595000000000004e-17,0.18431,4.9124999999999995e-29,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.218195801525066
8,0.0071224999999999995,0.0041368,0.0015998,0.47017,0.25328,0.081968,0.063177,0,1.9077e-08,0.08339099999999999,0.5565100000000001,0.19804000000000002,0.016981,3.4665e-11,0.049006,5.8399999999999997e-05,2.2319e-09,0.72417,8.7249e-12,0.012842,3.5399e-11,6.2123e-10,0.18359,0.8225399999999999,7.4888e-05,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28.812943961782654
9,0.055919,6.890600000000001e-07,0.00047764,0.18137999999999999,8.049199999999999e-09,0.19353,0.019466999999999998,0,0.15367,3.4987e-13,0.0005635,0.29581999999999997,0.00073772,2.5188e-09,0.030122000000000003,3.4805e-08,2.6356e-08,0.94204,5.6540999999999997e-08,3.5378999999999996e-11,0.55776,1.4187000000000002e-11,1.3524000000000001e-05,0.34819,0.53296,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33.34294319894798
