,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00052709,0.093111,0.24770999999999999,1.2339000000000002e-05,0.7430899999999999,0.26556,0.00078552,0.41526,2.7142e-06,0.0095973,4.294e-05,0.42712,0.068776,0.045247,3.2815e-05,0,4.1538e-06,1.0978,1.1122e-11,0.029695,0.012752,6.1678e-09,0.07421900000000001,0.41376,6.287200000000001e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,28.528648522249455
1,0.0022194000000000003,1.2984000000000003e-07,2.4668000000000002e-09,0.29395,0.035599,0.045748000000000004,0.0066033,1.5984e-06,1.0321e-09,0.07398099999999999,0.19324000000000002,0.22893000000000002,0.2008,0.18827,1.0348e-05,0,2.9419e-10,0.90043,3.2927e-07,0.06766699999999999,0.00014887,9.684500000000001e-10,0.069565,0.42646000000000006,0.11012000000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,32.99000540485176
2,0.00029504,1.2304000000000001e-05,1.0398e-06,0.22521,1.5630000000000002e-07,0.067085,1.3605e-11,0.0007932000000000001,0.055323000000000004,6.1782e-12,2.9378999999999998e-08,0.067638,0.042496,3.2277e-08,0.12122999999999999,0,1.8328e-12,0.9513299999999999,5.321000000000001e-07,0.12919,4.4095e-06,9.4602e-10,0.27888,0.68824,0.012245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,31.044958070325592
3,2.9872e-07,0.17276,0.00027215,0.8196899999999999,0.002363,0.38986,0.0032586,1.3777e-10,0.36136,6.797e-07,0.30422,0.035068,0.03687,0.032599,0.25923,0,0.00074026,1.1276,2.4025e-06,0.1306,3.3033999999999996e-06,6.2089e-11,0.07463600000000001,0.34288,0.061447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,27.37823826769261
4,0.44469,4.107199999999999e-11,5.4242e-08,0.1666,0.0013196,0.011264,0.069486,2.3428e-11,0.00055015,0.10109,0.025352,5.144299999999999e-06,0.011154,8.136e-05,4.5167e-10,0,0.12557000000000001,0.8511299999999999,1.1991e-12,8.541600000000001e-05,8.6562e-08,3.0757e-14,0.25895999999999997,0.9816299999999999,2.3847000000000002e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,30.17267694454443
5,0.19382,0.00017871,7.8458e-11,0.33554,1.6043e-09,0.06722,0.60715,1.2613e-05,0.0066581999999999995,0.36862,2.9159000000000003e-07,0.0050113,0.17793,4.0150999999999995e-07,4.8083e-08,0,0.23298000000000002,0.98818,8.4979e-07,0.18563,1.8697e-05,3.6484e-09,0.00083425,0.60952,0.07585,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,31.044167784682614
6,9.5909e-06,2.9908e-11,6.417e-05,0.28160999999999997,0.21065,0.80497,0.76947,0.045305,5.918799999999999e-10,1.7744e-06,1.3932e-07,0.40845,2.9044e-07,0.17609,0.020590999999999998,0,2.9598000000000003e-07,0.57899,1.8691e-09,0.57619,0.099696,0.16871,2.0329000000000003e-08,0.62338,1.0770999999999999e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,37.766863380335536
7,0.97731,0.24391,7.6596e-28,0.8505,0.40334000000000003,0.43536,0.42554,0.39871,1.5847e-06,2.3636e-14,6.4251e-08,0.086897,3.1453999999999997e-24,0.50822,0.1195,0,0.18213,0.9417700000000001,8.9517e-09,0.64404,6.5489e-09,3.5879e-28,1.2295e-11,0.42431,1.0354000000000002e-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,36.2674703691131
8,0.063221,0.016722,0.00098659,0.18434,0.26332,0.0050069,0.046514,0.47915,1.0844e-06,0.10542,0.39605,0.014979,0.1272,7.055500000000001e-11,0.019165,0,1.5709e-10,0.73317,1.2750999999999999e-09,0.0028396000000000003,9.85e-10,2.6976e-08,0.19314,0.7114699999999999,6.4902e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,29.04728699654131
9,0.048922,1.0390999999999999e-09,2.6964e-05,0.17839000000000002,2.8706999999999997e-08,0.25049,0.3395,0.51947,0.00010524,1.2148e-12,6.9054e-08,0.060536,5.4062e-05,1.9327e-12,0.20526999999999998,0,7.6084e-10,1.0499,3.3086e-06,5.4295e-12,0.13831,1.5786e-12,1.7623e-07,0.51041,0.75371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,34.56490968491426
10,0.0048974,0.01026,0.0041238,0.0048875,0.08717899999999999,0.14502,0.38894,0.085608,5.480399999999999e-06,0.063483,1.4743e-09,0.22021,0.10522000000000001,0.0060845,0.0091948,0,1.8789999999999998e-07,0.9761700000000001,3.2221e-09,0.0011597,0.015227000000000001,3.3046e-07,0.17326,0.44603000000000004,5.0747e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,29.654424748804477
11,0.0068368,0.00034632,3.0045e-08,0.28649,0.27559,0.013658000000000002,0.10232999999999999,0.51202,7.8424e-12,4.3278e-08,0.00076426,0.14502,0.46466,3.4491e-05,6.709000000000001e-09,0,0.013946,0.8719100000000001,1.6712000000000001e-10,2.5909e-07,2.9703000000000003e-05,2.6506000000000003e-09,0.004993600000000001,0.20032,0.28485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,30.664015935759092
12,0.54981,3.3871000000000005e-07,0.39353,0.21916999999999998,5.3160999999999996e-11,0.0378,1.7604e-06,1.9936e-07,0.018065,0.11350999999999999,0.00013765,7.9973e-09,0.16302,1.5235e-10,3.2291e-05,0,6.4557e-12,0.88839,1.5365e-06,3.606e-05,2.4689e-11,4.1492000000000005e-08,0.044486000000000005,0.38395,0.28159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,32.48857159002815
13,0.026563,1.4355999999999999e-09,0.13221,0.54975,0.3314,0.27033,0.00011893,0.00089159,0.15195999999999998,4.0336999999999994e-07,0.00052614,0.23704,0.18075,0.00038267,2.5818e-11,0,7.6654e-05,0.73096,4.0052e-07,0.10615,0.11379,7.2523e-12,8.512899999999999e-07,1.1395,0.000128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,28.631528498867368
14,4.6902e-10,0.06315,0.0065113,0.33452,4.6430999999999994e-08,0.06445,0.045194,0.0063876,9.7195e-05,0.00099117,5.7371000000000003e-05,0.10701,0.032744999999999996,9.571e-05,0.38788,0,2.4673000000000002e-05,0.77273,0.0029819000000000004,1.0845000000000001e-07,3.4075000000000003e-07,1.4297e-05,0.48566000000000004,0.57038,0.305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,32.9353865584959
15,0.40776,0.079307,0.0050103000000000005,0.28511,1.3527000000000001e-10,4.3933e-05,0.51575,0.00065223,0.041839,0.011732,3.6186e-08,0.10468,0.00082349,1.4845e-06,0.008059,0,1.1777e-06,1.3838,0.00034339,0.070467,0.1377,2.1396999999999999e-10,0.209,1.6879000000000002e-07,0.25117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,30.523634030652655
