,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.069885,0.006848699999999999,0.020221,0.00028884,0.62431,0.31456999999999996,7.4154e-05,0.35584,2.0979e-06,2.3451e-05,0.040677,0.30189,0.15523,0.08973500000000001,8.2872e-05,1.0571000000000001e-11,4.3613000000000004e-05,0.8156800000000001,2.4455e-15,0.16709000000000002,0.019449,4.926e-09,0.07294099999999999,0,5.5652999999999995e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,32.36230857267992
1,0.0016405999999999999,8.1887e-11,1.535e-06,0.20142000000000002,2.1046999999999997e-05,0.0052559,0.0047653,0.0058566,6.3775e-10,0.0013664000000000003,0.063679,0.35256,0.22451999999999997,0.20639000000000002,2.8713e-05,5.4574e-16,1.709e-07,0.97785,6.4669e-08,0.04239,7.8255e-06,1.1658999999999999e-08,0.28808,0,0.18964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,34.93718986651201
2,1.1193999999999999e-10,0.002339,0.18365,0.0095955,0.21051,0.3439,-1.2182000000000002e-23,7.375599999999999e-10,2.3979000000000002e-05,2.9572e-14,0.00014624,0.32627,0.22393000000000002,1.9338e-17,0.55499,4.686600000000001e-22,1.34e-11,0.9613799999999999,8.231600000000001e-08,0.23083,1.533e-09,4.4742e-15,0.55694,0,0.020632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,37.54457070376942
3,6.3858e-26,0.0032321999999999997,6.1126e-07,0.23601999999999998,0.19042,0.14444,0.057432000000000004,2.2144999999999997e-10,0.08984400000000001,5.0222e-06,0.0037453000000000005,0.27605,0.23214,0.0047893,0.00011191,5.0107e-16,0.0015012,1.0852,6.063e-07,0.02855,1.971e-06,1.6339e-10,0.15616,0,0.37206999999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,33.41964715692303
4,0.2989,0.10987000000000001,2.4477e-08,0.043275,0.24111999999999997,0.0093984,0.41713,8.260999999999999e-09,2.8016000000000004e-06,0.10565,0.00013876,0.0028838,0.5734100000000001,9.5448e-05,9.1584e-05,6.999899999999999e-07,0.00082251,1.2506,0.00016574,0.2422,1.0252000000000001e-07,0.00012172,0.15957000000000002,0,6.873899999999999e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,32.19619059941821
5,0.13947,6.1305e-07,1.5852999999999998e-16,0.25811,6.0828999999999996e-05,0.32269000000000003,0.20254,4.4675e-06,0.02565,0.19138,2.5391e-07,0.057351,0.26785,1.0135e-07,4.3913e-06,1.1239e-12,2.8510000000000003e-06,1.2229999999999999,7.5428e-07,0.0042048,1.2331000000000001e-08,7.4509e-08,0.10834,0,0.30601999999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,31.294883161311603
6,1.4169e-10,3.9559e-05,0.1012,0.27757,0.36575,0.043205,0.0025919,0.00039077,0.26429,1.0917e-07,6.975399999999999e-15,0.094746,0.035555,0.08339099999999999,4.5144e-06,0.0017699999999999999,0.24736,1.1422,1.0844e-09,0.29914,0.036857,0.00051822,0.00056737,0,0.11024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,34.097107342672835
7,0.12455,0.00032896,1.5490000000000002e-08,0.16303,0.0017367,0.06402100000000001,0.49791,7.620399999999999e-07,0.1575,0.073128,0.0028484,0.3628,4.681e-13,0.30427,5.0088e-09,5.5093e-17,0.0014199000000000002,0.89381,3.4735e-05,0.48006000000000004,9.1614e-10,5.7155e-10,0.41473999999999994,0,0.0083943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,38.97395251093093
8,0.11424000000000001,0.0018844,0.0039787,0.73351,0.0087221,0.23908000000000001,2.8953000000000002e-05,0.17884,8.849500000000001e-08,0.02424,0.12359,0.65336,0.0049036,3.5861e-14,1.3585e-06,3.9249e-09,6.039e-10,0.53608,5.3768e-07,0.090724,1.4762e-11,1.0135e-13,0.34559,0,3.9816e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,29.378819163224478
9,0.014459999999999999,1.0858e-06,0.012822,0.27084,3.4465999999999997e-09,0.11648,0.087924,0.39946,0.00026301,6.4389e-11,5.5311e-06,0.14800000000000002,0.00090949,1.0052e-09,0.0034731000000000002,7.0825e-08,2.6891e-07,1.0883,5.0946e-09,-3.5479e-13,0.3453,1.3056999999999999e-14,1.0175e-06,0,0.579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,33.236553760296275
