,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00051236,0.09311599999999999,0.24736999999999998,1.3568e-05,0.74441,0.26858000000000004,0.00082416,0.41695,2.6199e-06,0.0082128,4.0744e-05,0.42153,0.068352,0.048339,3.5786e-05,9.2572e-14,4.437e-06,1.0928,9.4676e-12,0.030744999999999998,0.015198,6.4422999999999996e-09,0.07362,0.40645,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,33.49512902326748
1,0.0037305999999999997,3.0116e-08,2.3752e-09,0.33005,0.085853,0.092076,0.007766899999999999,4.9584e-06,1.4679e-09,0.088339,0.061863,0.26711,0.18782000000000001,0.21214,3.1587e-06,8.130199999999998e-11,3.3848000000000006e-10,0.9668200000000001,1.5366e-08,0.11982000000000001,0.00056201,4.662200000000001e-10,0.009864200000000002,0.47021,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,36.80856688241101
2,0.00015522,1.044e-05,3.8873e-06,0.13267,1.5039e-07,0.05247,8.412799999999999e-13,2.3654e-05,0.069787,9.7915e-13,3.21e-08,0.053637,0.006536399999999999,4.8801e-09,0.1528,2.9502e-16,4.0943e-13,0.96445,1.6476e-07,0.14758,1.0339e-06,2.1969000000000004e-11,0.33639,0.70225,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,37.47932045492779
3,5.9002e-08,0.05125,0.00032221,0.73431,0.0015728,0.41656000000000004,0.0015504000000000002,9.494299999999998e-11,0.32365,4.9805e-07,0.25066,0.08878899999999999,0.025875,0.035983,0.11755,6.2937e-14,0.0013595,1.1818,4.2679e-06,0.11109000000000001,1.515e-05,3.8237e-12,0.045357,0.30912,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32.57731921027636
4,0.42616000000000004,6.0724e-11,5.2108999999999994e-08,0.17184000000000002,0.0015988,0.011341,0.070518,3.833e-11,0.00038645,0.1099,0.022506,6.089500000000001e-06,0.011672,7.559899999999999e-05,5.837699999999999e-10,2.2288e-06,0.11982000000000001,0.83549,1.2919999999999997e-12,0.00010431,8.976699999999999e-08,3.8429000000000003e-14,0.24763000000000002,0.9829100000000001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,34.73074098817098
5,0.20789000000000002,0.00021229,6.3024e-11,0.33702,1.4677000000000002e-09,0.05008,0.65481,8.9211e-06,0.0050338,0.37528,2.1059e-07,0.0028194,0.20944000000000002,2.3056999999999998e-07,3.1572e-08,1.2632999999999999e-11,0.21825,0.99655,6.301100000000001e-07,0.22579000000000002,1.3368e-05,2.6032e-09,0.00071304,0.6316,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,35.21860752604421
6,8.2307e-06,3.3857e-11,5.4068999999999993e-05,0.2845,0.21406999999999998,0.81347,0.78301,0.044396,5.0953e-10,1.8016999999999998e-06,1.1255999999999998e-07,0.40898,2.3247e-07,0.1732,0.022243000000000002,2.8499e-12,3.2931999999999993e-07,0.57636,1.9522e-09,0.58301,0.08926100000000001,0.17497000000000001,1.8343e-08,0.6278,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,41.94001341833999
7,0.9556,0.23819,1.1750999999999997e-25,0.84988,0.39494,0.444,0.40533,0.39663000000000004,3.5763999999999998e-06,3.2958e-14,4.9840999999999996e-08,0.060860000000000004,8.0949e-24,0.47256000000000004,0.11337,0.0074803,0.13508,0.94625,9.6507e-09,0.63075,2.0466000000000003e-08,2.5021e-25,2.0108e-11,0.42343000000000003,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,41.12504488697757
8,0.062466999999999995,0.016037,0.00097364,0.18622,0.26575,0.004970399999999999,0.047289,0.48094,9.8812e-07,0.099194,0.4027,0.015957,0.12508,6.2435e-11,0.019416,8.8626e-07,1.7524e-10,0.73488,1.2513e-09,0.0030601999999999995,9.854500000000001e-10,2.4142000000000002e-08,0.18908,0.71436,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,33.574141915748925
9,0.47878000000000004,4.8309999999999996e-09,4.2333e-08,0.47193,0.016878999999999998,0.30525,0.01113,0.1975,2.473e-07,1.8403e-15,3.1337e-06,4.6615e-05,0.036409,4.2154999999999996e-10,0.0071601,2.5745e-08,2.4060000000000002e-08,1.24,0.16763,0.21904,0.0018869,1.3681999999999999e-09,2.3949e-06,0.58425,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,33.47797493080264
