,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,1.4046e-12,0.22571,0.86872,7.7081e-05,1.4476,1.0495e-08,0.12399,1.3114,0.18076,0.8819899999999999,4.293e-15,0.8871899999999999,1.4622e-17,0.49578,0.50961,9.1879e-25,1.207e-05,1.1671,1.1752e-19,1.1612999999999999e-11,7.829e-08,3.8389e-21,0,0.9484600000000001,1.3894000000000001e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,33.60162491554548
1,0.0010478,1.8585e-05,1.0504e-08,0.24043,0.032795,0.025726,0.031025999999999998,1.2653e-06,6.2429000000000004e-09,0.065475,0.36658,0.10369,0.20368,0.21213,1.8554000000000002e-05,4.5667e-08,3.4897e-09,0.84619,9.659299999999999e-05,0.085493,0.00033327,1.8603e-09,0,0.44897,0.14420999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,33.19126986378449
2,0.0040533,1.8383e-05,1.3203e-07,0.0031064,5.945399999999999e-07,0.035819,1.9877e-12,0.00011993,0.29198,5.629100000000001e-11,7.9991e-06,0.29568,0.00011078,0.17017000000000002,0.24994,1.3486000000000002e-14,1.764e-10,0.87421,2.9769e-06,0.21181,2.8211999999999997e-05,9.0303e-11,0,0.65317,0.019355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,35.61216196191718
3,1.5327e-09,0.2441,0.00055301,0.9784,5.4899e-05,0.39878,0.067024,3.2612e-13,0.47958999999999996,1.4317e-07,0.16116,0.25224,0.0016638999999999998,0.1887,0.45924,1.0845e-13,0.00014247,1.1934,2.5674e-06,0.19230999999999998,6.1966e-07,2.7207e-12,0,0.37144,0.040147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,31.85717293867914
4,0.013568,0.19862,1.579e-08,0.2408,0.41097,4.2587e-05,0.40528000000000003,2.1406999999999997e-11,9.0317e-08,0.0081321,0.096136,0.043128,0.409,0.14005,0.0025055999999999998,2.135e-06,0.0056872,1.0862,3.1833e-09,0.0039875,1.4755000000000003e-14,2.0593000000000004e-07,0,0.043446,3.2016999999999995e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,28.806444661092247
5,0.21403000000000003,0.00021719999999999997,4.9888e-10,0.34875,8.8364e-09,0.035747,0.63642,7.85e-05,0.027766000000000002,0.37022,2.6732e-06,0.0039512,0.1815,1.3863999999999998e-06,1.4e-07,7.7932e-11,0.24443,0.98524,4.8861000000000005e-06,0.22613000000000003,0.00022573,8.4088e-10,0,0.6261,0.038771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,29.919050900661134
6,2.4994e-05,8.4322e-11,0.00067666,0.27259,0.16548,0.9133899999999999,0.72869,0.062807,5.0867e-09,1.3800999999999999e-05,4.4847e-07,0.40033,3.3162e-07,0.15137,0.16615,1.2417e-11,7.79e-08,0.44268,2.9539e-09,0.60787,0.17132999999999998,0.19259,0,0.6241300000000001,1.9872e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,40.226989255052196
7,1.6335,0.12905,3.3790999999999996e-28,0.8204899999999999,0.64881,0.17346,0.79337,0.31832,0.0027362,8.727e-17,1.5250999999999998e-09,0.6413399999999999,1.9887e-23,0.8880299999999999,0.0093131,0.0012604,0.72632,0.98351,2.8479999999999998e-11,0.9270200000000001,0.003647,1.6435e-27,0,0.61562,5.8942e-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,43.64779731161079
8,0.096977,0.29009,0.05266900000000001,0.15145,0.17502,0.00030553,0.00021972,0.57938,6.928899999999999e-08,0.20447,0.6558,0.0011249,0.0048372,2.9811999999999996e-11,0.028725999999999998,2.8457e-06,5.309700000000001e-10,1.0336,2.8873000000000006e-09,7.3473e-06,1.7738e-08,9.7668e-07,0,0.6722,4.128399999999999e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,26.909734334784616
9,0.062637,4.7709e-09,3.5597e-05,0.1667,3.8878e-08,0.2468,0.31851999999999997,0.52156,5.0311999999999995e-05,9.0089e-13,7.505299999999999e-07,0.08905,0.00051317,9.8817e-12,0.17812,1.1642e-07,3.6249e-09,1.0648,1.9713e-06,3.0996999999999996e-11,0.13995,1.4844e-11,0,0.49196999999999996,0.7517199999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,35.17342883187663
