,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00043902,0.10737999999999999,0.25751999999999997,1.0124e-05,0.75684,0.2593,0.00087572,0.41448,2.5629e-06,0.011174,3.7529e-05,0.41122,0.06454,0.050109,3.0993e-05,7.2963e-14,4.7930000000000005e-06,1.1041,9.1034e-12,0.030001,0,5.8055e-09,0.07516,0.42596000000000006,6.917e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,34.862655683993545
1,0.002043,1.0894e-07,2.639e-09,0.29005,0.034872,0.044085,0.0059929,1.4781999999999999e-06,1.3647999999999999e-09,0.069017,0.19797,0.23196,0.20133,0.18392,8.857999999999999e-06,3.6802999999999997e-10,3.0173e-10,0.89959,2.9156e-07,0.06436,0,8.516500000000001e-10,0.072411,0.4229,0.11122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,39.01500531024191
2,0.00032863,1.4658e-05,8.9726e-07,0.24464,1.9732e-07,0.073323,2.0765999999999998e-11,0.0011922,0.052623,8.6513e-12,3.0682e-08,0.071274,0.051466,4.2507000000000005e-08,0.11424000000000001,1.8223e-15,2.8537e-12,0.9469799999999999,7.4962e-07,0.12455999999999999,0,1.7878e-09,0.267,0.68385,0.013612,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,37.79595190630836
3,3.5006999999999996e-07,0.19297999999999998,0.00031223,0.84306,0.0023326,0.38578,0.0037074,1.2416e-10,0.36634,6.4595e-07,0.31093000000000004,0.034842000000000005,0.037118,0.035849,0.28081,3.9117e-13,0.00069364,1.1311,2.5082e-06,0.14257999999999998,0,7.669e-11,0.077044,0.34895,0.059317999999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,35.59730759733886
4,0.43763,4.8023999999999995e-11,7.7616e-08,0.16827,0.001568,0.011904999999999999,0.07135,3.9901e-11,0.00052024,0.1073,0.024115,5.1038999999999995e-06,0.011247,7.9891e-05,5.149199999999999e-10,2.4330000000000003e-06,0.12275,0.84229,1.3832e-12,9.929200000000001e-05,0,4.1113e-14,0.25509,0.9806,3.1561e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,36.24873067572734
5,0.19446,0.00018411,8.3076e-11,0.33766,1.6255999999999998e-09,0.06573899999999999,0.6067,1.3110999999999999e-05,0.0071459,0.36985999999999997,2.9638e-07,0.0049365,0.17685,4.0646999999999996e-07,5.0521e-08,1.047e-11,0.23494,0.98631,8.8045e-07,0.18736,0,3.4281e-09,0.00082529,0.60992,0.077309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,37.230655977468075
6,2.0477e-05,6.702500000000001e-11,7.6561e-05,0.32516999999999996,0.26653000000000004,0.90186,0.9292600000000001,0.047579,6.634799999999999e-11,7.1426e-07,1.4353e-08,0.42625,5.0698e-08,0.18348,0.024588,3.2728e-12,2.3355999999999998e-07,0.53927,2.4570999999999997e-09,0.6581899999999999,0,0.1857,1.1117e-08,0.6856300000000001,6.5932e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,46.175312407739476
7,0.9252799999999999,0.17488,1.182e-28,0.8036800000000001,0.2922,0.48338000000000003,0.37349,0.40588,1.265e-05,1.1917e-14,1.6063e-08,0.089486,3.4038e-23,0.38465,0.07499299999999999,0.007735,0.13667,0.8360200000000001,2.2566e-09,0.65009,0,2.2245e-27,8.329000000000002e-11,0.46443999999999996,9.3257e-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,42.19397736819059
8,0.063229,0.016408000000000002,0.00098229,0.18458,0.26354,0.0049989,0.046717,0.47941999999999996,1.1231e-06,0.10427,0.39666999999999997,0.015013,0.12715,8.637200000000001e-11,0.019332,7.8541e-07,1.5903999999999998e-10,0.73338,1.2974000000000003e-09,0.0028779,0,2.7536e-08,0.19295,0.7118800000000001,6.4167e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,35.305185296345385
9,0.061752999999999995,3.901e-09,0.00092451,0.15549000000000002,6.6711e-07,0.15897,0.32725,0.50349,0.001605,1.8279e-10,1.018e-07,0.076907,0.011505,3.6786e-13,0.25716999999999995,2.3703999999999998e-06,1.7092000000000003e-09,1.0231,9.1346e-05,3.7079e-12,0,2.3647e-12,1.0385999999999999e-06,0.51025,0.76295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,43.63996150667341
10,0.007611499999999999,0.010988,0.0026421,0.0045421,0.08618200000000001,0.14060999999999998,0.3879,0.11577,4.5153e-06,0.059496,1.1344000000000001e-09,0.2345,0.10751,0.0041916,0.0071033,1.0683e-09,1.2462e-07,0.9637600000000001,4.4533e-09,0.00070005,0,2.6705e-07,0.20324,0.41713999999999996,8.064e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,35.90401810217582
11,0.007577800000000001,0.00034789999999999995,2.9331999999999998e-08,0.2861,0.27466999999999997,0.01349,0.10307000000000001,0.51237,8.5461e-12,4.1832e-08,0.00073959,0.14463,0.46487,3.2473e-05,6.6225e-09,2.113e-08,0.015064,0.87118,1.8994e-10,2.6943e-07,0,2.7164e-09,0.0049754,0.20067000000000002,0.28486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,36.88023941172103
12,0.54628,3.0496e-07,0.41223000000000004,0.21696,4.5886e-11,0.040048,1.8015e-06,1.7213000000000002e-07,0.017043,0.11674000000000001,0.0001403,7.018399999999999e-09,0.15682000000000001,1.3382e-10,3.2401e-05,6.175399999999999e-06,6.3665e-12,0.88064,1.4511000000000002e-06,3.1424e-05,0,4.6174999999999995e-08,0.047432999999999996,0.41961000000000004,0.29057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,38.69797354877253
13,7.1376e-07,7.1148e-13,0.014379,0.59891,0.42285,0.10593,3.4692e-07,3.4251e-05,0.32957,4.734100000000001e-09,1.793e-05,0.39457,0.34414,0.00059379,7.501e-13,6.810800000000001e-13,0.011939,0.79898,1.0651e-09,0.006331,0,4.7636e-15,7.4956e-08,1.4348,8.153700000000001e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,33.6274568265296
14,2.8489999999999997e-10,0.064698,0.0059302,0.33355,2.2287e-08,0.064889,0.036713,0.0068046999999999995,7.7965e-05,0.0009477999999999999,5.4998000000000004e-05,0.10676,0.032168,9.278e-05,0.39,6.2496e-11,2.4308000000000002e-05,0.77415,0.0031584,1.0640999999999998e-07,0,1.3980999999999999e-05,0.49154,0.56438,0.30466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,41.80067433217715
15,0.65865,0.42923,0.008987899999999998,0.67456,9.418799999999998e-11,0.00010836,0.57792,0.00012089,0.078998,0.00086785,4.3877e-10,0.19441,1.604e-05,3.7102e-05,0.62602,7.3659e-16,2.5881e-07,0.7497,0.0040815,0.08834199999999999,0,2.3053000000000003e-09,0.038391,3.601e-09,0.01296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,39.33189093500795
16,0.021176,2.0754e-06,1.0019e-05,0.048738,8.4218e-09,0.17457,0.18833,0.00019783,0.033367,0.023875,0.031448000000000004,0.028299,0.0032066000000000004,0.17156,4.3275e-12,3.7376e-14,1.2175e-06,1.2837,1.5625999999999999e-06,0.00012573,0,9.512700000000001e-07,0.14409,0.80266,6.731500000000001e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,36.65933328033252
