,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,3.6393e-05,0.033526,0.12829000000000002,0.00027848,0.7850699999999999,0.39105,0.002294,0.53777,2.5708e-06,0.00021690000000000001,3.597e-05,0.42293000000000003,0.05159400000000001,0.08566599999999999,0.00025149,2.9008e-13,1.1015e-05,0.8582299999999999,2.3281999999999996e-13,0,0.11788,2.6198e-09,0.057002,0.1885,4.3826999999999997e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27.350803329573232
1,0.0025903000000000002,4.5743e-06,2.8424000000000002e-11,0.27531,0.036095999999999996,0.029230000000000003,0.12825,5.1337e-06,3.521e-13,0.14113,0.1881,0.17578,0.25624,0.19974,1.2452e-05,1.6296000000000002e-10,5.3555e-12,0.89576,7.9333e-06,0,1.5408000000000001e-06,5.605399999999999e-11,0.057583,0.42765,0.08426900000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,30.908499918765898
2,2.6529e-07,3.2374e-05,1.6472e-06,0.0026016999999999998,0.0029099,0.27319,8.479300000000001e-16,2.0147999999999998e-06,0.14551,2.6329999999999998e-11,6.9266e-05,0.16274,0.13702999999999999,1.1083e-12,0.33173,3.4602e-18,1.3027999999999998e-11,0.9319299999999999,3.4291e-07,0,1.6319e-05,3.622e-10,0.29486,0.48482,0.09248300000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,32.57480941043768
3,2.7427999999999996e-32,0.15666,0.00048063,0.77175,0.0026100000000000003,0.38405,0.0049412,1.1649e-16,0.38218,1.4655000000000002e-06,0.29689,0.049682,0.037827,0.040353,0.1595,1.7321999999999998e-15,0.0006675,1.088,2.023e-06,0,4.3437000000000004e-06,2.7232e-14,0.07765599999999999,0.29551,0.053247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,26.364217892708893
4,0.37873,1.0009e-10,8.0127e-08,0.17415999999999998,0.002283,0.014208000000000002,0.074235,9.072e-11,0.00017755,0.12105,0.016541999999999998,8.349800000000001e-06,0.012047,6.324899999999999e-05,1.4687999999999997e-09,2.5253e-06,0.10703,0.81179,9.3214e-13,0,5.7904e-08,4.0406e-14,0.23346,0.9858299999999999,6.5425e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,29.181279838885047
5,0.14118,8.9366e-05,1.3098e-13,0.24358000000000002,3.8395000000000007e-11,0.15284,0.63602,4.2107e-06,0.0039211,0.26147,1.0079e-07,0.014513999999999999,0.17808,2.7397e-07,1.0825000000000001e-08,1.1621e-12,0.15793,1.1259,1.0541e-06,0,2.5385e-06,1.425e-14,0.0010074,0.55983,0.08708099999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27.400674451656922
6,7.7681e-05,3.2872e-08,1.4711,1.1982,0.38306,0.80053,0.60475,0.8424799999999999,2.8064e-12,0.20167000000000002,0.19777999999999998,1.3901,0.096513,0.082474,0.31334,2.6467e-22,8.4465e-12,3.5362e-05,2.6393e-17,0,0.23496,1.4218999999999998e-20,1.7023e-06,1.3021,1.6759000000000002e-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,23.939124383494903
7,1.1127,0.2913,6.7345e-07,0.63195,0.29,0.11495999999999999,0.54369,7.092e-05,0.13134,0.073626,0.00014340000000000002,0.14101,3.5105e-06,0.51389,2.5879000000000002e-06,9.272600000000001e-10,3.1957e-05,0.81519,2.7820999999999996e-11,0,2.1858000000000003e-05,5.365500000000001e-11,0.19769,0.34839000000000003,1.3885999999999999e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,31.289640200101537
8,0.014863,0.00012681,0.00070308,0.36803,0.30421,0.017649,0.08029800000000001,0.29283000000000003,1.9241e-08,0.00039458,0.54908,0.14184000000000002,0.048781,3.2862e-12,0.028174,3.854e-05,7.228100000000001e-09,0.71749,3.6827e-10,0,1.6219e-11,8.5189e-11,0.096042,0.81477,0.00094825,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27.48443735134838
9,0.11432,3.9209000000000004e-11,0.00011007,0.20060999999999998,6.4009e-10,0.25923,0.3083,0.50165,4.1661000000000007e-05,3.9761e-14,4.453899999999999e-09,0.029287,1.054e-05,5.8046e-13,0.23324,1.3779e-06,3.28e-10,0.9925700000000001,3.7746e-06,0,0.14595,1.4486e-14,6.566999999999999e-09,0.49505,0.743,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,34.994599895484015
