,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00051728,0.093128,0.24891,1.1803e-05,0.74327,0.26447,0.00079626,0.41528000000000004,2.7179000000000003e-06,0.0105,4.1785e-05,0.42833000000000004,0.06854500000000001,0.045962,3.3626e-05,2.9124e-14,4.0089e-06,1.0994,0,0.029383,0.012586,5.2822999999999994e-09,0.07385900000000001,0.41595,5.1587e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,28.481838738010495
1,0.0021956999999999996,1.2571e-07,1.3171e-09,0.29398,0.035249,0.045935000000000004,0.006809899999999999,1.5095e-06,2.9613999999999997e-10,0.074621,0.19449,0.22801999999999997,0.20069,0.18832000000000002,9.8808e-06,2.8947000000000004e-10,1.0397e-11,0.8999299999999999,0,0.068037,0.00014419999999999998,4.1942e-10,0.07115700000000001,0.42707,0.11002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,32.950965775640775
2,0.00028223,1.1166e-05,1.0301e-06,0.21736999999999998,8.9937e-08,0.066953,9.2558e-12,0.0008089000000000001,0.056534,5.3334e-12,2.3827e-08,0.06714500000000001,0.043099,2.8977e-08,0.12399,7.798099999999999e-16,1.1292e-12,0.95291,0,0.12949000000000002,4.0413e-06,9.006499999999999e-10,0.28065999999999997,0.68915,0.012537999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,31.9424388335852
3,3.5291999999999996e-38,0.1743,0.00027042,0.82345,0.0022329999999999997,0.38987,0.0032163000000000005,1.2140999999999998e-16,0.36159,7.0328e-07,0.30446999999999996,0.037107999999999995,0.036251,0.032656,0.26228,1.2905e-15,0.00076266,1.1296,0,0.13433,3.3473e-06,9.7899e-15,0.07457899999999999,0.34451,0.06047999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,29.251458132190884
4,0.4525,3.252e-11,5.2645e-08,0.16376,0.0011272,0.010895,0.068937,1.6291e-11,0.00060891,0.095117,0.027083,4.9601e-06,0.011162,8.6295e-05,3.7533e-10,1.8375e-06,0.12919,0.86174,0,8.0981e-05,8.4494e-08,1.8046e-14,0.26550999999999997,0.9814,1.8920999999999998e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,30.082034086092037
5,0.1942,0.00017529,1.1863e-11,0.33666,3.8772000000000003e-10,0.067386,0.60554,1.2343e-05,0.006717,0.36943000000000004,2.5426e-07,0.0048192,0.17694000000000001,3.6868000000000004e-07,4.7733e-08,3.6975e-12,0.23399999999999999,0.98672,0,0.18566,1.881e-05,2.0784e-16,0.00082322,0.6088899999999999,0.078414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,30.79064745444846
6,9.4277e-06,1.4959e-11,6.258899999999999e-05,0.28162,0.2085,0.8083,0.76835,0.045332,6.1778e-10,1.8921e-06,1.41e-07,0.40769,2.9951999999999997e-07,0.17444,0.024551,5.650300000000001e-13,2.2651e-07,0.5764699999999999,0,0.57586,0.10002,0.1706,8.0773e-09,0.62322,1.0672e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,37.60099287831192
7,1.0152,0.20410999999999999,5.3527999999999994e-39,0.8312,0.38509,0.43313,0.44508000000000003,0.39645,6.2101999999999994e-06,2.2341e-14,8.6089e-08,0.16906,1.8997e-23,0.5274399999999999,0.09901499999999999,0.0077575000000000005,0.28121,0.8980899999999999,0,0.67495,1.3158000000000001e-08,3.0991999999999994e-31,2.9118e-11,0.457,1.3047999999999998e-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,37.575209503225025
8,0.06353099999999999,0.016403,0.00096398,0.18502000000000002,0.26456,0.0050325000000000005,0.046748000000000005,0.47983000000000003,1.0783e-06,0.10182999999999999,0.39659,0.015340000000000001,0.12924000000000002,2.9015e-11,0.018734,7.3458e-07,8.7958e-11,0.73349,0,0.0028631999999999998,8.5439e-10,2.6272000000000002e-08,0.19169,0.71332,6.4829e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,29.109719592668004
9,0.046359,2.9177999999999995e-10,2.7666999999999998e-05,0.17637,7.8689e-09,0.25016,0.33311999999999997,0.51802,0.00011939,7.505199999999999e-15,5.2920000000000007e-08,0.062577,5.0476e-05,2.7612e-13,0.19909000000000002,2.5317e-07,4.4410000000000005e-10,1.0545,0,-1.065e-15,0.13837,1.4923e-14,7.5894e-08,0.50773,0.75347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,35.86821609249545
