,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00051405,0.09303,0.24786999999999998,1.2186e-05,0.74275,0.2652,0.00079114,0.41523999999999994,2.7422e-06,0.010089,4.1914e-05,0.42867,0.068617,0.045498000000000004,0,2.8833e-14,3.9925e-06,1.0984,4.0244e-14,0.029396,0.012578,5.254100000000001e-09,0.074226,0.41502,5.215499999999999e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,20.75047155947393
1,0.0022498,1.2399000000000001e-07,1.4534e-09,0.29425999999999997,0.035622,0.046023,0.0066568,1.5498e-06,3.0522000000000006e-10,0.07423400000000001,0.19297999999999998,0.22873000000000002,0.20077,0.18845,0,3.0522000000000006e-10,9.5923e-12,0.9005799999999999,3.1317e-07,0.067936,0.00014985,4.2783999999999994e-10,0.069474,0.42688000000000004,0.10992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,25.215391103298852
2,6.1566e-06,0.00010449999999999999,8.2364e-08,0.11673,2.9131e-08,0.12892,3.6199000000000003e-09,0.0063479999999999995,0.0032939,1.123e-10,5.9112e-09,0.099637,8.657100000000001e-05,8.1122e-12,0,9.1847e-19,1.4345e-12,1.0769,8.0467e-07,0.11035,2.6019e-08,9.819700000000002e-09,0.28156,0.6459600000000001,0.071476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,23.588262662380025
3,1.2165e-35,0.17335,0.0004274,0.72634,0.0027535,0.43728999999999996,0.0022761999999999995,2.3273000000000004e-16,0.29982,2.3849000000000002e-06,0.21089000000000002,0.025472,0.043331,0.037941,0,5.2195e-16,0.000965,1.1226,4.9046e-06,0.12557000000000001,4.6994e-06,1.7835e-14,0.07723300000000001,0.2887,0.092968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,20.28114046911891
4,0.44551999999999997,3.7055e-11,5.1973000000000005e-08,0.16763,0.0013162,0.011188,0.069458,2.1826000000000002e-11,0.00055431,0.1022,0.025266,5.1709e-06,0.011076,7.8576e-05,0,1.9407e-06,0.12553,0.8497100000000001,9.539100000000001e-13,8.457299999999999e-05,8.7309e-08,1.9375e-14,0.25806999999999997,0.9814,2.4803e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,22.368427746657325
5,0.19402,0.00017632,1.2090999999999998e-11,0.33587,4.0048e-10,0.067228,0.60673,1.2612e-05,0.006756699999999999,0.36878,2.647e-07,0.004982,0.17761,3.8345999999999997e-07,0,3.882e-12,0.23325,0.98775,8.301e-07,0.1857,1.8907e-05,2.3092e-16,0.00082734,0.60934,0.076561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,23.041993920906307
6,9.4227e-06,1.1991000000000001e-11,5.6411000000000006e-05,0.282,0.21570999999999999,0.78938,0.7725,0.043529000000000005,4.3594e-10,1.5923e-06,1.1751e-07,0.40924,2.7780999999999997e-07,0.17755,0,4.636e-13,2.4693e-07,0.59444,1.1324000000000001e-09,0.5733199999999999,0.093171,0.16984000000000002,7.2309e-09,0.62149,9.9302e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,29.6788900705764
7,1.8407,0.59575,2.4493e-31,0.696,0.21541,0.15988,0.56529,0.30541,3.4975e-05,6.6717e-15,6.6467e-07,1.3066,2.1457000000000003e-22,0.54269,0,0.080601,1.2755,0.76945,1.6935e-09,1.5633,0.00025037,2.0802999999999998e-28,3.2918999999999998e-09,0.59253,1.1295e-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,41.36521694305489
8,0.068066,0.035662,0.0011775,0.16844,0.28679,0.0035786,0.055435000000000005,0.49465,1.3455e-06,0.12045,0.43433999999999995,0.0056025,0.11936,2.2284e-11,0,7.6533e-07,4.5436999999999994e-11,0.76299,7.3324e-10,0.0039938000000000005,1.0479e-09,3.1739000000000004e-08,0.14978,0.7124,4.630600000000001e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,21.130768486717354
9,0.015837999999999998,9.1432e-11,7.3113e-05,0.1433,4.7116e-09,0.25092,0.20870999999999998,0.49988999999999995,0.00026966,1.5054e-14,1.5156e-07,0.10332000000000001,4.4979e-05,-2.1295e-15,0,8.23e-08,1.0665e-09,1.1964,5.7544e-07,-1.7356e-13,0.11735,-2.1148000000000002e-13,2.4274e-07,0.43555,0.8272200000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,27.32316999738844
