,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00026851,0.069225,0.24156,1.5019000000000001e-05,0.71114,0.27398,0.0065811,0.38606999999999997,1.381e-06,0.036823,7.0271e-05,0.43493999999999994,0,0.037219999999999996,5.8105e-06,3.1967e-14,9.227799999999999e-05,1.0972,2.1840999999999995e-11,0.048978,0.00056024,1.9004e-08,0.1539,0.38809,9.679500000000001e-08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,30.555843250787373
1,0.00064013,1.1861e-08,8.425e-08,0.50105,0.030281,0.2588,0.00091538,8.2743e-06,4.5476000000000004e-10,0.00057466,0.083552,0.092336,0,0.20690999999999998,4.6836000000000005e-07,5.8669e-12,3.1697e-09,1.0457,2.2117e-06,0.007946600000000002,3.3645e-05,8.927300000000001e-10,0.20303,0.49471000000000004,0.08622200000000001,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,32.06704529626939
2,0.00031264,1.2606e-05,1.208e-06,0.23060999999999998,1.4525e-07,0.06434400000000001,1.4687e-11,0.0009085000000000001,0.054834,5.5757e-12,2.6238e-08,0.066139,0,3.5105e-08,0.12686,1.1460999999999998e-15,2.0025e-12,0.95004,5.600999999999999e-07,0.14205,4.4693e-06,9.8506e-10,0.29672,0.6863,0.013378,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,33.843485790923985
3,2.8125e-07,0.28373000000000004,0.00016188,0.9936799999999999,0.00028795,0.38991,0.01125,2.957e-11,0.35596,4.1454999999999996e-07,0.32923,0.088006,0,0.036962,0.37284,1.3271e-13,0.00064583,1.2244,2.2554e-06,0.28264,3.2018e-06,8.4133e-12,0.075193,0.39591,0.022889,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.991496994550722
4,0.34112,4.2055e-10,2.7840999999999996e-07,0.18309,0.0029763000000000003,0.017459,0.11243,5.304400000000001e-10,0.00040829,0.18404,0.014822,4.7810000000000005e-06,0,7.9466e-05,3.377e-09,3.5154000000000003e-06,0.094215,0.73559,7.8006e-12,0.00020087,6.3349e-07,1.8088e-13,0.22782,0.9501799999999999,2.4311999999999997e-07,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,32.10111131824714
5,0.18795,0.00044736,2.2123e-09,0.2705,9.364399999999999e-09,0.20644,0.31706,0.00012155,0.012665000000000001,0.36098,1.9675e-06,0.068761,0,5.425599999999999e-06,7.556100000000001e-07,1.1148e-11,0.25659,0.81119,5.4624e-06,0.064261,0.00011185,1.2440999999999999e-10,0.004165100000000001,0.48408999999999996,0.42573,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,35.70442959600993
6,1.1095e-05,1.9179000000000003e-11,5.5221000000000005e-05,0.28174,0.21450999999999998,0.80161,0.7711399999999999,0.045706000000000004,4.0287999999999996e-10,1.7459e-06,1.2808e-07,0.41123999999999994,0,0.18037,0.016593,2.1944e-12,2.6828e-07,0.5820000000000001,1.4021e-09,0.57501,0.099967,0.16432,1.5804e-08,0.6252,8.193300000000001e-08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,39.271162108722024
7,0.9540299999999999,0.22584,9.415399999999999e-28,0.8435,0.38834,0.43183,0.41483000000000003,0.39024000000000003,3.8433e-06,2.7494999999999997e-14,5.2511e-08,0.07593899999999999,0,0.49528,0.10489000000000001,0.0080842,0.16069,0.93619,8.560200000000001e-09,0.64018,1.8447e-08,4.7117999999999995e-28,1.7441e-11,0.43038000000000004,1.0903e-23,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,38.505138757384664
8,0.033374,0.0021087,0.00097173,0.16345,0.15026,0.01828,0.021612,0.50678,2.7031e-07,0.06136799999999999,0.47426999999999997,0.019235,0,2.0373999999999999e-10,0.016125999999999998,6.0323e-07,4.5225000000000004e-11,0.78869,1.454e-09,0.00095397,1.9727999999999996e-09,3.6569e-08,0.24645,0.7154,8.916299999999999e-05,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,30.77951634365442
9,0.050533,1.0063e-09,2.2896e-05,0.1799,2.9091999999999997e-08,0.24959,0.34081,0.51959,0.00010086,8.922700000000001e-13,5.5462e-08,0.058235,0,1.8977e-12,0.20855,2.6288e-07,6.9265e-10,1.0473,3.4529e-06,4.8435e-12,0.13842000000000002,1.5869e-12,1.9328e-07,0.5110600000000001,0.75357,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,37.69677216280883
10,0.0047157,0.011632,0.00069355,0.020986,0.042045,0.16030999999999998,0.46476000000000006,0.0953,3.0078e-06,0.078016,8.555599999999999e-10,0.17635,0,0.0034068000000000006,0.012694,1.0221e-09,6.1511e-08,0.9709399999999999,2.0992e-09,0.0013093,0.022412,2.3829e-07,0.25636,0.32051,1.1609000000000002e-07,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.176308291531534
11,1.9504e-06,0.00095133,5.5820000000000006e-08,0.13718,0.60532,0.0029883,0.00027566,0.19474,7.5929e-12,2.3151999999999996e-09,0.080288,0.12534,0,0.061359000000000004,8.0651e-09,8.383600000000001e-10,0.17139000000000001,0.79259,6.412100000000002e-11,9.0378e-06,5.1260000000000006e-06,1.0359e-10,0.005261999999999999,0.10655999999999999,0.5967899999999999,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,38.04238140680819
12,0.50858,9.583500000000001e-08,0.43937,0.12963,2.2286999999999998e-11,0.22651999999999997,1.1388e-05,1.1246e-08,0.006046899999999999,0.15638,0.00011724,5.4286e-10,0,8.8887e-12,2.335e-05,4.5309e-06,4.4006e-11,0.9161799999999999,9.422700000000001e-07,2.3919999999999997e-06,1.9752000000000003e-10,2.4142e-07,0.036900999999999996,0.83496,0.45295,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,35.86821928311539
13,0.015340000000000001,7.3346e-11,0.1391,0.6984600000000001,0.28670999999999996,0.20232999999999998,5.622899999999999e-05,0.0038079999999999998,0.29728000000000004,2.8027e-06,0.00087409,0.24602,0,0.00019301,6.106000000000001e-11,2.1468e-12,1.831e-05,0.75745,3.8069e-06,0.016295,0.029539999999999997,4.2588e-13,1.2137e-07,1.0925,8.2787e-05,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,28.86262065792088
14,7.199600000000001e-11,0.09364700000000001,0.0042655,0.27534000000000003,4.5871e-08,0.027454000000000003,0.076475,0.0043178,0.00055493,0.007602899999999999,2.6274e-05,0.098669,0,0.00024888,0.33601,2.2649e-12,1.5034999999999999e-06,0.79128,0.0022469,7.3422e-07,1.5693000000000002e-06,5.1589e-05,0.47726999999999997,0.66001,0.2739,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,37.042420131026816
15,0.42949,0.070774,0.0051562,0.28141,1.2427e-10,4.3966000000000006e-05,0.48978999999999995,0.0015821,0.048702999999999996,0.015243000000000001,2.9773e-08,0.10132000000000001,0,1.1952e-06,0.010108,6.1982e-15,8.742299999999999e-07,1.3653,0.00023926,0.077658,0.15250999999999998,2.5118e-10,0.2094,1.6613e-07,0.24334,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,32.1922880571008
16,0.013609,1.8232e-06,5.8147e-06,0.041354,3.734099999999999e-09,0.14903,0.18671,0.00015171,0.038053,0.021276,0.025979000000000002,0.027821,0,0.17307,1.5788e-11,2.8852e-14,2.1439e-07,1.2961,2.8329e-07,7.0966e-05,1.7293e-07,4.2572e-07,0.15921,0.79498,5.2188e-09,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,32.10502792261189
17,0.12220999999999999,0.18364,0.0038139000000000003,0.16882,0.0029986,0.071793,0.38395999999999997,0.016766,6.463899999999999e-09,0.00026919,0.00035844,0.0076666,0,7.8508e-05,0.0061858,1.2287e-12,4.0115e-07,0.9955299999999999,0.035394,4.447e-05,0.050991,2.9883999999999996e-06,0.009473200000000001,0.58954,0.059927999999999995,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.138079283774523
18,5.8828e-05,0.00011394,9.6836e-11,0.46003999999999995,1.5398e-09,0.0035356000000000003,0.089383,0.00010887,0.016725,5.0883e-05,0.10529000000000001,0.0053332,0,1.55e-10,9.5333e-09,1.0362e-07,3.4899e-09,0.7505,1.2695e-09,0.0056265,1.0387e-07,3.4597e-05,0.0010302999999999998,1.0168,0.0017477,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,30.62512868941399
19,0.0053879,1.6886e-05,4.3016000000000005e-06,0.0010115999999999999,0.42817,0.18964,0.11840999999999999,2.4041999999999998e-06,3.7399e-06,0.1079,0.25811,0.077402,0,2.8436e-07,0.0014004000000000002,3.4444e-06,1.7236e-08,1.1056,0.00016442,8.776e-05,1.6632e-11,4.2468e-06,0.083064,0.57191,0.16866,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,32.60542928500065
20,0.017402,0.06643500000000001,4.9506e-06,0.24083000000000002,1.9520999999999998e-05,0.009012299999999999,0.39666999999999997,0.27876,0.00021031,0.01099,0.13864,0.032995,0,8.6215e-09,0.00018794,0.00024295,1.6172e-05,0.77823,8.295e-08,0.047468,2.2910999999999998e-05,3.7309e-09,0.23544,0.46308,2.5754000000000004e-06,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.198385080389794
21,0.13241,4.5615e-05,1.4340000000000001e-08,0.46556000000000003,1.1904000000000002e-05,0.042198,1.9454e-07,0.0044008,1.2467000000000001e-05,1.5959e-06,1.5883000000000001e-06,0.38416,0,8.575900000000001e-08,0.34092,4.4027999999999995e-10,0.0001932,0.9688,9.572399999999999e-15,6.749800000000001e-07,6.7951e-13,7.1417e-05,0.0098096,0.41968999999999995,0.26611,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,35.02448217884921
22,0.025437,9.9638e-09,1.1013e-06,0.29922,0.24586999999999998,0.27291,0.23651,2.5957e-06,5.5537999999999996e-09,0.32061999999999996,0.22828,0.036148,0,6.3315e-05,0.015957,2.9613000000000002e-08,8.1244e-11,1.0748,0.001572,9.132299999999999e-05,0.00014071,3.7836999999999996e-11,0.003865,0.64799,5.0013e-06,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,29.324501675307417
23,0.34689000000000003,0.33513000000000004,5.0165e-08,0.38577,1.047e-07,0.0038443000000000006,0.0073116,3.2181999999999997e-11,0.022928999999999998,4.2008999999999995e-07,0.13765,0.45109,0,2.8780999999999998e-08,4.186e-12,4.7961e-09,0.043562000000000003,0.52223,4.3864e-05,5.0725e-09,0.02047,2.1355999999999996e-11,0.045084,1.1907,1.7773000000000002e-10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.79244014561671
24,2.9823000000000002e-06,0.011581000000000001,8.6771e-09,0.41172,0.00069662,0.29098,0.7351300000000001,0.65283,0.010826,0.00013308,9.9066e-05,0.44978999999999997,0,0.0028184,1.8777e-06,4.6636e-13,0.0019041,0.69565,1.1032e-07,2.1995999999999997e-05,0.30393000000000003,4.0744999999999995e-09,0.086605,0.47013,0.57089,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,33.277448338464694
25,1.6717999999999998e-05,0.16119,0.10747999999999999,0.4234,0.19535999999999998,0.34028,0.00087156,5.1638e-05,2.0248e-05,4.4184e-06,0.45788999999999996,0.5957899999999999,0,0.00043495,2.2978e-07,5.803e-08,0.00053213,1.1177,8.0318e-07,0.0018191,0.00018114,2.0068e-11,0.00044121,0.6836899999999999,0.41931999999999997,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,32.970279508720864
26,0.40963999999999995,5.414199999999999e-07,6.0203e-05,0.22916999999999998,0.060283,0.48825,0.092396,9.4529e-09,8.992899999999999e-10,0.00012451,0.11445,3.7914e-05,0,0.0011002,1.4926999999999999e-07,2.5404e-08,1.6912e-08,0.86985,1.2196e-05,0.00014959,0.31551999999999997,2.9029000000000004e-10,0.043637,0.3351,1.2377999999999999e-05,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,29.357985522130885
27,8.005800000000001e-07,1.3856000000000001e-06,5.2278e-12,0.12825,0.012144,0.4418,0.2492,1.6774999999999998e-07,1.6448e-08,7.141e-15,0.009149700000000002,0.19385,0,5.921199999999999e-07,1.7483e-05,5.7232000000000005e-06,0.0052382,0.61212,7.027899999999999e-06,0.082615,1.8772999999999998e-06,2.2725999999999998e-09,2.4924e-07,0.91274,0.23636,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,34.79790859034466
28,0.012389,0.0007444,9.5274e-07,0.0036853000000000003,0.25529,0.30541,0.2615,8.1331e-06,0.0028637,1.2216e-07,4.5498000000000007e-07,0.5425300000000001,0,0.093934,0.24888000000000002,1.9196e-12,1.9049e-05,0.93085,2.7642e-09,2.7686e-06,2.7628e-07,7.487399999999999e-10,1.0319e-06,0.28759,0.10196000000000001,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,34.894335987906274
29,0.033147,0.00049265,5.0206999999999996e-05,0.0044782,2.4866e-06,0.086937,0.28635,0.02509,8.354799999999999e-07,1.8175e-09,2.9120999999999996e-06,8.8022e-06,0,0.08603,9.6526e-12,5.0963e-12,0.00013124,1.0253,2.5379e-07,0.00021396,3.5343e-10,7.489900000000001e-10,0.3619,0.71535,0.14384,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,34.04777892257134
30,0.00017428,0.0059732,1.1023e-07,0.36030999999999996,6.057200000000001e-10,0.0019855,0.4057,0.0096475,0.00029583,0.28622,0.32058000000000003,0.81734,0,0.0020210000000000002,4.3491e-05,6.5015e-08,3.4979e-08,0.63336,0.037175,0.00015708,6.1011e-05,4.4064e-06,0.00025748,0.8146899999999999,1.6254000000000002e-09,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.126350232904358
31,0.095902,4.124e-08,0.10547000000000001,0.1313,0.18706,0.29736999999999997,0.1825,4.3751999999999996e-07,3.8004e-08,1.012e-05,1.1832e-06,0.058087,0,0.0026055999999999996,0.00032471,1.8456e-11,1.3909e-08,0.9111899999999999,3.9158e-10,4.1652e-05,1.021e-05,5.9176e-08,0.0038726999999999998,0.89355,0.056629,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.250311572121216
32,0.0046351000000000005,0.14156,0.0012884,0.00083913,1.6829e-08,0.172,0.07635700000000001,3.4602e-12,5.7449e-06,0.29118,1.1244999999999999e-11,0.0084785,0,0.62135,9.357699999999999e-08,2.7583000000000003e-15,1.061e-13,0.45715,1.5864000000000003e-11,1.2978e-08,6.6191e-09,3.1728e-08,3.289999999999999e-05,0.68972,0.007774600000000001,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,39.90380619797667
33,0.047492,0.5343399999999999,5.6227e-10,0.016345,0.0013448,8.869300000000001e-08,1.3194,0.14992,1.3611000000000002e-06,1.2729e-10,0.009404299999999999,0.00065825,0,0.074412,6.9098e-12,7.427899999999999e-17,0.34299,0.22182,2.9164999999999997e-10,3.8236e-07,0.0013792,0.00017881,0.0014222999999999998,0.78282,4.4392e-05,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,33.7064327318476
34,1.1155999999999999e-07,1.0450999999999999e-05,5.247699999999999e-10,0.33178,0.37751,0.009136700000000001,0.060492,1.1259e-09,0.025256999999999998,0.29749000000000003,2.5954000000000003e-05,0.039885000000000004,0,2.6928e-12,6.028999999999999e-06,1.9855e-15,0.076976,1.2067,2.5861e-06,1.7859000000000001e-06,0.27346,3.1288e-12,0.003662,0.64008,0.22924,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.1295933115246
35,7.084e-05,0.38106999999999996,9.201600000000001e-07,0.36154000000000003,0.4513,0.21018,0.20226,0.0098289,0.00020862,3.9951e-08,4.4708e-07,0.21752,0,2.4634e-07,0.38349,8.369e-09,0.1702,0.43133,0.3077,0.053278,7.9046e-05,3.4471e-12,0.16280999999999998,0.6058399999999999,0.06678300000000001,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,35.50905071558288
36,1.8475999999999997e-09,1.3638e-06,0.1047,0.37581,0.07623200000000001,0.12219000000000001,0.053524,2.2858e-07,0.021544,0.031761000000000005,0.0064387,0.042230000000000004,0,4.7646000000000004e-05,0.00053145,0.0012190999999999999,1.1426999999999999e-06,0.8917799999999999,2.3080999999999998e-05,0.0015722000000000002,2.971e-08,6.0864e-06,0.15700999999999998,0.84819,0.10415999999999999,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.409154275044486
37,5.342e-05,0.0005047,1.8863999999999998e-10,0.055604999999999995,0.087132,0.016381,0.00055046,0.20905,1.5637e-09,1.881e-09,0.022094,0.098182,0,2.3236e-06,3.414e-11,4.5262e-12,0.49517,1.1099,3.6572e-05,1.9467000000000002e-05,0.13885999999999998,7.0328999999999996e-09,0.014235,0.36891999999999997,0.025858,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,30.634977072778604
38,0.45718000000000003,5.4194e-09,0.0037219,0.23498000000000002,0.28164,0.0027186,5.8938e-07,0.043937000000000004,1.7166e-12,0.21889,0.0015919,0.2296,0,0.05561,5.735e-13,7.972199999999999e-17,1.6236000000000002e-06,0.81914,5.6546e-13,0.34944000000000003,0.30251999999999996,8.9183e-08,0.092158,0.7205199999999999,3.0919e-06,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,35.15284653560816
39,0.29095,1.2606e-07,8.426e-12,0.32904,0.0010439,0.40205,0.2926,1.1198e-06,1.9622e-12,0.027293,0.00070086,0.08864,0,1.3366e-08,0.020095,1.1472e-12,9.1073e-06,0.071601,4.5835e-06,0.30666,0.026907999999999998,2.4117e-05,0.77868,0.60031,0.11506,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,37.940463320555594
40,1.0418999999999999e-10,5.0608e-07,8.3962e-06,0.6107100000000001,0.10025,4.0597000000000003e-07,0.081193,3.1776999999999997e-13,1.6946e-13,0.2231,3.6942e-06,0.38293,0,0.44215,0.00026917,3.9100999999999995e-11,3.2415e-11,0.5804699999999999,7.5093e-12,0.0031260000000000003,0.16639,3.2781e-08,0.0023685,0.8537299999999999,0.012042,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,34.752099297184124
41,0.13873,0.00018101,0.0010388,0.34212,0.01261,0.52775,0.073567,0.063888,0.084187,0.0013555,6.8869e-10,0.00088669,0,0.00028626,3.3374000000000005e-11,7.6296e-08,0.018882,1.0477,9.8517e-05,0.009008200000000001,3.1227e-07,0.008370200000000001,0.17381,0.51688,1.7534e-06,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,28.952376142079714
42,0.0080135,0.39999,0.018838999999999998,0.69581,0.019438999999999998,0.049406,0.00025844,1.1114e-08,1.7229e-05,0.09461900000000001,0.005197600000000001,0.17442,0,3.4374000000000003e-07,4.2063999999999996e-05,1.994e-10,3.4671e-05,0.70616,2.7189999999999997e-06,2.7631e-06,1.6663e-05,8.924299999999999e-07,0.62021,0.41326999999999997,0.26727,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,32.94215596888263
43,0.00046130000000000005,0.0022375999999999997,9.595999999999999e-07,0.48982,0.00014485,0.9595899999999999,0.25908000000000003,7.9824e-09,9.7067e-14,0.5244800000000001,1.8432e-06,1.297e-08,0,4.1903e-05,2.7826999999999996e-07,9.6132e-08,0.66999,0.20448,5.0526e-12,3.3601e-05,1.3471e-06,0.013205000000000001,0.17492,0.57839,0.35296,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,33.83003358462961
44,0.46931999999999996,0.0016576,0.15984,0.12736,0.016059999999999998,0.029020999999999998,0.20069,0.06138099999999999,1.6667999999999998e-07,5.7527e-09,0.22643000000000002,0.29816,0,0.00018573,5.0852e-06,9.7877e-06,0.0003123,1.023,0.18645,1.2435e-05,0.07474,2.5868e-06,0.14363,0.26902,0.007144800000000001,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,30.88328679748676
45,0.2582,0.026706,6.264e-07,0.02139,0.15671,0.19453,0.29373,0.0015946,5.4877e-06,0.00034275,2.7223e-08,0.49833999999999995,0,7.9422e-15,0.00016790000000000002,0.0073714,4.2019e-05,0.8347,0.00050268,0.39810999999999996,4.9383e-07,0.45591000000000004,0.00056309,0.25405,2.9777e-10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,41.33868752945676
46,0.015253999999999998,0.28002,0.08453,0.00020184,0.21957,0.37975,0.42726000000000003,2.6505e-16,0.10312,0.011892,4.3485e-11,0.027279,0,1.6315999999999998e-05,0.22929000000000002,1.4510999999999999e-09,0.10025,1.2001,0.0023034,0.00011903,1.3752e-05,1.0412000000000001e-07,0.034942,0.84364,0.038355,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31.86437328185476
