,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.00051074,0.092934,0.24909,1.1684e-05,0.74342,0.26418,0.00078532,0.41567,0,0.010579,4.1518000000000005e-05,0.43028,0.06838,0.045849,3.2215e-05,2.7341000000000003e-14,3.8898000000000004e-06,1.1,4.0358e-14,0.028999999999999998,0.012198,5.216499999999999e-09,0.073641,0.4173,5.101200000000001e-08,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27.223680203699956
1,0.0021976999999999995,1.2332e-07,1.4623e-09,0.29378000000000004,0.03553,0.045929000000000005,0.006607399999999999,1.5478e-06,0,0.073673,0.1937,0.22914,0.20069,0.18779,1.0378e-05,3.1194e-10,1.0133e-11,0.9004700000000001,3.093e-07,0.067674,0.00014915,4.2448e-10,0.06990700000000001,0.42661000000000004,0.10982,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.686404332465425
2,0.00049416,1.993e-05,3.5095999999999996e-07,0.34451,3.6952e-08,0.048201,1.2376e-11,0.00078916,0,1.4559e-12,1.3811e-08,0.077266,0.019435,4.5252999999999995e-08,0.08179,1.1985999999999998e-15,7.443e-13,0.92943,4.6865e-07,0.14884,5.2902e-06,1.637e-09,0.22493000000000002,0.7279899999999999,0.010145,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.046563787756295
3,2.2736999999999995e-24,0.099749,8.947000000000001e-06,0.73326,0.014996,0.12385,0.00011373,5.770499999999999e-19,0,8.6795e-07,0.21118,0.012406,0.064207,0.015894,0.01228,9.551799999999999e-18,0.0019624000000000004,1.3097,1.0388e-06,0.0022459,4.4377e-06,-8.498900000000001e-16,0.24070999999999998,0.34352,0.10196000000000001,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.594181324208378
4,0.44632,3.713800000000001e-11,5.3212e-08,0.16625,0.0012978,0.011284,0.06991599999999999,1.9995e-11,0,0.10013,0.025686,4.9573e-06,0.01128,8.2949e-05,4.4558999999999996e-10,1.8680000000000002e-06,0.12642,0.8536299999999999,1.0235e-12,8.573600000000001e-05,8.7223e-08,2.0066999999999997e-14,0.2605,0.9807799999999999,2.2092999999999998e-08,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28.841289136787132
5,0.18953,0.00016917,1.0550000000000002e-11,0.33944,4.2047e-10,0.06932,0.60554,1.2288e-05,0,0.37327,2.6085999999999997e-07,0.0047051,0.17724,3.9152e-07,5.0174e-08,3.8749e-12,0.23551,0.98713,8.365000000000001e-07,0.18504,2.065e-05,2.95e-16,0.00078127,0.6085,0.079391,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29.524411539130092
6,9.6422e-06,1.3289000000000001e-11,6.4781e-05,0.28169,0.21044000000000002,0.8053100000000001,0.76873,0.045406999999999996,0,1.7644999999999998e-06,1.356e-07,0.40828000000000003,2.7794e-07,0.1762,0.020465999999999998,5.7171e-13,2.5065000000000004e-07,0.57868,1.1893e-09,0.5756399999999999,0.10019,0.16785999999999998,8.3644e-09,0.6232800000000001,9.665699999999999e-08,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36.30154889249084
7,1.1316,0.40543,-4.2148000000000004e-39,0.86505,0.5210899999999999,0.5300600000000001,0.40771,0.47423999999999994,0,5.5607e-13,4.2979e-07,0.07016599999999999,9.4743e-22,0.44997,0.25668,0.00045507,0.16115,1.0329,2.5415e-08,0.55389,1.6562000000000002e-07,6.0605e-28,5.418500000000001e-09,0.40410999999999997,4.1698e-21,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34.16925489472684
8,0.066366,0.019106,0.0010586999999999999,0.18295999999999998,0.26126,0.004860499999999999,0.045313,0.47696000000000005,0,0.11205,0.39097,0.013759,0.12903,2.8709e-11,0.018698,6.6205e-07,8.825399999999999e-11,0.73442,1.0794e-09,0.0026068000000000003,9.8221e-10,2.8567e-08,0.19625,0.70916,6.1579e-05,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27.87854857491307
9,0.050108,2.0751e-10,2.619e-05,0.17875,6.2288999999999994e-09,0.25122,0.34043,0.51942,0,4.248399999999999e-15,4.4893000000000004e-08,0.06005800000000001,5.574e-05,2.8195e-13,0.20672,2.6116999999999995e-07,4.5788e-10,1.0481,3.2675e-06,-1.5675000000000001e-15,0.13851,-3.3407e-14,6.1463e-08,0.51103,0.75316,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34.66752488945386
