,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.0032049999999999995,0.028914,0.21036999999999997,0.00014682,0.75473,0.29775999999999997,0,0.46308,3.1547000000000005e-06,0.018641,0.00024022,0.46838,0.079687,0.020954,7.6485e-05,7.0305e-14,1.1411e-05,1.0297,2.9975e-14,0.021603,0.015086000000000002,8.441999999999999e-09,0.07161000000000001,0.35388000000000003,5.899600000000001e-09,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27.323795627942587
1,0.0021659,2.8035e-07,1.6406e-10,0.30558,0.042663,0.066342,0,9.9291e-07,1.4099e-10,0.070534,0.20337,0.19124000000000002,0.21334,0.20736,2.2895e-06,5.308600000000001e-11,3.7434e-12,0.90374,2.9106999999999997e-07,0.08538,0.0014197,9.353100000000001e-11,0.068911,0.43071000000000004,0.12474,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.54275115054523
2,0.00031968,1.2807000000000001e-05,1.0705e-06,0.22708000000000003,9.1705e-08,0.06859900000000001,0,0.0007224999999999999,0.056917999999999996,3.9871e-12,2.5327000000000002e-08,0.068466,0.043793,3.6912e-08,0.12095999999999998,1.0242000000000002e-15,1.085e-12,0.9511700000000001,4.8513e-07,0.12784,5.363300000000001e-06,1.1432000000000001e-09,0.28055,0.68493,0.012299,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.02112825471943
3,2.3655000000000003e-34,0.25892,0.00025908,1.0615,0.0011659,0.38731,0,9.5516e-19,0.41133000000000003,9.7871e-08,0.42311000000000004,0.07254400000000001,0.010716,0.034849,0.45095,1.1675000000000001e-15,0.00064215,1.2092,8.1661e-07,0.31518,1.4984000000000001e-06,5.5419e-16,0.046555,0.43988,0.019037000000000002,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29.98617643224684
4,0.49428999999999995,4.8424e-12,1.3982e-08,0.19387000000000001,1.2471e-05,1.4442999999999999e-05,0,4.4563999999999996e-13,0.14662,0.23800000000000002,0.24585,1.7696e-07,0.028745,1.7702e-06,9.5301e-18,6.6786e-06,0.19087,0.66137,-4.3338e-17,1.812e-08,2.7813e-06,2.1646e-18,0.40528000000000003,1.0002,3.5124e-07,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.028124483734224
5,0.16815,4.0206999999999996e-05,1.6582e-08,0.29768,1.3651e-11,0.11912,0,4.1274e-05,0.32416,0.2781,1.1392e-05,0.078432,6.653e-05,2.4681e-06,0.0002835,1.0514e-15,0.36215,0.914,8.5855e-05,0.0057115,0.0053596,1.2566e-12,0.0015367,0.45432,0.6662,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34.9473618893788
6,5.8696e-05,1.498e-06,0.092653,0.15894,0.030220999999999998,0.41312,0,0.00042344,0.23618000000000003,0.13104000000000002,0.16499,0.021478,0.0084626,0.00024749,0.0033927,6.0008e-16,0.0036207,0.8934799999999999,7.494499999999999e-10,0.24823,0.20584000000000002,0.0015074,0.25369,0.40944,0.0040693000000000005,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.616749072204527
7,1.6837,0.24493,1.5362e-49,0.80613,0.5364399999999999,0.9998600000000001,0,0.22464,3.7078000000000004e-07,4.3786000000000004e-17,4.4669e-09,0.26338,1.7434e-24,0.53142,0.16502,0.34833000000000003,0.7287100000000001,0.9295700000000001,8.4866e-12,0.57345,7.418e-05,-6.331799999999999e-40,5.4313e-14,0.35004,-4.8674e-36,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35.54038023948554
8,0.0051397,2.7032e-06,0.011601,0.28037,0.1906,0.034217000000000004,0,0.43412,9.2625e-08,0.0008801,0.39403,0.11979000000000001,0.16618,2.4193e-10,0.00012401,3.2835000000000004e-06,9.6497e-08,0.6518,6.0972e-10,0.00035767,1.1359e-06,1.8406e-09,0.17431,0.75876,0.00056809,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28.07367091131452
9,0.00080762,2.5358e-08,2.4234999999999998e-06,0.0037806,2.0354e-08,0.64386,0,0.44683999999999996,9.007299999999999e-07,2.8682e-15,1.4129000000000002e-07,0.42558999999999997,0.033473,-5.1013e-21,0.07588099999999999,8.8409e-08,7.6593e-06,0.9230799999999999,1.944e-08,1.3971e-12,0.090364,-3.7106e-15,0.00057277,0.57494,0.5875600000000001,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33.348152125668086
10,8.266299999999999e-05,0.0011905,0.095864,0.5538,0.060270000000000004,0.33408000000000004,0,0.00036293,0.0033585999999999998,0.20886999999999997,9.6943e-07,0.0012084,0.072451,0.068379,0.26184,3.4298000000000004e-10,0.0016463,1.0992,0.0036137,0.29152,0.001943,1.5795e-08,0.38324,0.18634,0.0013725999999999999,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.812868787527435
11,0.009145100000000001,0.00092663,7.041100000000001e-08,0.24427,0.28384000000000004,0.015533000000000002,0,0.5589,3.7906e-12,2.8056e-08,0.00032712,0.14894000000000002,0.50646,1.5162e-05,1.8017000000000002e-08,6.4937e-08,0.028179000000000003,0.80293,2.3805e-11,1.5994e-08,4.0951e-05,2.9116e-08,0.0089795,0.18245,0.2274,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29.571389195464544
12,0.58595,1.315e-07,0.40764,0.23181,2.1618e-11,0.012882,0,9.2699e-07,0.0042941,0.18408,4.2398e-05,1.2428e-09,0.0199,4.9486999999999995e-11,0.00061123,7.8538e-06,3.2127e-13,0.8969600000000001,1.2515e-06,4.5923999999999996e-05,1.4678e-11,9.372899999999999e-08,0.054449000000000004,0.36171,0.36234,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.452462645784564
