,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.25554,0.23268000000000003,0.078467,0.38666999999999996,0,0.59204,0.23721,0,9.2883e-07,1.2445e-13,0,0.005288899999999999,0.026126,2.4529999999999997e-09,0,1.0862e-18,0,0,3.6097e-13,0.86516,2.2428999999999998e-10,2.3467e-07,1.1243,0.10115,2.7794000000000002e-05,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.8655065873668875
1,1.2656e-07,1.0743e-08,8.253200000000001e-07,0.6463,0,0.20371,0.033845,0,0.2551,0.00031861,0,0.2883,3.2472e-05,0.56495,0,2.4865e-05,0,0,0.00010269,0.32043,0.34643,8.5523e-06,0.41261000000000003,0.45255,0.24916,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,11.895372681693418
2,1.4277e-05,0.5786,0.06919,0.40039,0,0.57845,0.014594999999999999,0,0.12183,2.0304e-10,0,2.6648000000000004e-07,2.3218e-08,4.3823000000000003e-11,0,8.0257e-12,0,0,0.0068844,0.3221,6.2345e-06,2.6776e-11,1.3469,0.66727,2.2363000000000003e-05,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0646694847458757
3,9.1281e-08,6.0588e-09,0.039588,0.55833,0,0.84345,0.6230399999999999,0,2.6671999999999998e-05,0.00013546,0,0.0009077,0.55923,0.16985,0,0.00014684,0,0,0.067643,0.0032845,0.017051,0.00011718,0.20287,0.0032466,1.0232e-06,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0879391278183066
4,0.24084,5.1148000000000006e-09,2.5829e-05,0.34607,0,0.11095,0.76226,0,0.012039,0.016631,0,0.0042706,0.25340999999999997,0.14279,0,4.0299e-06,0,0,1.8210999999999998e-07,0.086728,0.0068509,1.9867000000000002e-07,0.56365,0.29389,2.9321e-06,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,2.500530273207402
5,8.325200000000001e-05,0.06391000000000001,2.1232e-05,0.25631,0,0.64328,0.69081,0,5.992999999999999e-06,0.22111,0,0.25628,0.24245999999999998,0.013900999999999998,0,1.242e-06,0,0,9.7437e-06,5.0952e-07,0.34875,1.3116999999999997e-10,0.21725999999999998,0.29722,0.22069,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,4.489495419089201
6,0.0033796,2.8644e-11,0.00074268,0.26305,0,0.8199,0.75156,0,3.6147000000000003e-06,4.6756e-06,0,0.65298,3.2513e-09,0.66465,0,5.7483e-12,0,0,8.1857e-08,0.42498,0.3338,0.20736,9.718500000000001e-10,0.5901,1.7313e-09,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,13.42085460112191
7,0.40536,4.1169e-06,7.3054e-11,5.8144e-07,0,0.5716399999999999,0.37615,0,0.68606,0.39038,0,0.072384,1.5983e-05,6.0532e-12,0,0.066912,0,0,9.5523e-07,0.71697,0.2837,1.521e-10,0.052239,0.57985,3.0592e-07,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,2.9181361887149473
8,0.030101999999999997,0.00029173,0.15768,0.76041,0,0.0051603000000000005,0.26266,0,0.1098,1.1102e-10,0,0.34237,0.19533,2.6586e-09,0,0.00024178,0,0,4.3932e-08,0.080573,1.1519e-12,5.8267e-11,0.077919,0.84934,0.0031943,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.2345464251096772
9,0.0038188000000000002,5.182800000000001e-07,0.0022377,0.59544,0,0.36888000000000004,7.8226e-05,0,0.3056,1.2515999999999998e-10,0,0.30367,0.28929,0.64372,0,1.1193e-09,0,0,0.097865,0.38105,0.46338999999999997,1.7892e-07,2.3805e-07,0.0048774,0.4814,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,14.810846829065682
10,4.7274000000000004e-08,2.4432e-05,4.0925e-09,3.9103000000000003e-07,0,0.6106199999999999,0.90018,0,2.4113e-13,6.9251e-07,0,0.22589,0.48046000000000005,0.00011457,0,0.0063571999999999995,0,0,2.52e-09,0.39486,0.0097772,1.5414000000000002e-05,0.21215,0.34431999999999996,2.45e-09,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,-0.0817754780230251
11,0.8956200000000001,3.5501999999999996e-15,2.1145e-15,1.3001,0,0.0012288,0.93894,0,2.7195999999999998e-14,2.968e-09,0,0.23431999999999997,0.69562,8.2038e-10,0,3.0383999999999996e-10,0,0,1.9959e-07,0.023663999999999998,3.1900999999999997e-06,4.5305e-15,0.07493999999999999,2.4849000000000002e-05,0.0082705,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.2950848738331304
12,0.10699000000000002,0.046285,3.8634e-07,0.49628999999999995,0,0.46598,0.0050146999999999995,0,0.0033872,0.35829,0,6.6826e-12,0.094391,6.595900000000001e-06,0,6.939700000000001e-06,0,0,0.005718399999999999,0.00010357,1.9152e-07,7.8631e-08,0.24927,0.54786,0.39444,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,3.2806923674453543
13,0.005475,8.529999999999999e-08,0.13445,0.9196200000000001,0,0.5112399999999999,0.055472,0,0.1576,5.97e-09,0,0.25006,0.33111999999999997,0.00025799,0,1.4621e-10,0,0,0.30356,0.083835,0.39237,5.9834e-12,4.0435000000000004e-07,1.0426,0.007984999999999999,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,3.7890642232225344
14,1.459e-08,0.31976,3.8651999999999995e-05,0.25251,0,0.60019,0.022419,0,0.20614000000000002,0.00015605,0,0.15883,0.11147,6.3064e-09,0,4.3838e-16,0,0,0.1912,8.5371e-10,8.263900000000001e-10,2.1720999999999998e-05,0.76098,0.63154,0.095125,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.3480507916865214
15,0.1015,0.00089724,0.0030287,1.0324,0,0.010454000000000001,0.065639,0,0.46553999999999995,1.9902e-11,0,1.6027000000000002e-07,4.3125e-10,0.0053098,0,4.0631000000000004e-16,0,0,0.29619,0.6317,0.13452,6.3384e-12,0.7208899999999999,0.42311000000000004,0.63507,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,7.097559930399799
16,0.05164,7.920099999999999e-10,2.9548e-10,0.26857,0,0.76636,0.9441799999999999,0,0.09983600000000001,0.0026214000000000003,0,0.032534,0.022158,0.16935999999999998,0,3.1618e-14,0,0,0.47794,0.00087904,0.0043746,5.6277999999999996e-08,0.38855,0.37599,4.8453e-15,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.051448001396416
17,0.35447,0.7771600000000001,0.00029039,2.6773e-12,0,0.014738999999999999,1.6168,0,0.36789,7.286399999999999e-07,0,1.3263e-05,0.53118,0.4191,0,5.3949000000000003e-14,0,0,0.33651,2.2228e-12,0.68543,6.0478e-10,3.4657e-05,0.78578,7.2702e-13,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,10.729123646236243
18,2.9402e-09,0.20875,2.3672999999999998e-06,1.2679e-05,0,0.48507,0.86041,0,0.35775999999999997,0.015083000000000001,0,0.00016809,0.80398,0.023483,0,1.4428e-05,0,0,1.1763e-08,0.084327,0.0019777,0.00017088,0.004406800000000001,0.22033000000000003,0.18067,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.371499242566406
19,0.012195000000000001,0.084718,0.30414,0.43655,0,0.6776399999999999,0.5007,0,0.00021005,0.26156,0,0.27103,0.0016945,0.00020912,0,2.3995e-11,0,0,2.3483e-06,5.5337e-06,1.1397e-06,0.00015133,0.085266,0.34941,0.59224,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,3.5822900029413067
20,0.0006981,0.26843,0.30614,0.15334,0,5.9363e-08,0.9069799999999999,0,0.034230000000000003,0.052024,0,0.076146,0.0048942,2.6055999999999996e-11,0,0.00012541,0,0,5.691e-11,0.00041753,6.5755e-05,5.715599999999999e-10,0.9289299999999999,0.074161,1.0903e-10,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.3212012724109048
21,0.10368,9.3682e-05,0.009186399999999999,0.93614,0,0.37626,1.8977e-05,0,0.34236,0.0070524,0,0.0036165999999999998,0.0040226,5.606499999999999e-08,0,9.1616e-06,0,0,1.2458e-12,1.9838e-08,2.1763e-09,7.013600000000001e-05,0.088801,0.78184,0.3246,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,2.6502519672504112
22,0.0033745,0.012361,0.0005465,0.17794000000000001,0,0.50848,0.73088,0,0.003025,3.7358e-09,0,5.0702999999999994e-08,0.72313,0.52191,0,1.1109e-14,0,0,0.54588,2.9241999999999998e-08,0.00097605,3.0686e-12,0.0067003,0.26382,0.00047144,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,5.333795067051874
23,1.1277000000000002e-11,0.078239,0.00011885,0.2944,0,0.47163999999999995,0.80899,0,0.015688,5.5803e-10,0,0.23808,0.00082398,3.0238e-05,0,2.2674000000000002e-14,0,0,5.112399999999999e-07,0.018966999999999998,0.0050095,1.0593999999999999e-08,0.33487,0.53819,6.1851e-07,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.06828565882022364
