,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,9.5767e-06,4.1583e-06,0.00048274,0,0.13099,0,0,0,0,0,0,0.39033,0,0,0,9.7764e-12,0,0.99411,0,0,0.00090578,2.9174000000000002e-06,0.35159,0,0.008899200000000001,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,28.747840802267675
1,0.7381300000000001,1.4068e-08,1.3745999999999998e-05,0,2.9258000000000003e-08,0,0,0,0,0,0,0.0061284,0,0,0,8.7389e-12,0,1.1197,0,0,5.3392e-05,5.8445000000000005e-06,0.49263,0,0.080567,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,29.99545756360982
2,2.0792000000000002e-08,1.1017e-05,0.0081296,0,1.9666e-06,0,0,0,0,0,0,0.090024,0,0,0,7.792e-13,0,1.2869,0,0,4.4326999999999997e-07,0.00011215,0.52328,0,0.25619000000000003,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,31.621229718545873
3,4.859600000000001e-09,0.093323,3.4886999999999998e-09,0,0.19954000000000002,0,0,0,0,0,0,0.29112,0,0,0,1.6947e-11,0,1.1343,0,0,8.510799999999999e-07,4.4935e-10,0.51631,0,0.004171800000000001,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,29.157244141046295
4,0.00019681,1.0437000000000001e-08,0.14074,0,0.065971,0,0,0,0,0,0,0.17725,0,0,0,4.1607e-07,0,1.1844,0,0,3.3301000000000004e-07,2.3471000000000002e-08,0.71701,0,0.032699,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,30.40405403545168
5,0.00058741,2.598e-05,7.1328e-11,0,0.38869000000000004,0,0,0,0,0,0,0.3305,0,0,0,1.0567e-13,0,0.95029,0,0,1.2171e-13,0.00030657,0.47753999999999996,0,0.6329600000000001,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,35.85423158437374
6,6.716e-11,3.3079e-07,7.9355e-08,0,0.2468,0,0,0,0,0,0,0.45031000000000004,0,0,0,1.2762e-11,0,0.91186,0,0,2.835e-06,1.4193e-07,0.49513,0,0.12608,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,30.79109943509038
7,7.6136e-05,0.44893,0.14231,0,3.7713e-05,0,0,0,0,0,0,0.3692,0,0,0,1.2223e-14,0,1.186,0,0,1.3492e-09,0.0010918,0.39061,0,0.16567,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,30.268054493307332
8,0.0031986000000000002,6.044e-10,7.5938e-06,0,0.0032753,0,0,0,0,0,0,0.60493,0,0,0,4.944e-06,0,1.0455,0,0,2.4392e-05,2.4476999999999997e-09,0.76917,0,0.1386,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,32.110328107173686
9,5.0343e-05,0.00061206,0.00012879,0,2.5281e-05,0,0,0,0,0,0,0.39957,0,0,0,1.1462e-09,0,1.0667,0,0,0.43283999999999995,1.6474000000000002e-10,0.496,0,0.3271,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,29.646989279939625
10,0.68417,0.0063732,0.0035689,0,0.12422000000000001,0,0,0,0,0,0,0.0028226999999999996,0,0,0,5.6124e-10,0,0.69724,0,0,0.00022159,1.6032e-08,0.78084,0,0.20809,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,33.5845173872592
