,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.0023479,1.3532,1.5415,0,0.45374,0,1.7363e-09,0.89169,0.63561,0,0,0,0.18897,0,3.1957e-14,2.4112e-14,0,0,3.6773e-09,1.7441,1.0115e-09,0.0031118,0.18053,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,5.769162244120002
1,1.1255,1.0613e-15,1.6298e-05,0,0.8970100000000001,0,1.6056,0.00049779,0.43385,0,0,0,2.2535999999999997e-07,0,4.4406e-09,5.3994e-15,0,0,0.3342,0.24424,9.3716e-08,1.7128e-11,0.0097998,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,5.144509031702068
2,6.7221e-08,0.051323,0.14149,0,0.64746,0,0.16689,0.37619,0.4003,0,0,0,0.54899,0,0.00026445,2.6178e-07,0,0,0.00046725,0.00050189,0.011873,7.825100000000001e-09,0.76488,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,9.06275053446161
3,1.3434e-16,2.2575e-09,0.0053258,0,0.9878600000000001,0,0.67173,2.0302e-05,8.8361e-05,0,0,0,0.6834100000000001,0,1.3778e-12,0.0013512,0,0,1.2573000000000001e-10,0.0011162000000000001,1.6201e-08,1.747e-06,0.44426000000000004,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,7.954612836262593
4,5.6143999999999995e-11,1.8939,2.8187e-14,0,0.066763,0,2.219,3.1445e-08,1.1063e-09,0,0,0,2.3589,0,1.8590000000000001e-06,1.5045e-09,0,0,5.421699999999999e-06,0.39033,4.4076e-11,0.20259000000000002,0.028644,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,9.346915016609382
5,6.124e-11,1.1709,1.243e-16,0,4.1685,0,1.7845,3.5823,1.0837e-11,0,0,0,2.262e-14,0,1.047e-15,4.996e-20,0,0,3.0896e-09,0.042897000000000005,2.2904000000000002e-11,6.757500000000001e-15,0.22274000000000002,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,-5.759792873245669
6,8.9669e-14,0.034677,5.2305999999999995e-06,0,1.1319,0,1.0494,0.6232300000000001,8.3262e-14,0,0,0,1.1579,0,0.08656699999999999,8.716e-13,0,0,0.38548000000000004,0.26049,0.00083567,3.1868000000000003e-10,0.46385,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,6.59161773115502
7,0.42227,0.61023,1.7987999999999999e-13,0,1.2898,0,1.3721,0.8839299999999999,0.41852,0,0,0,7.065300000000001e-11,0,1.0613e-09,7.5153e-05,0,0,0.38161999999999996,1.2232,3.3521e-11,3.2006999999999995e-09,0.07120499999999999,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,3.2645661426887593
8,0.0024388,0.8124100000000001,5.303099999999999e-10,0,0.017047,0,0.87874,0.8185600000000001,1.0936,0,0,0,0.81519,0,2.7265e-07,2.2820000000000002e-11,0,0,2.5843e-06,7.157100000000001e-05,8.569499999999999e-19,6.3573999999999996e-09,0.45216000000000006,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,5.995635476672365
9,0.17976,3.9405e-20,2.4247e-11,0,3.4381e-14,0,2.227,2.6962,7.6101e-20,0,0,0,5.8422e-05,0,1.0809,2.0512,0,0,1.2422,3.6516999999999996e-05,0.00050457,5.731700000000001e-20,3.3764e-13,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,5.660986783298142
10,7.9309e-05,2.1555e-06,0.038096,0,0.8952399999999999,0,1.0070000000000001,0.13801,8.2848e-12,0,0,0,0.41813999999999996,0,3.9573e-09,0.00038751,0,0,4.2093e-11,6.6791999999999995e-06,0.0070863,1.2124e-07,0.54348,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,7.770931226870398
