,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,6.2041e-10,0.17640999999999998,0.00083691,0,0.48693000000000003,0,0.31533,0,0,1.7762e-10,1.4044999999999999e-06,0,0,0,0,5.4982e-12,0,1.1321,0,0,0.00028856,1.18e-08,0.47341000000000005,0.038667,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,25.24255423170082
1,0.21170999999999998,8.184000000000001e-07,1.6109000000000002e-07,0,0.24222,0,0.74059,0,0,0.24481,0.00023501,0,0,0,0,9.8632e-12,0,0.8479200000000001,0,0,7.0018e-07,3.4509e-08,0.16713,0.53499,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,24.615981178164752
2,0.043996,8.436700000000001e-07,3.4621e-06,0,1.2636e-08,0,0.011382999999999999,0,0,3.9092e-07,4.6156000000000005e-09,0,0,0,0,1.4630000000000001e-12,0,1.0364,0,0,0.0037164000000000003,0.00011349,0.33276999999999995,0.5978,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,25.64690484782708
3,7.5697e-08,0.0059226999999999995,1.0523999999999999e-06,0,7.1992e-06,0,0.54996,0,0,1.2733e-07,0.16613,0,0,0,0,8.5671e-12,0,1.0003,0,0,1.2006e-05,1.4965000000000002e-10,0.22585,0.35539,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,24.941589373542204
4,0.003899,1.3225e-07,0.00014407,0,1.251e-07,0,0.63297,0,0,0.036197,0.091945,0,0,0,0,3.6942e-05,0,0.73729,0,0,0.025883,4.8597e-09,0.95296,0.10909,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,26.390041292240202
5,0.021375,0.00083671,3.1194e-09,0,9.0822e-09,0,0.6734899999999999,0,0,0.25963,2.5806e-08,0,0,0,0,5.1476000000000004e-11,0,1.0074,0,0,1.0679e-07,9.0318e-10,0.0066464,0.77681,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,24.397518174879583
6,1.7522000000000002e-09,0.00059959,1.9494999999999998e-10,0,0.049773000000000005,0,1.1264,0,0,0.013071000000000001,0.0033021,0,0,0,0,5.5423e-12,0,1.0683,0,0,6.752699999999999e-08,3.932e-06,0.007264499999999999,0.32008000000000003,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,23.866128211907842
7,0.00015460000000000002,0.58149,8.7619e-06,0,0.10922,0,0.010438,0,0,0.1995,0.092021,0,0,0,0,3.3196e-11,0,1.0742,0,0,5.8138999999999993e-05,1.3112e-05,0.2319,0.55471,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,25.367113372678915
8,0.014458000000000002,0.022113999999999998,6.1696e-06,0,0.4686,0,0.38175,0,0,0.23156,0.76568,0,0,0,0,0.0056022,0,1.1623,0,0,6.401300000000001e-11,1.1554000000000002e-05,0.093986,0.80448,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,24.44567773701252
9,0.79789,1.2763e-07,0.0026086,0,0.3993,0,0.001419,0,0,2.0148e-09,2.3463e-10,0,0,0,0,1.3957e-07,0,0.99759,0,0,0.033632,8.186100000000001e-05,0.42478,0.32703000000000004,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,25.5543894308497
