,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,2.1506000000000002e-06,0.041033,0.083294,0,0.56313,0.17524,0.11699000000000001,0,0,4.1882e-07,0.0022264,0,0,0,7.1909e-06,5.7353e-12,0.13425,1.0669,0,0,0.0052508,3.1276e-08,0.40928000000000003,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,31.045556898793233
1,0.71025,2.0225e-08,2.4281e-08,0,0.00010063,0.022938999999999998,0.80782,0,0,0.022882,0.0059001,0,0,0,3.8946e-07,9.8872e-08,0.25492,1.2022,0,0,4.3369e-09,4.872400000000001e-10,0.009923600000000001,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,30.284271136958143
2,3.4347e-12,0.37281,0.45493,0,1.0471,1.3880000000000001,9.412700000000001e-07,0,0,8.3996e-21,0.0011703,0,0,0,1.0558,1.3262000000000001e-22,4.523399999999999e-15,1.4983,0,0,1.7523e-12,5.6092e-20,1.4455999999999998e-09,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,34.29996351454098
3,3.604e-08,0.013498,3.5586e-06,0,5.0622e-07,0.23173000000000002,0.71608,0,0,7.616199999999999e-10,0.37845,0,0,0,8.193299999999999e-09,2.4115e-10,0.0013049000000000001,1.0542,0,0,1.2045e-05,8.7392e-08,0.17155,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,30.34371657018692
4,5.7532e-05,0.1488,7.586600000000001e-05,0,0.48615,0.19955,0.45755,0,0,0.12222000000000001,1.2845e-05,0,0,0,0.0094479,1.5921e-05,0.00908,0.76789,0,0,3.8478e-06,2.4897e-06,0.63583,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,31.60972479500464
5,0.43846,0.00080121,1.3190999999999999e-10,0,0.0004673999999999999,0.35508,0.7027100000000001,0,0,0.040057999999999996,1.3415e-08,0,0,0,6.8633e-07,5.0711999999999996e-11,2.6107999999999996e-06,1.1098,0,0,9.9935e-11,2.4768e-10,0.32539,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,30.17338582889232
6,4.073699999999999e-09,0.18112999999999999,0.02391,0,0.22188000000000002,0.70701,0.087743,0,0,0.015411000000000001,4.2208999999999994e-07,0,0,0,0.00033533,1.3318e-10,0.009435899999999999,0.73849,0,0,0.0029713,3.8598e-05,0.3605,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,30.470318675906398
7,3.8504e-05,0.31256999999999996,5.0067e-08,0,0.33358000000000004,0.40962,0.2124,0,0,0.23225,0.010451,0,0,0,2.1122e-12,5.3138e-14,1.225e-08,1.2328,0,0,9.3655e-10,4.0668e-09,0.078159,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,29.76397515461174
8,0.11235,0.30017,0.00071572,0,0.014502000000000001,0.5092399999999999,0.11112000000000001,0,0,0.33144,0.1908,0,0,0,0.043273,1.2545999999999999e-08,1.1157999999999999e-05,1.2393,0,0,4.2124e-11,9.584e-09,0.58308,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,30.8343341113096
9,0.8319,0.0030745,0.00079373,0,0.00067791,0.15462,0.179,0,0,4.1909e-11,3.1993000000000004e-11,0,0,0,0.075766,3.3305999999999996e-05,0.0016959,0.9919899999999999,0,0,9.5741e-05,2.1459999999999998e-08,0.5273899999999999,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,32.23974099313224
