,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,2.7517e-07,8.5748e-06,0.0021058000000000006,0,0.13272,0,0,0,0.33395,0,0,0.70998,0.5291399999999999,0.00014105,0.021837,5.5938e-14,0,0,0,0,0.036003,3.5833e-07,0.51071,0,0.045212999999999996,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1.0655545929758672
1,3.3549e-05,4.316e-05,0.40606,0,0.22163000000000002,0,0,0,2.647e-05,0,0,0.38599,6.007e-06,0.61226,0.17278,2.1432e-14,0,0,0,0,6.3895e-05,1.1147999999999999e-05,0.84383,0,0.5938899999999999,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,13.582731025999292
2,6.9208e-09,0.13099,0.019672,0,0.50261,0,0,0,0.20765999999999998,0,0,0.04242,0.48499,5.661600000000001e-13,0.00046296,2.5144000000000003e-07,0,0,0,0,0.0053333,0.041927,1.0135,0,0.51227,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,6.951693833166974
3,5.5441000000000007e-11,0.30399,0.018128000000000002,0,0.64605,0,0,0,0.34056,0,0,0.65564,0.25356,2.1002e-11,3.302e-12,3.8348e-06,0,0,0,0,8.672100000000001e-11,4.3292000000000004e-07,0.71378,0,4.0882000000000004e-10,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1.1312675879747758
4,9.920800000000001e-11,0.004407899999999999,3.1206999999999996e-08,0,0.36884,0,0,0,0.15911,0,0,0.28078000000000003,0.5152800000000001,5.8033e-12,2.5179e-11,6.6095e-08,0,0,0,0,0.00048600000000000005,0.00035914,0.9053100000000001,0,0.0016695999999999998,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,2.27804480244561
5,4.4148e-10,0.10494,0.00077707,0,0.8336600000000001,0,0,0,0.15423,0,0,0.5372,5.154299999999999e-10,1.7587e-08,4.1039e-06,3.9454e-12,0,0,0,0,1.0408e-10,5.7031e-05,1.099,0,0.7477,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,7.847055386385169
6,7.925399999999999e-15,6.4862e-08,0.22795,0,0.2692,0,0,0,0.055907000000000005,0,0,1.2024,0.56757,0.00014397,1.3059,1.0270000000000001e-16,0,0,0,0,1.5192999999999998e-07,9.9139e-12,0.016116,0,4.4651e-06,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,7.592000611519369
7,0.17979,0.018763,0.43343999999999994,0,0.024084,0,0,0,0.5508,0,0,0.031262,0.16762,9.599100000000001e-05,0.37011,0.00012621,0,0,0,0,1.3906e-06,6.3795e-05,0.7216,0,0.20149,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,5.562250701109946
8,0.00021903,9.8701e-05,3.0349e-05,0,0.40369,0,0,0,1.6371e-08,0,0,0.57623,0.68423,5.4687e-11,1.6242e-09,1.9667e-08,0,0,0,0,0.0041917000000000005,3.3819999999999994e-08,0.98072,0,0.0024822,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,2.660514214382612
9,2.5027e-10,0.0026496,0.024996,0,8.612e-06,0,0,0,0.063523,0,0,0.39450999999999997,1.4691e-06,0.0024005,0.0013785,5.9934e-09,0,0,0,0,0.54593,3.8231e-09,1.0279,0,0.31555,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,7.491536091497455
