,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,3.455e-05,1.5308e-07,1.9907e-05,0,0.048917,0,0,0,0,0,0,0,0,5.2675e-05,0,2.3469e-14,0,1.0428,3.0103000000000002e-09,0,9.844299999999999e-05,8.5e-07,0.80423,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.41453664404632
1,0.62892,4.0924000000000003e-10,0.00022515,0,6.3954e-08,0,0,0,0,0,0,0,0,0.021285,0,3.4014000000000003e-07,0,1.1549,0.0001381,0,4.4632e-06,4.2623e-06,0.5566300000000001,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.368962086727926
2,1.6622e-07,0.00027267,0.20345,0,0.0012882,0,0,0,0,0,0,0,0,1.9265999999999998e-10,0,5.1637e-11,0,1.0236,0.00020455,0,1.9668e-05,5.2853000000000004e-05,0.6583100000000001,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.749871334626796
3,2.4182e-08,0.052738,4.3056000000000005e-09,0,0.23726,0,0,0,0,0,0,0,0,2.2158e-06,0,1.0284000000000001e-11,0,1.2299,3.5348000000000006e-10,0,1.4309e-06,2.3406e-10,0.61546,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.23074514060031
4,6.772999999999999e-06,3.4282e-08,0.0025694000000000003,0,0.25428,0,0,0,0,0,0,0,0,2.2890000000000002e-08,0,1.8632e-05,0,1.18,2.0145e-07,0,1.4062000000000002e-07,1.0691999999999999e-08,0.81109,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.21274914849239
5,0.25966,0.023387,7.760700000000001e-10,0,0.17882,0,0,0,0,0,0,0,0,7.0497e-10,0,2.8933e-11,0,1.0661,7.905e-09,0,1.8155e-08,1.121e-07,0.74426,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.02526237291468
6,1.9835e-10,0.0010509,6.4398e-08,0,0.1292,0,0,0,0,0,0,0,0,2.9213999999999997e-06,0,9.0383e-12,0,1.136,1.0825e-09,0,1.5208000000000001e-06,1.2122e-06,0.70829,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.82388097482499
7,0.0001616,0.4998,0.00055777,0,0.0010178,0,0,0,0,0,0,0,0,0.11812,0,8.5058e-08,0,1.2343,0.00019105,0,3.4303e-09,0.0006309999999999999,0.30275,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.08269826036309
8,0.09983,1.5548e-07,9.6222e-05,0,0.08127899999999999,0,0,0,0,0,0,0,0,5.1985e-10,0,1.4052e-07,0,1.2923,6.4678e-07,0,0.0015699000000000002,1.0869e-08,0.77047,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.01812987683572
9,0.76975,7.559899999999999e-05,0.018128000000000002,0,0.39166999999999996,0,0,0,0,0,0,0,0,3.241e-10,0,2.0492e-08,0,0.99523,1.5453999999999998e-06,0,0.073511,2.2229e-05,0.45338999999999996,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,40.017803752900626
10,0.6490100000000001,0.004139899999999999,0.019721000000000002,0,0.096482,0,0,0,0,0,0,0,0,0.17637,0,4.15e-10,0,0.86755,1.1514e-05,0,0.00017609,6.9345e-09,0.6509999999999999,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,43.60392138120469
11,0.087559,0.16280999999999998,2.6765e-05,0,0.60519,0,0,0,0,0,0,0,0,1.5386e-08,0,1.5150999999999998e-08,0,1.3738,1.9968e-07,0,1.8494e-05,1.0559e-09,0.34187,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,39.559908628911586
12,0.60602,3.3288e-09,0.3109,0,6.450399999999999e-05,0,0,0,0,0,0,0,0,1.4826e-10,0,1.0065e-11,0,0.90751,1.1289e-09,0,1.0099e-12,1.151e-05,0.67674,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.9333614884488
13,0.6918,0.12514,0.11245,0,0.093069,0,0,0,0,0,0,0,0,4.6889e-05,0,5.0303999999999995e-09,0,0.79988,6.3937e-08,0,0.0030381,2.6242e-10,0.35991999999999996,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,40.400841502596144
14,4.4833e-10,7.9519e-08,1.7219000000000002e-05,0,6.0164e-08,0,0,0,0,0,0,0,0,3.2139e-06,0,4.1176999999999996e-10,0,1.1441,7.9692e-10,0,2.6082e-06,9.4276e-09,0.94471,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,43.046169608794465
15,0.32079,0.059955999999999995,0.0019582000000000002,0,6.261899999999999e-09,0,0,0,0,0,0,0,0,1.64e-06,0,4.0873e-08,0,1.045,2.2944000000000003e-05,0,0.00048241,9.0772e-06,0.58878,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.39084840258762
16,0.022326,9.834500000000001e-09,0.02114,0,1.0874e-06,0,0,0,0,0,0,0,0,3.777e-09,0,1.344e-10,0,1.0312,2.1978000000000002e-05,0,1.1686e-05,7.3489999999999994e-06,0.61812,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.548058024237385
17,0.77678,8.7876e-06,0.35991,0,7.463600000000001e-07,0,0,0,0,0,0,0,0,0.14418,0,6.8014e-13,0,1.3461,2.4903e-10,0,7.0428e-05,3.6952e-08,0.21334,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,40.81396821853013
18,0.37898000000000004,1.4968e-06,0.00019446,0,0.23718000000000003,0,0,0,0,0,0,0,0,9.3625e-12,0,8.5017e-14,0,1.0011,1.2380999999999998e-10,0,3.6749e-06,1.6783000000000002e-11,1.0123,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,43.34676926252598
19,0.29567,2.4937e-05,9.711499999999999e-09,0,0.53428,0,0,0,0,0,0,0,0,7.1109e-07,0,2.9027e-08,0,0.93861,6.1638999999999995e-06,0,9.491200000000001e-09,1.5634999999999997e-08,0.8043399999999999,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.205130865825964
20,0.00030207,8.9473e-06,0.0050972000000000005,0,2.2513e-06,0,0,0,0,0,0,0,0,1.0890999999999998e-11,0,1.9648e-06,0,1.1917,1.9695e-07,0,0.00011733,2.1573e-11,0.84016,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.49808532768145
21,0.39224000000000003,1.5369000000000002e-07,6.8747e-08,0,0.043982,0,0,0,0,0,0,0,0,5.693899999999999e-09,0,4.9072e-09,0,0.94127,4.4867e-08,0,2.5209000000000003e-09,7.6084e-07,0.73658,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.17046318696168
22,0.0069483,0.12586,1.0159e-05,0,0.0013198,0,0,0,0,0,0,0,0,2.4637000000000002e-06,0,0.0014550999999999998,0,1.1549,1.9025e-05,0,0.00028562,1.5743000000000001e-06,0.83335,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.49273368819172
23,0.63164,0.022093,0.00040365,0,0.17085,0,0,0,0,0,0,0,0,0.56425,0,0.011705,0,0.82186,2.7455e-09,0,0.93111,6.105499999999999e-06,0.033298,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,38.007302593793526
24,7.3881e-06,0.004301,4.631e-05,0,0.13458,0,0,0,0,0,0,0,0,0.00077483,0,2.5771e-09,0,1.1256,5.4327e-06,0,1.4205e-07,2.4932e-06,0.61432,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.37973129358776
25,0.36795,0.00018028,2.6226999999999998e-05,0,0.17817,0,0,0,0,0,0,0,0,0.085796,0,0.00010090000000000001,0,1.0363,1.7556e-06,0,1.6824000000000001e-09,6.465e-10,0.38416999999999996,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.18438685421217
26,0.28775,0.00023096,2.8889e-06,0,0.5657800000000001,0,0,0,0,0,0,0,0,0.017134,0,0.00082549,0,0.855,2.9663e-07,0,0.46103,0.00015625,0.24569000000000002,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,36.45024826391829
27,1.0011000000000001e-07,2.7397e-07,0.00083114,0,0.093987,0,0,0,0,0,0,0,0,1.5041999999999998e-10,0,6.030699999999999e-07,0,1.331,2.8407e-08,0,2.6594000000000003e-08,6.791500000000001e-10,0.9581299999999999,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.90353337421253
28,0.30109,2.1901999999999997e-09,3.2812e-09,0,0.38251999999999997,0,0,0,0,0,0,0,0,0.39876999999999996,0,8.2538e-12,0,1.0721,7.098300000000001e-05,0,0.089193,2.6973e-05,0.0021129,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.77702959902327
29,0.18664,0.019407,0.00060849,0,0.35731,0,0,0,0,0,0,0,0,0.00062662,0,1.8752e-05,0,0.9588,9.893e-07,0,4.5311000000000005e-11,0.023258,0.73222,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.42562840378424
30,0.22654000000000002,0.049451,0.16816,0,0.0039473,0,0,0,0,0,0,0,0,0.04553,0,3.5689e-12,0,0.9329700000000001,0.0044785,0,0.6015699999999999,4.9898e-07,0.42589,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,36.89992728182009
31,0.30774,2.0951e-07,0.13421,0,0.28541,0,0,0,0,0,0,0,0,0.37464000000000003,0,2.4692e-07,0,1.1933,3.1729e-08,0,2.6554e-05,8.1214e-06,0.32605,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,43.69605295591529
32,1.4043e-06,4.9056e-08,0.0042952,0,0.25798000000000004,0,0,0,0,0,0,0,0,0.0014085,0,8.552299999999999e-11,0,1.2656,2.5919e-10,0,2.3571e-08,4.0647e-06,0.73118,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.76713376899883
33,0.047486,2.4258e-06,0.050425,0,0.6219399999999999,0,0,0,0,0,0,0,0,0.14078,0,8.7728e-08,0,1.1736,3.8656e-09,0,3.766e-05,6.023400000000001e-06,0.21005,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,40.52545234559507
34,1.2367e-06,1.646e-09,3.1085e-09,0,0.37265,0,0,0,0,0,0,0,0,1.0039e-08,0,1.3109e-09,0,1.1144,0.062179,0,0.014586000000000002,1.6792e-07,0.47413999999999995,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,40.450916035659056
35,0.40625,6.309e-08,6.557899999999999e-05,0,0.0018629999999999999,0,0,0,0,0,0,0,0,3.9014e-06,0,4.6053e-12,0,1.1848,1.7015e-08,0,0.00069011,1.0454000000000002e-10,1.0989,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,43.75767121780263
36,8.6654e-11,1.9074999999999998e-07,0.0045751,0,2.0659000000000003e-07,0,0,0,0,0,0,0,0,3.8222e-07,0,1.4262999999999999e-05,0,1.099,8.2133e-06,0,0.00099126,2.8738e-06,0.82411,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.48872353852275
37,1.8297999999999998e-06,0.080977,5.4059e-06,0,1.0091e-06,0,0,0,0,0,0,0,0,1.7652e-09,0,1.0164999999999998e-11,0,0.8865799999999999,4.279600000000001e-07,0,2.1374000000000003e-07,5.4902e-08,0.7498199999999999,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.3057129905751
38,0.0092092,0.0020328,1.6295999999999998e-05,0,0.1698,0,0,0,0,0,0,0,0,0.36794,0,0.0047049,0,0.9358700000000001,5.8596e-10,0,2.4235999999999998e-09,0.00011082,0.69189,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,45.68742973501287
39,0.14609,0.0030456,2.2759999999999997e-08,0,0.055245,0,0,0,0,0,0,0,0,1.2295e-09,0,4.6318e-08,0,0.92769,1.6513e-08,0,0.26192,3.093e-08,0.77353,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,40.49951168822735
40,0.24266999999999997,8.361399999999999e-07,1.4829e-07,0,0.41501000000000005,0,0,0,0,0,0,0,0,0.2105,0,1.1612999999999999e-11,0,1.0327,3.4656999999999997e-09,0,0.00036098,6.5395e-07,0.45555,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.67785390094149
41,0.50338,9.7785e-12,0.0017087,0,0.059691999999999995,0,0,0,0,0,0,0,0,0.0084045,0,3.3645999999999994e-10,0,0.83234,0.019952,0,1.1006e-06,0.25927,0.48785,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,46.409833192332044
42,0.12272999999999999,7.159500000000001e-06,0.00050141,0,0.26853,0,0,0,0,0,0,0,0,5.8095e-07,0,3.1674e-12,0,1.1847,7.2271e-08,0,0.00012741,0.00085323,0.66335,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.497832398756664
43,1.5424e-07,1.8391e-05,0.029450999999999998,0,0.31806999999999996,0,0,0,0,0,0,0,0,0.023433000000000002,0,5.3646e-12,0,1.2477,2.1494e-07,0,0.064439,7.5161e-07,0.47308,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,40.260412632853466
44,0.38665,0.00030627,0.29377,0,0.29683000000000004,0,0,0,0,0,0,0,0,2.3514e-07,0,3.3808999999999997e-06,0,0.9460200000000001,4.4673000000000004e-05,0,0.0032623000000000005,0.00073183,0.40166999999999997,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,40.37530724045008
45,0.0024906999999999998,0.03283,0.21327,0,6.2728e-05,0,0,0,0,0,0,0,0,1.2898000000000001e-11,0,2.5380999999999997e-09,0,1.2028,5.6137e-05,0,5.0693000000000004e-05,1.3342999999999998e-09,0.76507,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.124130353693545
46,2.1404e-06,4.184600000000001e-09,0.00087888,0,3.585e-08,0,0,0,0,0,0,0,0,9.940899999999999e-11,0,8.123600000000001e-10,0,1.214,2.2486e-08,0,7.9603e-11,2.3262000000000002e-10,0.8102699999999999,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.33544705678829
47,0.040267000000000004,0.0028951999999999997,0.012023,0,8.7544e-09,0,0,0,0,0,0,0,0,1.2301e-06,0,6.2108e-12,0,1.1095,7.1211e-08,0,9.073200000000001e-07,1.9932000000000001e-07,0.66645,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.71995931864185
48,0.19489,0.09589400000000001,0.21736999999999998,0,0.0011332,0,0,0,0,0,0,0,0,3.5410000000000004e-08,0,2.0082e-07,0,1.0993,3.0604000000000004e-06,0,0.00082852,6.2054e-08,0.20181,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,39.46046588824292
49,0.30532,0.029692000000000003,0.012712000000000001,0,5.8972999999999995e-09,0,0,0,0,0,0,0,0,0.76203,0,4.584e-08,0,0.8895,1.8399e-08,0,0.009238600000000001,5.688e-06,0.8241700000000001,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,50.478458352024326
50,0.091159,0.016544,5.9467999999999995e-06,0,0.36503,0,0,0,0,0,0,0,0,0.24472,0,8.5199e-07,0,1.0121,0.0001226,0,7.9322e-12,1.1164000000000002e-11,0.6545300000000001,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,44.049467711900796
51,0.26761999999999997,0.008184,0.034795,0,0.0011029000000000002,0,0,0,0,0,0,0,0,0.012028,0,5.8517e-08,0,1.2885,1.3866e-07,0,1.3844e-09,4.8966e-06,0.27824,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,39.809942324116946
52,0.022133,0.0044248000000000004,3.0651e-06,0,0.24803000000000003,0,0,0,0,0,0,0,0,6.962300000000001e-10,0,4.0567e-10,0,1.1674,2.7875e-10,0,0.00096515,1.8663e-08,0.79051,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,42.11972795812095
53,1.3291,7.113200000000001e-07,0.0014665,0,6.6374e-09,0,0,0,0,0,0,0,0,0.00097881,0,6.3039e-13,0,1.0269,3.484200000000001e-10,0,0.00046362,9.981799999999999e-11,0.61715,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,41.55358064359802
