,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0.54677,1.3008e-05,0.11505,0,0,0.35745,0,3.0852999999999997e-10,0,0.00031517,0,0,0,0.0090945,0,1.6857e-06,0.0013322000000000002,1.0066,0,0,0.12613,2.3395999999999998e-05,0.24158000000000002,0,1.9269000000000002e-08,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,22.466412340714204
1,0.24844000000000002,2.1666e-10,4.3978000000000004e-07,0,0,0.45632,0,0.11375,0,0.0089085,0,0,0,0.091731,0,9.0711e-08,6.4099e-05,1.1534,0,0,2.3721e-06,2.9985e-07,0.56147,0,0.31761,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,26.607603191081576
2,1.6669e-07,0.21724000000000002,0.20027,0,0,0.45056,0,0.011869,0,3.1459000000000005e-09,0,0,0,1.568e-09,0,2.5459e-10,3.607e-09,1.1397,0,0,6.4347e-08,1.2482e-07,0.41294,0,0.047143,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,22.835811034436972
3,5.0769e-10,0.0089505,6.1219e-07,0,0,0.32041,0,4.3098e-06,0,0.00011762,0,0,0,0.009031,0,7.9317e-12,0.00084879,1.0747,0,0,0.00023343,1.2678e-07,0.47933000000000003,0,0.00093777,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,23.14488221871056
4,0.42089,2.9694e-06,0.00015287,0,0,0.38268,0,6.434000000000001e-11,0,0.23492,0,0,0,2.0580999999999997e-11,0,6.7287e-07,0.10078,1.1941,0,0,5.9711e-06,1.9933e-07,0.7669100000000001,0,0.00011678,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,23.139683954085626
5,0.23331999999999997,7.573600000000001e-05,1.2868e-09,0,0,0.56621,0,3.8425e-05,0,0.2731,0,0,0,8.781299999999999e-07,0,5.5608000000000005e-11,0.00096129,0.87944,0,0,7.679700000000001e-08,1.7288e-08,0.30291,0,0.54427,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,28.363970928084473
6,2.6161e-09,0.00051063,0.05342,0,0,0.42193,0,0.047129000000000004,0,0.0011887,0,0,0,4.1048e-07,0,8.1008e-13,0.0020818,0.8695299999999999,0,0,0.19149000000000002,1.5546e-05,0.66842,0,0.097954,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,24.318600022163167
7,0.58954,8.132000000000001e-06,1.9802e-08,0,0,0.71275,0,1.613e-06,0,0.13246,0,0,0,0.009824700000000002,0,1.9023e-12,0.0023136999999999997,0.7960699999999999,0,0,1.4032e-06,4.359e-11,0.61542,0,0.0012910999999999999,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,23.347121331713915
8,0.2154,0.05148,0.088604,0,0,0.35055,0,0.26807,0,0.19649,0,0,0,3.5644e-07,0,6.902600000000001e-11,1.6265e-05,1.1485,0,0,0.00025897,2.6111e-08,0.638,0,0.02428,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,22.609105384551636
9,0.26744,0.006332,0.00079327,0,0,0.41575,0,0.29930999999999996,0,7.5893e-11,0,0,0,4.0956e-08,0,7.326e-06,0.00063095,1.0582,0,0,0.0010205,6.218699999999999e-07,0.028294,0,0.60561,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,27.416406805203966
