,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,1.4468e-05,7.5558e-08,0.012787999999999999,0,0,0,0,0,0.31495,6.363e-09,0.12877,0.76069,0.49172,2.066e-09,0,3.5791e-13,0,0,0,0.014291,0.00015201,2.016e-06,0.47938000000000003,0,0.075818,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1.83589298801098
1,0.00062489,7.3403e-08,0.19138,0,0,0,0,0,0.0025666,0.076013,0.00046646,0.57615,4.0452e-09,0.47265,0,6.4935e-12,0,0,0,0.33298,0.17146,0.00075257,0.84044,0,0.31390999999999997,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,10.280308764697335
2,5.7312e-07,0.33666999999999997,0.13674,0,0,0,0,0,0.0071790000000000005,0.31721,0.00040657,0.00054923,0.66588,3.0739e-12,0,0.00014738,0,0,0,2.7461e-05,0.2644,0.0010817000000000001,1.1006,0,9.3259e-08,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,4.306399336194151
3,2.9720000000000003e-12,1.2244e-10,1.9413e-09,0,0,0,0,0,0.23078,0.01444,1.2424999999999999e-08,0.52275,0.52553,2.5581999999999997e-07,0,0.00054245,0,0,0,0.15623,0.004116399999999999,0.00017353,0.6198899999999999,0,2.4232e-08,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1.5386414608415908
4,6.4365e-07,9.999e-05,0.032539,0,0,0,0,0,0.38364000000000004,0.0014533,7.2304e-07,0.6874399999999999,0.5514100000000001,3.9033999999999997e-10,0,3.1693e-10,0,0,0,0.14432,0.07506399999999999,0.0053048,0.52531,0,0.00021062,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,2.1392859829235036
5,3.5056999999999994e-07,0.04585,0.070069,0,0,0,0,0,0.0039069000000000005,0.13823,0.0029138000000000002,0.63661,0.011696999999999999,5.5694e-08,0,1.2227e-08,0,0,0,3.4853e-09,3.9133e-09,4.2722e-09,1.1907,0,0.17922000000000002,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,3.1497823183788203
6,1.5763e-07,3.2294e-08,3.3310000000000004e-06,0,0,0,0,0,0.073372,1.3151e-06,0.30749,0.68602,0.035345999999999995,0.38177,0,1.0548000000000001e-10,0,0,0,0.15843,0.0082534,0.00062066,0.644,0,0.12165,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,6.373475845135179
7,0.23276999999999998,3.7532999999999996e-08,0.05181,0,0,0,0,0,0.42448,0.00010669999999999999,0.16202,0.19471,7.21e-07,0.0055525,0,3.3043e-05,0,0,0,0.7096399999999999,0.00024112,6.0183e-05,1.2245,0,0.013802000000000002,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,2.2629294679828256
8,0.013311000000000002,0.034227999999999995,0.061357,0,0,0,0,0,0.13258,0.2107,1.9384e-05,0.34491,0.6201,3.9191e-09,0,1.6617e-08,0,0,0,0.17248,0.0026838,4.3529e-06,1.0524,0,0.00024304,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1.903757748922331
9,4.2582999999999997e-10,0.0030989,0.023504,0,0,0,0,0,0.069385,0.00042913,4.6192e-08,0.39482,3.7134e-06,0.0020417,0,5.4231000000000004e-09,0,0,0,6.0613e-08,0.55104,5.484299999999999e-09,1.0253,0,0.30774,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,8.873574573772334
10,0.0073729,0.00032587,0.0046786,0,0,0,0,0,2.5003e-06,1.7898e-11,0.0039228,0.0042393,0.76879,0.0093619,0,0.00066388,0,0,0,0.16652,0.013563999999999998,0.0005995,0.86324,0,1.8678e-06,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1.964788781875587
11,0.007331600000000001,8.7049e-06,0.26971999999999996,0,0,0,0,0,1.0876e-06,1.0918000000000001e-14,1.2680999999999998e-09,0.2933,0.56926,1.5703e-07,0,0.0001338,0,0,0,2.4241999999999995e-09,0.41706000000000004,0.0010194,0.75715,0,0.0030163,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,5.426609759373617
12,0.4495,0.087355,2.4671e-06,0,0,0,0,0,0.0011942,0.009304399999999999,0.30304000000000003,9.4335e-08,0.48713999999999996,5.2153e-06,0,1.7849e-13,0,0,0,0.1447,2.2516e-12,2.6027999999999997e-08,1.1272,0,6.2201e-11,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1.9522594435246123
13,8.2128e-09,0.14501,0.010771,0,0,0,0,0,0.51845,4.0779000000000004e-05,2.3026e-09,0.6778,0.47284,1.075e-05,0,6.412999999999999e-06,0,0,0,0.00032309,0.00031649,2.1754e-06,1.0005,0,0.00088105,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1.744790716918681
14,0.02102,3.3524000000000003e-06,2.2519e-06,0,0,0,0,0,0.16475,0.32616,2.0538000000000003e-11,2.9168e-09,0.58859,1.3058e-12,0,1.2772e-15,0,0,0,7.401100000000001e-05,1.4264000000000002e-09,2.7403e-09,1.1663,0,0.2716,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,3.714863463617945
15,0.011575,0.26507,3.4687e-06,0,0,0,0,0,4.593e-05,1.2619e-05,8.3757e-08,1.4135000000000001e-09,0.55658,0.23078,0,1.2720999999999999e-05,0,0,0,0.6151,0.00030925,8.244200000000001e-07,0.6835399999999999,0,0.084733,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,4.646441571468978
16,0.2109,7.4827e-07,1.3836000000000002e-06,0,0,0,0,0,0.1016,5.1526e-05,0.013761,0.4259,0.48571000000000003,3.0489000000000002e-05,0,2.4014e-06,0,0,0,0.0039832,0.55556,6.0541000000000004e-09,0.91122,0,0.3017,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,8.755326825819086
17,0.00041479999999999995,8.3443e-08,0.22409,0,0,0,0,0,3.2689e-05,0.01172,0.09624400000000001,0.8892700000000001,0.26109,0.06788999999999999,0,3.2952e-13,0,0,0,0.035791,8.0078e-05,1.1403000000000001e-08,0.65874,0,4.8214999999999995e-06,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,2.2379364656825125
18,0.015031999999999998,2.2917e-06,0.00052975,0,0,0,0,0,0.11510999999999999,7.5793e-05,0.15865,1.2444000000000002e-07,0.67027,4.5242e-09,0,2.8213000000000003e-13,0,0,0,0.15759,0.24320999999999998,1.0125e-09,1.048,0,2.6841e-09,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,4.081116581522441
19,5.4458999999999995e-05,0.004100199999999999,3.858e-06,0,0,0,0,0,1.944e-05,0.006352399999999999,0.16297999999999999,0.74382,0.0057182,0.23546,0,1.4539999999999999e-12,0,0,0,0.39307,0.026413,6.1006e-06,0.8247899999999999,0,0.055399000000000004,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,4.801304268072844
20,5.7366000000000006e-05,0.012166,0.19309,0,0,0,0,0,0.20209000000000002,2.2179999999999998e-11,0.43978,0.51583,0.0012205999999999999,1.5288e-10,0,0.00013109,0,0,0,1.1512e-06,0.32921,1.6366e-05,0.81293,0,0.007606,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,4.664862050983881
