,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,2.2595e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.046,0,0,0,0,0.80157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.268692475787944
1,0,2.5420999999999997e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1319,0,0,0,0,0.9408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.946254639739244
2,0,3.0211e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1005,0,0,0,0,0.77653,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.14683542927972
3,0,0.0040861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0129,0,0,0,0,0.8348200000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.43050345008501
4,0,1.9610999999999998e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2001,0,0,0,0,0.8744200000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.623216670601224
5,0,0.0016034000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2506,0,0,0,0,0.73069,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,39.92375527704581
6,0,0.00047215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0879,0,0,0,0,0.75662,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.04994350452018
7,0,0.11918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2026,0,0,0,0,0.61697,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,39.370337412472495
8,0,3.7585e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.227,0,0,0,0,0.78667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.19618169332099
9,0,0.017399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2276,0,0,0,0,0.94375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.96061080136861
10,0,0.025347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9967,0,0,0,0,0.7892899999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.20893191144605
11,0,0.14055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4135,0,0,0,0,0.86823,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.593093063656895
12,0,1.4072e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1022,0,0,0,0,0.8937700000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.71738335789891
13,0,0.14501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2193,0,0,0,0,0.86046,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.555280393873794
14,0,1.3719e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1441,0,0,0,0,0.94463,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.96489331738008
15,0,0.090826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0598,0,0,0,0,0.57596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,39.170762433347
16,0,4.1026e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0454,0,0,0,0,0.65705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,39.565386550813145
17,0,5.3437e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1844,0,0,0,0,0.83586,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.4355646053713
18,0,0.00024391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2154,0,0,0,0,0.70622,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,39.804672132954096
19,0,1.7330000000000002e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.089,0,0,0,0,0.8960100000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.72828430774629
20,0,7.506800000000001e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1937,0,0,0,0,0.8412200000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.461649021077534
21,0,3.1434e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888899999999999,0,0,0,0,0.8065100000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.292732963397796
22,0,0.13257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1564,0,0,0,0,0.8356899999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.43473730114181
23,0,1.9019e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1949,0,0,0,0,0.7602800000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.06775487793153
24,0,0.006564100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0542,0,0,0,0,0.7288399999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,39.91475226043078
25,0,0.08166699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0551,0,0,0,0,0.6237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,39.40308892696932
26,0,0.0041348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1223,0,0,0,0,0.7571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40.05227942234462
27,0,6.704099999999999e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2955,0,0,0,0,1.0292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,41.37645283907341
