,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,5.4628e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0482,0,0.023572,0,1.739e-06,0.81305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,37.76175681140434
1,0,8.506999999999998e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1319,0,3.4171e-05,0,1.9967e-05,0.9407700000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,37.92138566765504
2,0,5.3015e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1037,0,0.008929799999999998,0,3.3629e-05,0.78125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,37.43535544036851
3,0,0.0015027999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.058,0,0.18899999999999997,0,2.6913000000000004e-09,0.7068800000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,39.18458908298074
4,0,1.0436e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2003,0,0.0015080999999999998,0,1.0631e-08,0.8739600000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,37.6288171749632
5,0,0.0024230000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1988,0,0.11383,0,3.8707999999999994e-06,0.72735,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,38.31773565498602
6,0,0.00013602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0987,0,0.027089,0,0.00023603,0.72964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,37.449849010257395
7,0,0.01083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1106,0,0.33910999999999997,0,0.00076644,0.7179800000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,40.87157619639358
8,0,4.7056000000000005e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2178,0,0.088483,0,1.2167e-07,0.73045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,38.03329985086617
9,0,0.018583000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2276,0,1.0517999999999999e-07,0,3.6918e-06,0.94481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,37.86038810107299
10,0,0.024901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0426,0,0.076589,0,2.3445e-07,0.73623,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,38.06169573102645
11,0,0.12299000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,2.149e-09,0,1.1202000000000002e-08,0.87518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,37.45119137165757
12,0,4.0505000000000004e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1052,0,0.07312,0,5.1157000000000006e-08,0.95447,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,38.804697070506236
13,0,0.13093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2259,0,0.0010353,0,5.3874e-08,0.86971,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,37.58718395800901
