,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,3.2761e-05,0,0,0,0,0,0,0,0,0,0.42763,0.37833,0,0,0,0,1.0251,0,0,0,9.7085e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.142048483829186
1,0,0.00035056,0,0,0,0,0,0,0,0,0,0.47056000000000003,0.24285,0,0,0,0,1.0302,0,0,0,0.00032249,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.14899412227218
2,0,0.015759,0,0,0,0,0,0,0,0,0,0.48949,0.096927,0,0,0,0,0.88484,0,0,0,0.019236000000000003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.72488362983971
3,0,0.00032905,0,0,0,0,0,0,0,0,0,0.42298,0.32536,0,0,0,0,0.9032,0,0,0,0.018907,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.70942682228786
4,0,0.069801,0,0,0,0,0,0,0,0,0,0.40210999999999997,0.22435,0,0,0,0,1.1985,0,0,0,0.047211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,33.39504989981526
5,0,8.8631e-05,0,0,0,0,0,0,0,0,0,0.19489,0.33271,0,0,0,0,1.2167,0,0,0,0.028894,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.87943660585721
6,0,0.00023001,0,0,0,0,0,0,0,0,0,0.36888000000000004,0.066341,0,0,0,0,0.9726299999999999,0,0,0,0.015948,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.60328866042472
7,0,0.62459,0,0,0,0,0,0,0,0,0,0.59733,1.2741e-08,0,0,0,0,1.1394,0,0,0,0.00011377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.10567212410359
8,0,0.0032344,0,0,0,0,0,0,0,0,0,0.57048,0.18567999999999998,0,0,0,0,0.79214,0,0,0,0.0092787,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.479839378521895
9,0,0.034418000000000004,0,0,0,0,0,0,0,0,0,0.37796,1.0927,0,0,0,0,1.0987,0,0,0,0.0013835000000000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.154964176886885
10,0,0.69108,0,0,0,0,0,0,0,0,0,0.6495,1.1149,0,0,0,0,0.041198,0,0,0,1.5013e-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.47981863261444
11,0,0.30730999999999997,0,0,0,0,0,0,0,0,0,0.278,0.5645399999999999,0,0,0,0,0.95157,0,0,0,7.8502e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.16922423703853
12,0,1.8625999999999998e-07,0,0,0,0,0,0,0,0,0,0.51715,0.17276,0,0,0,0,1.1378,0,0,0,0.00039305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.11398807306181
13,0,0.58805,0,0,0,0,0,0,0,0,0,0.52293,0.16988,0,0,0,0,0.90636,0,0,0,1.1882999999999999e-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.18257737529967
14,0,0.22127,0,0,0,0,0,0,0,0,0,0.34081999999999996,0.49151999999999996,0,0,0,0,0.58719,0,0,0,0.047827999999999996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,33.62223556010497
15,0,0.16312000000000001,0,0,0,0,0,0,0,0,0,0.0034444000000000002,0.25744,0,0,0,0,0.8084100000000001,0,0,0,0.058761,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,33.85025645844405
16,0,0.50069,0,0,0,0,0,0,0,0,0,0.45148999999999995,0.42108999999999996,0,0,0,0,0.54402,0,0,0,0.005500199999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.460013321601146
17,0,1.3384e-06,0,0,0,0,0,0,0,0,0,0.46423000000000003,0.22655,0,0,0,0,1.0174,0,0,0,0.00010658,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.14738778559394
18,0,0.017931,0,0,0,0,0,0,0,0,0,0.52147,0.9613200000000001,0,0,0,0,1.1922,0,0,0,3.4299e-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.084368831831526
19,0,0.12059,0,0,0,0,0,0,0,0,0,0.3561,0.31577,0,0,0,0,1.3549,0,0,0,0.01945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.56933580451829
20,0,0.37272,0,0,0,0,0,0,0,0,0,0.16641,0.37661,0,0,0,0,0.9721299999999999,0,0,0,2.5298000000000005e-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.159977509177075
21,0,0.010512,0,0,0,0,0,0,0,0,0,0.33632,0.39905999999999997,0,0,0,0,0.88675,0,0,0,0.0038365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.295997126507764
22,0,1.0091,0,0,0,0,0,0,0,0,0,0.42833999999999994,0.5351899999999999,0,0,0,0,0.5343,0,0,0,0.0077253999999999995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.52523133121518
23,0,1.3438,0,0,0,0,0,0,0,0,0,1.0032,0.37437,0,0,0,0,6.8833e-05,0,0,0,0.00034837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.503636479064916
24,0,0.19989,0,0,0,0,0,0,0,0,0,0.26589,0.004563800000000001,0,0,0,0,1.1557,0,0,0,6.7251e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.09877832155504
