,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,9.6151e-07,0,0,0,0,0,0,0,0,0,0.70136,0,0,0,0,0,0,0,0,0,0,0.84025,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9.453002062863131
1,0,3.8775e-05,0,0,0,0,0,0,0,0,0,0.8421799999999999,0,0,0,0,0,0,0,0,0,0,0.9036299999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9.761440545598415
2,0,0.00029242,0,0,0,0,0,0,0,0,0,4.3567e-09,0,0,0,0,0,0,0,0,0,0,1.7792,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14.022397982148295
3,0,0.00021671,0,0,0,0,0,0,0,0,0,0.22436,0,0,0,0,0,0,0,0,0,0,1.5759,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.033039453589083
4,0,8.3404e-09,0,0,0,0,0,0,0,0,0,0.40744,0,0,0,0,0,0,0,0,0,0,1.4831,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12.581428674197568
5,0,0.23201999999999998,0,0,0,0,0,0,0,0,0,0.65804,0,0,0,0,0,0,0,0,0,0,0.96583,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.064136563681952
6,0,1.8658e-09,0,0,0,0,0,0,0,0,0,0.48894,0,0,0,0,0,0,0,0,0,0,1.3247,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.81057579213274
7,0,0.00013946,0,0,0,0,0,0,0,0,0,1.4154e-05,0,0,0,0,0,0,0,0,0,0,1.6666,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.474430592498678
8,0,1.2166999999999999e-08,0,0,0,0,0,0,0,0,0,0.52128,0,0,0,0,0,0,0,0,0,0,1.5108,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12.71623059864956
9,0,0.042924000000000004,0,0,0,0,0,0,0,0,0,0.17247,0,0,0,0,0,0,0,0,0,0,1.7485,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.87299657129356
10,0,4.1e-05,0,0,0,0,0,0,0,0,0,1.8266999999999998e-06,0,0,0,0,0,0,0,0,0,0,1.619,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.242785408241822
11,0,0.21821,0,0,0,0,0,0,0,0,0,0.57589,0,0,0,0,0,0,0,0,0,0,0.97715,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.119225292374969
12,0,0.003237,0,0,0,0,0,0,0,0,0,4.6771e-08,0,0,0,0,0,0,0,0,0,0,1.6733,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.50703611213147
13,0,0.13885,0,0,0,0,0,0,0,0,0,0.46468999999999994,0,0,0,0,0,0,0,0,0,0,1.1737,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.075734976528011
14,0,3.5419e-09,0,0,0,0,0,0,0,0,0,1.3147e-09,0,0,0,0,0,0,0,0,0,0,1.683,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.554241118167004
15,0,0.92153,0,0,0,0,0,0,0,0,0,0.0066075000000000005,0,0,0,0,0,0,0,0,0,0,0.42712,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.442506790341403
16,0,2.9577e-08,0,0,0,0,0,0,0,0,0,0.38704,0,0,0,0,0,0,0,0,0,0,1.6494,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.390726870456284
17,0,0.00016722,0,0,0,0,0,0,0,0,0,0.33111,0,0,0,0,0,0,0,0,0,0,1.3321,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.846587858592839
18,0,7.208600000000001e-09,0,0,0,0,0,0,0,0,0,7.9704e-09,0,0,0,0,0,0,0,0,0,0,1.7658,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.95718694288271
19,0,0.00051114,0,0,0,0,0,0,0,0,0,0.62292,0,0,0,0,0,0,0,0,0,0,1.1473,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.947259496183873
20,0,0.31956999999999997,0,0,0,0,0,0,0,0,0,0.75485,0,0,0,0,0,0,0,0,0,0,1.0492,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.469856290814178
21,0,1.5479e-08,0,0,0,0,0,0,0,0,0,0.015423,0,0,0,0,0,0,0,0,0,0,1.7255,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.761067175539196
22,0,0.11922999999999999,0,0,0,0,0,0,0,0,0,0.5756600000000001,0,0,0,0,0,0,0,0,0,0,1.7783,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14.018018136227473
23,0,5.474600000000001e-09,0,0,0,0,0,0,0,0,0,3.6814999999999997e-09,0,0,0,0,0,0,0,0,0,0,1.5992,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.146428797983718
24,0,0.34611,0,0,0,0,0,0,0,0,0,1.4943999999999998e-08,0,0,0,0,0,0,0,0,0,0,1.7699,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.977139574299793
25,0,0.904,0,0,0,0,0,0,0,0,0,0.58672,0,0,0,0,0,0,0,0,0,0,1.1682,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.048969251456315
26,0,0.19625,0,0,0,0,0,0,0,0,0,0.21283000000000002,0,0,0,0,0,0,0,0,0,0,2.0979,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.573350087666357
27,0,4.9578999999999994e-05,0,0,0,0,0,0,0,0,0,0.75622,0,0,0,0,0,0,0,0,0,0,1.2990000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.68550685861591
28,0,0.20196,0,0,0,0,0,0,0,0,0,0.32366,0,0,0,0,0,0,0,0,0,0,1.3153,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.764830734737478
29,0,3.417e-07,0,0,0,0,0,0,0,0,0,0.27746,0,0,0,0,0,0,0,0,0,0,1.7213,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.740627894575358
30,0,0.089438,0,0,0,0,0,0,0,0,0,0.41023999999999994,0,0,0,0,0,0,0,0,0,0,1.1161,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.795424837595347
31,0,0.73614,0,0,0,0,0,0,0,0,0,0.7518699999999999,0,0,0,0,0,0,0,0,0,0,0.9889399999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.176601273937749
