,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0.10665999999999999,0,0,0,0,0.55583,0,0,6.1051e-10,0,0,0,2.015e-06,0,1.1480000000000002e-11,0.0014615000000000001,1.0392,0,0,4.5573e-09,4.733e-09,0.67755,0.016746,0.3737,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,29.15606771820398
1,0,0.0035340000000000002,0,0,0,0,0.27113000000000004,0,0,0.27809,0,0,0,0.0019598,0,1.4944e-11,1.3065e-07,0.84267,0,0,0.0013280999999999998,3.1165e-05,0.36256,0.78228,0.12691,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,26.864915034392578
2,0,1.2670000000000001e-06,0,0,0,0,0.0023956,0,0,7.8508e-07,0,0,0,9.0846e-07,0,2.3714e-12,3.5580000000000005e-08,1.1432,0,0,0.00091308,0.00022786,0.1436,0.63069,0.16330999999999998,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,26.119937824528236
3,0,0.34949,0,0,0,0,0.88456,0,0,7.8878e-05,0,0,0,1.8192e-07,0,7.0202e-12,0.013594,0.8063,0,0,7.158e-09,1.3419999999999999e-10,0.48675,0.14842,0.4217,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,29.671545043196538
4,0,6.1836e-12,0,0,0,0,0.013646,0,0,0.34509,0,0,0,0.623,0,0.00078643,0.00017619,0.6924600000000001,0,0,6.0389e-06,2.9936e-10,0.0010674,1.075,0.095631,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,32.94461680142649
5,0,0.00040628,0,0,0,0,0.26335,0,0,0.37938,0,0,0,1.8786e-05,0,2.2464000000000004e-11,0.56108,0.81584,0,0,0.0043366,7.154500000000002e-10,0.041455,0.39926,0.69806,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,32.301861017496826
6,0,0.00023273,0,0,0,0,1.0951,0,0,0.013897,0,0,0,0.00062506,0,8.5563e-13,1.4397e-07,1.05,0,0,6.4348e-07,3.3097e-05,0.015652000000000003,0.30674,1.1225000000000001e-08,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,23.342349950587284
7,0,1.0796,0,0,0,0,0.46397,0,0,0.7673399999999999,0,0,0,4.0038e-06,0,4.5256e-10,3.7867000000000004e-08,0.015250999999999999,0,0,2.6580000000000002e-06,0.84804,0.093173,0.5798300000000001,0.045405,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,45.103397659718844
8,0,2.768e-06,0,0,0,0,0.58946,0,0,9.556899999999999e-09,0,0,0,5.7603e-06,0,0.10242000000000001,6.825e-09,1.0028,0,0,2.1446e-11,5.820399999999999e-06,0.0045325,1.2227,0.34772,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,27.610524937275542
9,0,2.9695999999999998e-05,0,0,0,0,0.052898,0,0,1.6679000000000002e-09,0,0,0,7.2909e-10,0,5.1775000000000005e-08,1.6788e-08,1.1574,0,0,0.41058999999999996,2.9672e-09,0.036521,0.37992,0.5573199999999999,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,33.408049912747856
10,0,0.0038014000000000004,0,0,0,0,0.45019,0,0,0.004481499999999999,0,0,0,0.0011928,0,2.2963e-08,7.7746e-06,1.0037,0,0,0.065051,2.3739e-05,0.29452,0.39216,1.4471e-06,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,25.2496547160334
11,0,0.10260999999999999,0,0,0,0,1.8326000000000001e-07,0,0,8.9745e-11,0,0,0,9.7881e-08,0,1.3811999999999998e-10,1.0102e-08,1.1803,0,0,3.4821e-10,2.5618e-09,0.81966,0.48921000000000003,0.4802,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,30.675042002902742
12,0,1.5521000000000001e-06,0,0,0,0,0.0016422999999999997,0,0,0.37981,0,0,0,1.244e-09,0,0.00037555,5.1353e-07,0.8675200000000001,0,0,1.2892e-09,4.5363e-07,0.24686,0.79613,0.0098095,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,25.56513221953758
13,0,5.7729e-12,0,0,0,0,0.67188,0,0,0.89249,0,0,0,1.4276,0,1.8242e-09,0.63122,0.45648,0,0,0.0001695,3.8885e-14,2.0146e-05,1.4575,1.3977,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,54.98582084844458
14,0,0.37261,0,0,0,0,0.00098257,0,0,0.13488,0,0,0,0.0084539,0,5.386e-12,9.7027e-10,0.8859999999999999,0,0,2.7739e-06,2.1626e-06,0.61247,0.7702399999999999,0.045677999999999996,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,26.706708365788355
15,0,0.1056,0,0,0,0,0.31274,0,0,0.30962,0,0,0,2.4451e-07,0,2.3566e-12,0.033573,1.1916,0,0,3.3745e-05,4.0849000000000005e-06,0.43566000000000005,0.074362,0.092305,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,25.489622500537802
