,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.9568e-08,0,0.5969,0,0,0,0.018549,0,0,0,0.96426,0.14386,0,0,4.3872e-12,0,1.3688,0,0,1.1736e-08,1.1911e-09,0.0034161,0.6149,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,30.207907352515363
1,0,0.00063302,0,0.28728000000000004,0,0,0,1.1231e-06,0,0,0,0.45565,0.2093,0,0,7.5439e-08,0,0.9271299999999999,0,0,0.00053189,3.5998000000000002e-06,0.014447999999999999,0.43328999999999995,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,32.17041135124538
2,0,0.00098799,0,0.47471,0,0,0,0.15120999999999998,0,0,0,0.13731,0.17465999999999998,0,0,7.896600000000001e-09,0,0.8480700000000001,0,0,0.08307,2.0265e-05,0.024918,0.67237,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,31.274773244759594
3,0,0.00010809,0,0.64358,0,0,0,5.1180000000000006e-08,0,0,0,0.0015387999999999999,0.28155,0,0,1.5451e-12,0,1.3297,0,0,0.00018469,7.3148e-12,0.13112000000000001,0.29529,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,30.766851181457948
4,0,1.1418000000000001e-10,0,0.64775,0,0,0,0.00011537,0,0,0,8.7294e-09,0.21153000000000002,0,0,3.4747e-05,0,0.70827,0,0,2.8468000000000003e-05,5.0062e-11,0.00059016,1.0741,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,30.53069519179577
5,0,0.11238,0,0.12337999999999999,0,0,0,5.3568e-09,0,0,0,0.090657,0.038819,0,0,3.6769e-11,0,0.8500700000000001,0,0,1.7937e-05,2.745e-08,0.00044578,0.90238,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,32.9441306539233
6,0,4.6722e-08,0,0.30833,0,0,0,0.012109,0,0,0,0.18028,0.13732,0,0,9.1034e-08,0,0.80043,0,0,0.084913,0.001578,0.33282,0.85003,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,34.22206514471543
7,0,0.016373,0,0.23412,0,0,0,7.6417e-06,0,0,0,0.0031552,8.852200000000001e-09,0,0,6.407899999999999e-11,0,0.9193100000000001,0,0,0.14151,2.9874000000000002e-05,0.6200399999999999,0.61161,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,36.265885240533954
8,0,7.6036e-09,0,0.5056,0,0,0,0.008568000000000001,0,0,0,0.38838,0.075177,0,0,0.00053932,0,0.54127,0,0,2.4706e-06,6.6981e-09,0.07660499999999999,1.0016,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,31.74563089500323
9,0,1.5540999999999998e-11,0,0.34497,0,0,0,0.53895,0,0,0,7.1004e-06,1.3372e-06,0,0,2.3755e-10,0,1.1261,0,0,0.39818000000000003,6.7764e-08,0.00020669999999999998,0.90284,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,31.619311386199648
10,0,0.072915,0,0.0071695,0,0,0,0.0019757999999999998,0,0,0,0.036782999999999996,0.40739000000000003,0,0,6.1779e-08,0,0.98234,0,0,0.068483,0.0037204,0.057009000000000004,0.91837,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,34.02431556652795
11,0,0.0010490999999999999,0,0.55786,0,0,0,0.50558,0,0,0,0.24700999999999998,0.22496999999999998,0,0,7.1575e-07,0,0.9898899999999999,0,0,1.3222e-06,0.00012142,0.038751999999999995,0.3615,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,29.579932524728232
12,0,5.1138000000000004e-05,0,0.70854,0,0,0,8.425e-07,0,0,0,9.381999999999999e-11,0.0036494999999999995,0,0,4.6925e-08,0,0.78654,0,0,1.0162000000000001e-10,3.8073e-07,0.10393,0.61883,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,30.742281943796744
13,0,3.8321e-08,0,0.75979,0,0,0,0.051398,0,0,0,0.146,0.23063000000000003,0,0,2.9849e-12,0,0.90018,0,0,0.35664,1.5525e-07,0.0011812,1.0477,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,30.978250006806164
14,0,0.11315,0,0.35756,0,0,0,0.09691,0,0,0,0.16245,0.17586,0,0,1.5679000000000002e-11,0,0.62625,0,0,1.5075999999999998e-07,0.00036036,0.4941,0.8029999999999999,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,34.45251593611976
15,0,0.11606,0,0.3149,0,0,0,1.2376e-06,0,0,0,0.041449,0.00099812,0,0,3.1614e-08,0,1.072,0,0,0.23358,1.7748e-06,0.12185,1.7542e-08,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,33.345673870618114
16,0,4.2153999999999995e-08,0,0.37745,0,0,0,0.00093375,0,0,0,0.019781,0.0032484000000000002,0,0,9.0027e-12,0,1.0193,0,0,1.1326e-06,1.9267e-07,0.31225,0.41725,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,33.29269623821615
17,0,0.00044424,0,0.69723,0,0,0,0.0072523,0,0,0,0.020758000000000002,1.7851e-07,0,0,1.7012999999999998e-11,0,0.9201,0,0,0.1028,3.8297e-07,0.10057999999999999,0.47748,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,31.019435942350803
18,0,0.0011012,0,0.1164,0,0,0,0.041204000000000005,0,0,0,0.06348,0.30066,0,0,2.5773000000000002e-05,0,0.99069,0,0,1.1094e-06,5.7486000000000005e-05,0.010255,0.6280899999999999,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,32.80763405785062
19,0,5.7539e-06,0,7.700199999999999e-05,0,0,0,0.13255,0,0,0,0.082688,0.021891,0,0,9.698200000000001e-09,0,1.1067,0,0,1.323e-09,8.4627e-06,0.22029,0.83772,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,34.180333428549595
20,0,0.00016142,0,0.33369,0,0,0,0.14598,0,0,0,0.1356,0.046705,0,0,0.008069199999999999,0,0.82685,0,0,3.9369e-06,3.0480000000000003e-06,0.081184,0.93716,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,31.99703371680496
21,0,2.7139e-06,0,0.66885,0,0,0,0.0073155,0,0,0,0.08965,0.00025535,0,0,1.2740000000000002e-09,0,0.81502,0,0,4.4978999999999995e-09,0.018183,0.16064,0.23269,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,31.572979077927357
22,0,3.7524000000000004e-10,0,0.69885,0,0,0,1.9525e-09,0,0,0,0.24659,7.2098e-07,0,0,8.5907e-06,0,0.59313,0,0,1.1115e-06,6.9734e-10,0.30507,1.0605,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,32.05020860849382
23,0,0.029332,0,0.24018,0,0,0,5.203899999999999e-09,0,0,0,0.18412,0.058562,0,0,0.00023246,0,0.7487699999999999,0,0,0.00016849,7.9989e-10,0.13382,1.0045,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,33.19599510985117
24,0,0.20811999999999997,0,0.41918999999999995,0,0,0,9.7551e-05,0,0,0,6.866499999999999e-06,0.27273000000000003,0,0,9.3329e-10,0,1.0188,0,0,0.00036386,1.6644000000000003e-07,0.6306,0.34911,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,34.84429963172123
25,0,0.3045,0,0.068438,0,0,0,0.017768,0,0,0,0.021502,0.00099653,0,0,1.0783e-06,0,0.99451,0,0,1.0514000000000001e-07,7.679e-10,0.090807,0.682,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,33.54063154197528
26,0,0.7014600000000001,0,0.68102,0,0,0,4.3951e-08,0,0,0,0.00010874,0.0010048,0,0,1.2578e-10,0,0.73083,0,0,0.00072898,3.1553e-08,0.00041701,0.7448899999999999,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,30.353921260606672
27,0,0.20379,0,0.88654,0,0,0,0.012903999999999999,0,0,0,0.071881,0.13247,0,0,0.00065103,0,0.41031999999999996,0,0,1.4375e-05,0.00028324,0.20035,0.58757,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,30.688410266782387
28,0,0.0011560000000000001,0,0.0025954999999999997,0,0,0,0.030202,0,0,0,0.76755,0.052435,0,0,1.8327e-06,0,0.8358200000000001,0,0,2.9035999999999998e-05,1.4543e-08,0.0066348,0.49561000000000005,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,33.49030965769611
29,0,0.17378,0,0.014485,0,0,0,0.58186,0,0,0,4.9027e-08,0.7096899999999999,0,0,6.8267e-13,0,0.9074,0,0,7.035399999999999e-09,3.7688e-09,0.0054198,0.6149899999999999,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,31.87452103473838
30,0,0.004850999999999999,0,0.19017,0,0,0,0.27031,0,0,0,0.16158,0.41577,0,0,7.7772e-08,0,0.90594,0,0,2.1961e-05,5.222000000000001e-08,0.010178,0.49521000000000004,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,31.898441322474884
31,0,1.8361e-06,0,0.45069,0,0,0,2.5585999999999996e-07,0,0,0,0.067192,0.21229,0,0,1.7925e-10,0,0.90236,0,0,0.0019545,6.4566e-05,0.063724,0.59821,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,31.67951394887068
