,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.1612e-06,0,0,0.45788999999999996,0,0,0,0,0,0.042623,0.66298,0.6155,4.2635e-05,0,3.4744999999999996e-15,2.2236e-06,0,0,0,0.045630000000000004,5.0708e-08,0.40597,0,0.004543800000000001,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1.255167559207079
1,0,7.897e-06,0,0,0.23984,0,0,0,0,0,0.11629,1.0424,2.7101e-06,0.0058184,0,2.7329e-13,0.39287,0,0,0,0.0085557,1.6386e-06,0.96316,0,0.0040706,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,3.538896483898208
2,0,0.22821,0,0,0.6046,0,0,0,0,0,0.080077,0.06105700000000001,0.26533,1.3024e-12,0,1.0346e-10,4.3717e-07,0,0,0,0.0006752999999999999,0.15425999999999998,1.114,0,0.68907,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,10.143218503542599
3,0,2.2188,0,0,2.2997,0,0,0,0,0,3.0632e-08,1.6512,0.0046011,3.7979e-13,0,1.7297999999999998e-10,0.95511,0,0,0,1.3223e-10,0.63657,0.46205,0,6.157100000000001e-06,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,7.013047958551443
4,0,1.1818,0,0,0.073639,0,0,0,0,0,4.6622e-16,0.9652799999999999,1.469,2.7402999999999996e-18,0,2.712e-14,0.18992,0,0,0,3.3578e-08,0.00010623,0.0050813,0,4.0419e-13,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,-1.1222991188343654
5,0,0.19221,0,0,1.0838,0,0,0,0,0,0.41823999999999995,0.48058,4.7003e-09,6.6152e-08,0,7.538199999999999e-09,0.010171,0,0,0,3.1694e-10,0.0013095000000000001,0.53161,0,0.78076,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,5.923677288598176
6,0,3.0625e-06,0,0,1.6759,0,0,0,0,0,1.5266,1.7798,1.3223,4.4095999999999994e-10,0,2.095e-14,2.3087e-08,0,0,0,2.3078000000000003e-07,3.7957e-08,0.0012538,0,0.092988,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,-1.5003010040955944
7,0,0.092923,0,0,1.2014,0,0,0,0,0,0.48928999999999995,0.11277000000000001,6.266e-06,0.23945999999999998,0,5.4622e-09,5.030399999999999e-11,0,0,0,1.8274e-05,1.5824000000000002e-07,1.1565,0,0.0085289,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,6.1921445511916335
8,0,2.7196999999999997e-07,0,0,0.30964,0,0,0,0,0,2.8797e-09,0.2511,0.87177,1.1566e-10,0,2.4378e-10,0.42618999999999996,0,0,0,0.022362,3.5057e-08,1.5186,0,0.017469,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,6.367071270634036
9,0,0.0097027,0,0,1.8875e-05,0,0,0,0,0,1.3369000000000003e-07,0.35824,2.1705000000000002e-06,0.0034929,0,9.3409e-09,0.0039789000000000005,0,0,0,0.48901999999999995,3.8851e-08,1.0539,0,0.37917,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,13.69926228653401
10,0,5.4206,0,0,10.322000000000001,0,0,0,0,0,6.8348,3.736,4.9143,4.0435e-32,0,4.7207,0.20032,0,0,0,9.212699999999999e-38,3.0373000000000003e-08,9.5108e-44,0,1.0539e-37,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,-7.360367607212448
11,0,4.3573000000000004e-05,0,0,0.83821,0,0,0,0,0,0.0030716999999999997,0.0099827,0.46416999999999997,0.0045141999999999995,0,3.2406999999999996e-07,0.52677,0,0,0,0.17194,0.00023215,0.27813000000000004,0,0.00076463,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,2.3177687280592068
12,0,0.076726,0,0,0.85075,0,0,0,0,0,0.29733000000000004,5.405399999999999e-11,0.00090525,1.2322e-06,0,1.1553e-12,8.508899999999999e-10,0,0,0,2.7482999999999997e-10,0.00019009,1.3944,0,7.5615e-10,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,5.004258452332524
13,0,0.48261000000000004,0,0,0.42127,0,0,0,0,0,0.0036253,0.6069100000000001,0.50541,7.2515e-05,0,0.00035997,0.6663899999999999,0,0,0,0.1107,0.00077935,0.058039999999999994,0,0.51855,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,3.9879667524366926
14,0,0.013394999999999999,0,0,0.33983,0,0,0,0,0,4.1872999999999994e-08,0.089206,0.79025,6.367000000000001e-08,0,5.907500000000001e-10,0.020572,0,0,0,0.00028375,0.00021409,0.6449199999999999,0,0.5136,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,5.143981457549252
15,0,1.026,0,0,0.0001896,0,0,0,0,0,0.042849,0.048417,0.0018441,0.051897000000000006,0,2.9751e-05,0.085649,0,0,0,0.061266999999999995,0.096074,0.81484,0,0.0028719,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,5.336284611927888
16,0,2.7719e-08,0,0,0.43628999999999996,0,0,0,0,0,0.21281999999999998,0.46618000000000004,0.38518,5.0389e-08,0,1.1276e-09,0.57805,0,0,0,9.6706e-08,7.193e-10,1.2041,0,0.36262,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,6.739076901842829
17,0,0.00014156,0,0,0.63966,0,0,0,0,0,0.00050546,0.55118,0.18795,3.1783000000000003e-07,0,4.991e-11,2.7312e-06,0,0,0,0.075836,1.0433e-09,1.2369,0,2.9354999999999996e-09,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,5.508638136868116
18,0,7.494900000000001e-10,0,0,1.2065,0,0,0,0,0,0.34156,5.0457999999999995e-11,1.2305,6.012300000000001e-11,0,1.898e-14,1.8597e-05,0,0,0,3.2124e-13,3.0486e-16,1.665,0,8.483799999999999e-17,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,6.071246082131418
19,0,0.0081251,0,0,0.008352799999999999,0,0,0,0,0,0.42073,0.63677,0.12161,0.00032053,0,9.3203e-10,0.0003034,0,0,0,0.007115899999999999,0.0017209,0.9855299999999999,0,0.22482,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,5.181510816471343
20,0,0.14263,0,0,0.025205,0,0,0,0,0,0.21038,0.6460899999999999,0.005606600000000001,2.2223000000000003e-08,0,0.03222,0.19510999999999998,0,0,0,0.16517,2.2917e-09,0.94929,0,3.9927e-05,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,5.842712211242635
21,0,1.5095e-09,0,0,2.1296e-06,0,0,0,0,0,0.1713,4.8692e-05,0.0042159,1.1308e-09,0,1.2916999999999998e-06,0.0013430999999999998,0,0,0,0.12564,7.7651e-09,1.6641,0,1.5181e-09,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,8.664580906245746
22,0,0.15091,0,0,1.7039,0,0,0,0,0,0.878,5.2769e-06,1.46,1.4149e-06,0,2.3028000000000002e-11,0.68795,0,0,0,1.2694,0.00082122,0.00024831,0,0.23818000000000003,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,18.29927592193725
23,0,6.4725e-10,0,0,0.37351,0,0,0,0,0,7.380199999999999e-07,6.1086e-06,2.2996999999999997e-05,2.985e-10,0,2.5874999999999996e-09,0.3196,0,0,0,0.11760999999999999,3.7417e-05,1.1712,0,6.4569e-09,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,5.9789519682604375
